Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Cryptosporidiosis, Cum 2013","Cryptosporidiosis, Cum 2013, flag","Dengue Fever†, Current week","Dengue Fever†, Current week, flag","Dengue Fever†, Previous 52 weeks Med","Dengue Fever†, Previous 52 weeks Med, flag","Dengue Fever†, Previous 52 weeks Max","Dengue Fever†, Previous 52 weeks Max, flag","Dengue Fever†, Cum 2014","Dengue Fever†, Cum 2014, flag","Dengue Fever†, Cum 2013","Dengue Fever†, Cum 2013, flag","Dengue Hemorrhagic Fever§, Current week","Dengue Hemorrhagic Fever§, Current week, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Med","Dengue Hemorrhagic Fever§, Previous 52 weeks Med, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Max","Dengue Hemorrhagic Fever§, Previous 52 weeks Max, flag","Dengue Hemorrhagic Fever§, Cum 2014","Dengue Hemorrhagic Fever§, Cum 2014, flag","Dengue Hemorrhagic Fever§, Cum 2013","Dengue Hemorrhagic Fever§, Cum 2013, flag",Location 1,Location 2
MID. ATLANTIC,2014,31,18,,12,,40,,326,,382,,,-,3,,12,,55,,107,,,-,0,,1,,,-,1,,,
NEW JERSEY,2014,31,,-,0,,5,,13,,36,,,-,0,,4,,15,,,-,,-,0,,0,,,-,,-,"NEW JERSEY
",
NEW YORK,2014,31,6,,4,,16,,107,,99,,,-,0,,4,,14,,31,,,-,0,,1,,,-,,-,"NEW YORK
",
NEW YORK CITY,2014,31,2,,1,,6,,40,,33,,,-,1,,9,,18,,57,,,-,0,,0,,,-,1,,"NEW YORK CITY
",
E.N. CENTRAL,2014,31,17,,22,,58,,628,,801,,,-,0,,6,,12,,35,,,-,0,,0,,,-,,-,,
ILLINOIS,2014,31,,-,4,,11,,83,,144,,,-,0,,3,,1,,10,,,-,0,,0,,,-,,-,"ILLINOIS
",
MICHIGAN,2014,31,1,,4,,15,,108,,133,,,-,0,,3,,,-,9,,,-,0,,0,,,-,,-,"MICHIGAN
",
OHIO,2014,31,10,,6,,17,,176,,179,,,-,0,,1,,7,,6,,,-,0,,0,,,-,,-,"OHIO
",
WISCONSIN,2014,31,6,,7,,18,,201,,271,,,-,0,,2,,4,,6,,,-,0,,0,,,-,,-,"WISCONSIN
",
W.N. CENTRAL,2014,31,1,,15,,200,,354,,1124,,,-,0,,3,,,-,19,,,-,0,,1,,1,,2,,,
IOWA,2014,31,,-,5,,160,,141,,664,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"IOWA
",
KANSAS,2014,31,,-,1,,7,,29,,51,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KANSAS
",
MINNESOTA,2014,31,,-,0,,17,,,-,149,,,-,0,,2,,,-,13,,,-,0,,0,,,-,1,,"MINNESOTA
",
MISSOURI,2014,31,1,,3,,12,,85,,99,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
",
NEBRASKA,2014,31,,-,2,,11,,21,,64,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
",
NORTH DAKOTA,2014,31,,-,1,,7,,20,,30,,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
",
SOUTH DAKOTA,2014,31,,-,3,,17,,58,,67,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
",
S. ATLANTIC,2014,31,83,,25,,58,,816,,542,,,-,2,,16,,25,,111,,,-,0,,1,,,-,,-,,
DELAWARE,2014,31,,-,0,,2,,2,,6,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
",
DIST. OF COL.,2014,31,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
FLORIDA,2014,31,64,,9,,48,,426,,197,,,-,0,,13,,6,,73,,,-,0,,0,,,-,,-,"FLORIDA
",
GEORGIA,2014,31,3,,6,,16,,139,,141,,,-,0,,1,,3,,7,,,-,0,,0,,,-,,-,"GEORGIA
",
MARYLAND,2014,31,4,,1,,4,,35,,27,,,-,0,,2,,5,,5,,,-,0,,0,,,-,,-,"MARYLAND
",
NORTH CAROLINA,2014,31,6,,1,,28,,94,,57,,,-,0,,2,,5,,9,,,-,0,,0,,,-,,-,"NORTH CAROLINA
",
VIRGINIA,2014,31,3,,3,,9,,69,,60,,,-,0,,3,,5,,11,,,-,0,,1,,,-,,-,"VIRGINIA
",
WEST VIRGINIA,2014,31,1,,0,,2,,4,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
",
E.S. CENTRAL,2014,31,5,,6,,19,,162,,170,,,-,0,,2,,2,,12,,,-,0,,0,,,-,,-,,
ALABAMA,2014,31,2,,2,,9,,60,,64,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"ALABAMA
",
KENTUCKY,2014,31,1,,1,,4,,35,,47,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
",
MISSISSIPPI,2014,31,,-,1,,5,,25,,24,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
",
TENNESSEE,2014,31,2,,2,,6,,42,,35,,,-,0,,1,,1,,8,,,-,0,,0,,,-,,-,"TENNESSEE
",
W.S. CENTRAL,2014,31,12,,12,,47,,290,,329,,,-,0,,11,,7,,34,,,-,0,,0,,,-,,-,,
LOUISIANA,2014,31,2,,3,,33,,81,,131,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"LOUISIANA
",
TEXAS,2014,31,2,,7,,37,,151,,143,,,-,0,,11,,5,,29,,,-,0,,0,,,-,,-,"TEXAS
",
MOUNTAIN,2014,31,11,,8,,61,,213,,281,,,-,0,,1,,4,,6,,,-,0,,0,,,-,,-,,
ARIZONA,2014,31,1,,1,,5,,29,,23,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"ARIZONA
",
COLORADO,2014,31,4,,1,,7,,38,,47,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
",
IDAHO,2014,31,1,,2,,22,,38,,59,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"IDAHO
",
MONTANA,2014,31,4,,1,,23,,34,,31,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"MONTANA
",
NEVADA,2014,31,,-,0,,2,,8,,12,,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,"NEVADA
",
NEW MEXICO,2014,31,,-,1,,4,,34,,25,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
",
UTAH,2014,31,1,,1,,8,,23,,50,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
",
WYOMING,2014,31,,-,0,,25,,9,,34,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"WYOMING
",
PACIFIC,2014,31,10,,10,,76,,281,,367,,,-,1,,9,,28,,63,,,-,0,,0,,,-,,-,,
ALASKA,2014,31,,-,0,,1,,1,,2,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"ALASKA
",
CALIFORNIA,2014,31,8,,6,,15,,180,,148,,,-,1,,9,,20,,48,,,-,0,,0,,,-,,-,"CALIFORNIA
",
OREGON,2014,31,1,,3,,58,,65,,182,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
",
WASHINGTON,2014,31,1,,0,,11,,33,,34,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,"WASHINGTON
",
AMER. SAMOA,2014,31,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,31,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
GUAM,2014,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
",
PUERTO RICO,2014,31,,N,0,,0,,,N,,N,,-,30,,418,,375,,5528,,,-,0,,9,,2,,84,,"PUERTO RICO
",
VIRGIN ISL.,2014,31,,-,0,,0,,,-,,-,,-,0,,5,,1,,131,,,-,0,,0,,,-,5,,"VIRGIN ISL.
",
OKLAHOMA,2014,31,7,,1,,4,,45,,35,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
SOUTH CAROLINA,2014,31,2,,2,,8,,47,,43,,,-,0,,4,,,-,6,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
INDIANA,2014,31,,-,2,,7,,60,,74,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"INDIANA
(39.76691072200049, -86.14995579899966)",
ARKANSAS,2014,31,1,,1,,12,,13,,20,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
HAWAII,2014,31,,-,0,,2,,2,,1,,,-,0,,2,,5,,9,,,-,0,,0,,,-,,-,"HAWAII
(21.304853205000427, -157.85774691599974)",
UNITED STATES,2014,32,180,,112,,458,,3514,,4607,,,-,8,,44,,148,,449,,,-,0,,2,,1,,5,,,
NEW ENGLAND,2014,32,3,,5,,14,,144,,167,,,-,0,,3,,6,,19,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2014,32,27,,12,,40,,362,,415,,,-,3,,11,,60,,117,,,-,0,,1,,,-,2,,,
E.N. CENTRAL,2014,32,28,,22,,58,,690,,852,,,-,0,,6,,12,,39,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2014,32,6,,16,,200,,416,,1324,,,-,0,,3,,,-,20,,,-,0,,1,,1,,3,,,
S. ATLANTIC,2014,32,98,,25,,90,,921,,594,,,-,2,,16,,28,,125,,,-,0,,1,,,-,,-,,
DIST. OF COL.,2014,32,,N,0,,2,,,N,,N,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2014,32,1,,6,,17,,167,,187,,,-,0,,2,,2,,12,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,32,9,,12,,47,,303,,363,,,-,0,,9,,7,,39,,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,32,6,,8,,61,,227,,304,,,-,0,,1,,4,,6,,,-,0,,0,,,-,,-,,
PACIFIC,2014,32,2,,10,,34,,284,,401,,,-,1,,9,,29,,72,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2014,32,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,32,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,32,,-,0,,0,,,-,,-,,-,0,,5,,1,,133,,,-,0,,0,,,-,5,,"VIRGIN ISL.
",
NEBRASKA,2014,32,3,,2,,11,,54,,71,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
WYOMING,2014,32,1,,0,,25,,12,,34,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"WYOMING
(43.235543013000495, -108.10982744299969)",
WASHINGTON,2014,32,,-,0,,11,,33,,40,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
NEW JERSEY,2014,32,,-,0,,5,,13,,40,,,-,0,,5,,19,,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
MARYLAND,2014,32,1,,1,,5,,37,,31,,,-,0,,2,,6,,5,,,-,0,,0,,,-,,-,"MARYLAND
(39.29058224000045, -76.60925970899967)",
ALASKA,2014,32,,-,0,,1,,1,,2,,,-,0,,1,,2,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
NEW YORK,2014,32,14,,4,,14,,122,,109,,,-,0,,4,,15,,34,,,-,0,,1,,,-,1,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEW HAMPSHIRE,2014,32,,-,0,,4,,12,,23,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
GUAM,2014,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480998894000436, 144.73149801400064)",
IOWA,2014,32,,-,5,,157,,148,,821,,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,"IOWA
(42.469401477000474, -93.81648936699969)",
SOUTH DAKOTA,2014,32,,-,3,,17,,67,,73,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
SOUTH CAROLINA,2014,32,1,,2,,8,,48,,44,,,-,0,,1,,1,,6,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
MASSACHUSETTS,2014,32,,-,2,,7,,58,,85,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
PENNSYLVANIA,2014,32,11,,6,,19,,185,,232,,,-,0,,2,,8,,20,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
OKLAHOMA,2014,32,2,,1,,7,,47,,36,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
IDAHO,2014,32,3,,2,,22,,41,,62,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"IDAHO
(43.68263160000049, -114.3637261449997)",
ARKANSAS,2014,32,2,,1,,12,,15,,22,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
MICHIGAN,2014,32,2,,4,,15,,114,,142,,,-,0,,3,,,-,10,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
LOUISIANA,2014,32,1,,3,,33,,83,,152,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
DELAWARE,2014,32,,-,0,,2,,2,,8,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEW YORK CITY,2014,32,2,,2,,6,,42,,34,,,-,1,,9,,18,,63,,,-,0,,0,,,-,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NEVADA,2014,32,,-,0,,2,,8,,13,,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,"NEVADA
(39.493242807000456, -117.07183978499972)",
MISSISSIPPI,2014,32,,-,1,,4,,25,,25,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
NORTH DAKOTA,2014,32,,-,1,,7,,21,,33,,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
OHIO,2014,32,15,,6,,17,,191,,193,,,-,0,,1,,7,,6,,,-,0,,0,,,-,,-,"OHIO
(40.06021184000048, -82.40425685299965)",
COLORADO,2014,32,,-,1,,7,,38,,50,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384201300048, -106.13360888799969)",
PUERTO RICO,2014,32,,N,0,,0,,,N,,N,,-,25,,418,,375,,5909,,,-,0,,9,,2,,93,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
RHODE ISLAND,2014,32,,-,0,,3,,10,,4,,,-,0,,1,,2,,6,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
NORTH CAROLINA,2014,32,,-,1,,28,,94,,77,,,-,0,,2,,5,,10,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
UTAH,2014,32,,-,1,,8,,25,,58,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070082200047, -111.5871285339997)",
ALABAMA,2014,32,,-,2,,9,,61,,73,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.84057034900047, -86.63185803899967)",
KENTUCKY,2014,32,,-,1,,4,,35,,48,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MAINE,2014,32,,-,1,,4,,29,,17,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MAINE
(45.2542257390005, -68.98502952999962)",
ILLINOIS,2014,32,,-,4,,11,,89,,155,,,-,0,,3,,1,,13,,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
VIRGINIA,2014,32,4,,3,,9,,75,,66,,,-,0,,3,,5,,13,,,-,0,,1,,,-,,-,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
NEW MEXICO,2014,32,,-,1,,4,,36,,27,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
GEORGIA,2014,32,2,,6,,16,,145,,150,,,-,0,,1,,3,,7,,,-,0,,0,,,-,,-,"GEORGIA
(32.83968158500045, -83.62757601199968)",
VERMONT,2014,32,3,,0,,3,,12,,12,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,"VERMONT
(43.62538000100045, -72.51763944499965)",
FLORIDA,2014,32,90,,9,,64,,516,,205,,,-,0,,13,,6,,84,,,-,0,,0,,,-,,-,"FLORIDA
(28.93204444200046, -81.92895558499964)",
TEXAS,2014,32,4,,7,,37,,158,,153,,,-,0,,9,,5,,34,,,-,0,,0,,,-,,-,"TEXAS
(31.827240712000446, -99.4267664729997)",
CONNECTICUT,2014,32,,-,0,,5,,23,,26,,,-,0,,2,,1,,8,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
OREGON,2014,32,1,,3,,20,,67,,202,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745218600048, -120.15502977999972)",
KANSAS,2014,32,1,,1,,7,,35,,54,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KANSAS
(38.3477418760005, -98.20077655499966)",
WEST VIRGINIA,2014,32,,-,0,,2,,4,,13,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
TENNESSEE,2014,32,1,,2,,6,,46,,41,,,-,0,,1,,1,,8,,,-,0,,0,,,-,,-,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
WISCONSIN,2014,32,11,,7,,18,,234,,285,,,-,0,,2,,4,,6,,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
MONTANA,2014,32,2,,1,,23,,36,,36,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"MONTANA
(47.06652759400049, -109.42441687999968)",
HAWAII,2014,32,,-,0,,2,,2,,1,,,-,0,,2,,5,,9,,,-,0,,0,,,-,,-,"HAWAII
(21.304853205000427, -157.85774691599974)",
INDIANA,2014,32,,-,2,,7,,62,,77,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"INDIANA
(39.76691072200049, -86.14995579899966)",
ARIZONA,2014,32,,-,1,,5,,31,,24,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"ARIZONA
(34.865970167000455, -111.76380949799972)",
MINNESOTA,2014,32,,-,0,,17,,,-,163,,,-,0,,2,,,-,13,,,-,0,,0,,,-,1,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
CALIFORNIA,2014,32,1,,6,,15,,181,,156,,,-,1,,9,,20,,57,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
MISSOURI,2014,32,2,,3,,13,,91,,109,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.63579079900046, -92.56629737199967)",
UNITED STATES,2014,33,199,,112,,413,,3829,,5032,,,-,8,,40,,172,,489,,,-,0,,1,,,-,5,,,
NEW ENGLAND,2014,33,4,,5,,12,,159,,176,,,-,0,,3,,15,,22,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2014,33,20,,12,,40,,384,,447,,,-,3,,11,,62,,125,,,-,0,,0,,,-,2,,,
E.N. CENTRAL,2014,33,23,,22,,58,,728,,905,,,-,0,,6,,13,,44,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2014,33,2,,16,,171,,442,,1495,,,-,0,,3,,1,,21,,,-,0,,0,,,-,3,,,
S. ATLANTIC,2014,33,123,,25,,100,,1052,,640,,,-,2,,16,,28,,141,,,-,0,,1,,,-,,-,,
DIST. OF COL.,2014,33,,-,0,,2,,2,,7,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2014,33,7,,6,,16,,180,,201,,,-,0,,2,,2,,13,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,33,6,,13,,47,,342,,409,,,-,0,,9,,9,,41,,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,33,6,,8,,61,,242,,330,,,-,0,,1,,5,,6,,,-,0,,0,,,-,,-,,
PACIFIC,2014,33,8,,10,,28,,300,,429,,,-,2,,7,,37,,76,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2014,33,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,33,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,33,,-,0,,0,,,-,,-,,-,0,,5,,1,,137,,,-,0,,0,,,-,5,,"VIRGIN ISL.
",
WASHINGTON,2014,33,,-,0,,11,,33,,45,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
VIRGINIA,2014,33,1,,3,,9,,76,,70,,,-,0,,3,,5,,14,,,-,0,,1,,,-,,-,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
ILLINOIS,2014,33,,-,4,,11,,91,,164,,,-,0,,3,,1,,16,,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
TENNESSEE,2014,33,4,,2,,5,,51,,43,,,-,0,,1,,1,,9,,,-,0,,0,,,-,,-,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
DELAWARE,2014,33,,-,0,,2,,2,,8,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883059000046, -75.57773943699965)",
MICHIGAN,2014,33,4,,4,,15,,124,,154,,,-,0,,3,,,-,11,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
NEW JERSEY,2014,33,,-,0,,5,,13,,41,,,-,0,,5,,20,,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
MINNESOTA,2014,33,,-,0,,17,,,-,178,,,-,0,,2,,,-,13,,,-,0,,0,,,-,1,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
NEW HAMPSHIRE,2014,33,,-,0,,4,,13,,27,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
SOUTH DAKOTA,2014,33,,-,3,,17,,78,,78,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
WISCONSIN,2014,33,5,,7,,20,,253,,295,,,-,0,,2,,4,,6,,,-,0,,0,,,-,,-,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
PENNSYLVANIA,2014,33,9,,6,,19,,195,,248,,,-,0,,2,,8,,20,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
MISSISSIPPI,2014,33,1,,1,,4,,28,,28,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
WYOMING,2014,33,,-,0,,25,,16,,36,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"WYOMING
(43.235543013000495, -108.10982744299969)",
MARYLAND,2014,33,2,,1,,5,,39,,34,,,-,0,,2,,6,,5,,,-,0,,0,,,-,,-,"MARYLAND
(39.29058224000045, -76.60925970899967)",
WEST VIRGINIA,2014,33,,-,0,,2,,5,,13,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
LOUISIANA,2014,33,,-,4,,33,,114,,180,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
FLORIDA,2014,33,117,,9,,90,,633,,212,,,-,0,,13,,6,,97,,,-,0,,0,,,-,,-,"FLORIDA
(28.93204444200046, -81.92895558499964)",
NEW YORK,2014,33,11,,4,,14,,134,,119,,,-,0,,4,,16,,34,,,-,0,,0,,,-,1,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEBRASKA,2014,33,2,,2,,11,,56,,79,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
OHIO,2014,33,14,,6,,17,,196,,209,,,-,0,,1,,7,,6,,,-,0,,0,,,-,,-,"OHIO
(40.06021184000048, -82.40425685299965)",
NEW YORK CITY,2014,33,,-,2,,6,,42,,39,,,-,1,,9,,18,,71,,,-,0,,0,,,-,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
GEORGIA,2014,33,2,,5,,16,,149,,161,,,-,0,,1,,3,,7,,,-,0,,0,,,-,,-,"GEORGIA
(32.83968158500045, -83.62757601199968)",
CALIFORNIA,2014,33,7,,6,,15,,193,,171,,,-,1,,7,,28,,61,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
IOWA,2014,33,,-,5,,130,,158,,951,,,-,0,,1,,1,,,-,,-,0,,0,,,-,2,,"IOWA
(42.469401477000474, -93.81648936699969)",
IDAHO,2014,33,1,,2,,22,,42,,68,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"IDAHO
(43.68263160000049, -114.3637261449997)",
ALASKA,2014,33,,-,0,,1,,1,,2,,,-,0,,1,,2,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
INDIANA,2014,33,,-,2,,7,,64,,83,,,-,0,,1,,1,,5,,,-,0,,0,,,-,,-,"INDIANA
(39.76691072200049, -86.14995579899966)",
ARIZONA,2014,33,,-,1,,5,,31,,26,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"ARIZONA
(34.865970167000455, -111.76380949799972)",
TEXAS,2014,33,5,,7,,37,,165,,166,,,-,0,,9,,7,,35,,,-,0,,0,,,-,,-,"TEXAS
(31.827240712000446, -99.4267664729997)",
ARKANSAS,2014,33,1,,1,,12,,16,,25,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
OREGON,2014,33,1,,3,,8,,71,,210,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745218600048, -120.15502977999972)",
