Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
MICHIGAN,2014,47,,-,2,,13,,125,,164,,,-,0,,2,,12,,19,,,-,0,,2,,11,,4,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
ILLINOIS,2014,47,,-,1,,20,,172,,337,,,-,0,,4,,37,,63,,,-,0,,2,,11,,10,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
WISCONSIN,2014,47,,-,9,,97,,1089,,1844,,,-,0,,2,,6,,10,,,-,0,,1,,7,,13,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
MISSOURI,2014,47,,-,0,,2,,11,,3,,,-,0,,1,,13,,5,,,-,0,,1,,8,,10,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
MOUNTAIN,2014,47,,-,1,,7,,44,,104,,,-,1,,6,,45,,82,,,-,0,,3,,25,,37,,"MOUNTAIN
(47.00024835200048, -109.75101789499968)",
UTAH,2014,47,,-,0,,1,,3,,15,,,-,0,,1,,4,,7,,,-,0,,1,,1,,7,,"UTAH
(39.36070082200047, -111.5871285339997)",
NEW YORK,2014,47,61,,41,,226,,2711,,3521,,,-,1,,4,,58,,52,,,-,0,,3,,8,,21,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
IDAHO,2014,47,,-,0,,1,,8,,19,,,-,0,,1,,3,,5,,,-,0,,1,,4,,4,,"IDAHO
(43.68263160000049, -114.3637261449997)",
PACIFIC,2014,47,,-,2,,6,,93,,177,,1,,2,,6,,116,,137,,,-,2,,7,,80,,129,,"PACIFIC
(38.48199730900046, -90.74151604899964)",
ARIZONA,2014,47,,-,0,,5,,18,,31,,,-,0,,3,,18,,31,,,-,0,,2,,9,,11,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
NORTH CAROLINA,2014,47,78,,0,,27,,147,,152,,2,,0,,8,,35,,22,,,-,0,,3,,11,,10,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
WEST VIRGINIA,2014,47,,-,1,,14,,119,,137,,,-,0,,1,,2,,2,,,-,0,,1,,1,,2,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
NORTH DAKOTA,2014,47,,-,0,,2,,13,,29,,,-,0,,1,,9,,3,,,-,0,,1,,2,,3,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
UNITED STATES,2014,47,230,,338,,1741,,26528,,34587,,5,,25,,51,,1296,,1450,,4,,8,,24,,356,,503,,"UNITED STATES
(39.759995942000444, -98.49999896099968)",
WASHINGTON,2014,47,,-,0,,4,,12,,14,,1,,0,,3,,35,,26,,,-,0,,4,,11,,13,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
VIRGINIA,2014,47,14,,14,,267,,992,,921,,,-,1,,5,,66,,67,,,-,0,,2,,8,,6,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
GUAM,2014,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.480998894000436, 144.73149801400064)",
TENNESSEE,2014,47,,-,0,,3,,17,,22,,,-,0,,2,,17,,17,,,-,0,,1,,6,,5,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
INDIANA,2014,47,,-,0,,11,,72,,108,,,-,0,,3,,17,,18,,,-,0,,1,,4,,14,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MINNESOTA,2014,47,,-,0,,14,,3,,2299,,,-,0,,2,,2,,62,,,-,0,,2,,5,,10,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
OKLAHOMA,2014,47,,-,0,,2,,,-,1,,,-,0,,3,,9,,12,,,-,0,,2,,9,,6,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
MONTANA,2014,47,,-,0,,2,,7,,17,,,-,0,,1,,2,,,-,,-,0,,1,,4,,1,,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEW YORK CITY,2014,47,27,,3,,441,,740,,724,,,-,3,,16,,180,,177,,,-,0,,2,,10,,16,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
ALASKA,2014,47,,-,0,,2,,6,,12,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
SOUTH DAKOTA,2014,47,,-,0,,1,,2,,4,,,-,0,,1,,3,,7,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
OHIO,2014,47,2,,1,,10,,108,,91,,1,,1,,3,,36,,26,,,-,0,,2,,10,,9,,"OHIO
(40.06021184000048, -82.40425685299965)",
CONNECTICUT,2014,47,,-,15,,146,,1523,,2871,,,-,0,,2,,8,,18,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
GEORGIA,2014,47,,-,0,,3,,3,,8,,,-,1,,5,,74,,63,,,-,0,,2,,12,,12,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
NEW HAMPSHIRE,2014,47,,-,6,,58,,591,,1664,,,-,0,,2,,6,,9,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
UNITED STATES,2014,48,82,,331,,1758,,27253,,34829,,5,,25,,51,,1316,,1467,,3,,8,,24,,362,,512,,,
NEW ENGLAND,2014,48,1,,100,,668,,9013,,12588,,,-,2,,7,,90,,121,,,-,0,,3,,13,,22,,,
MID. ATLANTIC,2014,48,70,,173,,899,,13327,,13546,,1,,7,,23,,377,,390,,,-,1,,3,,38,,77,,,
E.N. CENTRAL,2014,48,1,,12,,128,,1579,,2549,,,-,2,,8,,108,,137,,1,,1,,4,,44,,50,,,
W.N. CENTRAL,2014,48,,-,3,,22,,244,,2632,,1,,1,,4,,57,,104,,,-,0,,3,,20,,38,,,
S. ATLANTIC,2014,48,10,,42,,309,,2810,,3076,,1,,7,,18,,364,,374,,1,,2,,6,,89,,92,,,
DIST. OF COL.,2014,48,,-,0,,4,,23,,34,,,-,0,,2,,8,,12,,,-,0,,1,,1,,,-,"DIST. OF COL.
",
E.S. CENTRAL,2014,48,,-,2,,10,,118,,84,,,-,1,,5,,41,,32,,,-,0,,2,,16,,12,,,
W.S. CENTRAL,2014,48,,-,0,,13,,30,,69,,,-,2,,21,,113,,88,,,-,0,,6,,33,,52,,,
MOUNTAIN,2014,48,,-,1,,7,,49,,105,,,-,1,,6,,46,,82,,1,,0,,3,,26,,37,,,
PACIFIC,2014,48,,-,1,,5,,83,,180,,2,,2,,6,,120,,139,,,-,2,,7,,83,,132,,,
AMER. SAMOA,2014,48,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,48,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,48,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OREGON,2014,48,,-,1,,5,,51,,40,,,-,0,,2,,16,,13,,,-,0,,3,,17,,11,,"OREGON
(44.56745049300008, -120.15502935599994)",
NEBRASKA,2014,48,,-,0,,4,,16,,10,,,-,0,,2,,9,,6,,,-,0,,1,,,-,5,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
NEW JERSEY,2014,48,,-,32,,172,,2481,,3684,,,-,1,,5,,67,,88,,,-,0,,1,,8,,18,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MISSISSIPPI,2014,48,,-,0,,1,,2,,,-,,-,0,,1,,1,,3,,,-,0,,1,,1,,3,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NEW MEXICO,2014,48,,-,0,,0,,,-,6,,,-,0,,1,,2,,1,,,-,0,,1,,2,,2,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
WEST VIRGINIA,2014,48,,-,1,,14,,119,,137,,,-,0,,1,,2,,2,,,-,0,,1,,1,,2,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NEW HAMPSHIRE,2014,48,,-,6,,58,,591,,1670,,,-,0,,2,,7,,9,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
OKLAHOMA,2014,48,,-,0,,2,,,-,1,,,-,0,,3,,9,,12,,,-,0,,2,,9,,6,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
MONTANA,2014,48,,-,0,,2,,7,,17,,,-,0,,1,,2,,,-,,-,0,,1,,4,,1,,"MONTANA
(47.06652795700006, -109.42441587999997)",
HAWAII,2014,48,,N,0,,0,,,N,,N,,-,0,,1,,3,,1,,,-,0,,1,,2,,1,,"HAWAII
(21.304853205000427, -157.85774691599974)",
KANSAS,2014,48,,-,0,,2,,14,,34,,,-,0,,2,,9,,8,,,-,0,,1,,1,,3,,"KANSAS
(38.347742794000055, -98.20077822999997)",
LOUISIANA,2014,48,,-,0,,1,,2,,,-,,-,0,,1,,12,,8,,,-,0,,1,,6,,15,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
KENTUCKY,2014,48,,-,0,,5,,43,,39,,,-,0,,2,,10,,9,,,-,0,,1,,3,,1,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NORTH CAROLINA,2014,48,2,,0,,78,,149,,153,,,-,0,,8,,35,,22,,,-,0,,3,,11,,10,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
VIRGINIA,2014,48,,-,14,,267,,992,,931,,,-,1,,5,,66,,67,,,-,0,,2,,8,,6,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
SOUTH CAROLINA,2014,48,,-,0,,3,,31,,40,,,-,0,,1,,5,,9,,,-,0,,1,,2,,3,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
PENNSYLVANIA,2014,48,33,,72,,596,,7354,,5578,,,-,1,,5,,71,,66,,,-,0,,2,,12,,22,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
UTAH,2014,48,,-,0,,2,,8,,15,,,-,0,,1,,4,,7,,,-,0,,1,,1,,7,,"UTAH
(39.36070123200005, -111.58712831499997)",
WYOMING,2014,48,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,"WYOMING
(43.23554100600006, -108.10982701399996)",
ILLINOIS,2014,48,,-,1,,20,,175,,337,,,-,0,,4,,37,,64,,,-,0,,2,,11,,10,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
IOWA,2014,48,,-,1,,20,,184,,244,,,-,0,,2,,11,,12,,,-,0,,1,,2,,1,,"IOWA
(42.469401411000035, -93.81648725599996)",
CONNECTICUT,2014,48,,-,17,,169,,1965,,2882,,,-,0,,2,,8,,18,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
TENNESSEE,2014,48,,-,0,,3,,17,,22,,,-,0,,2,,17,,18,,,-,0,,1,,6,,5,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
MASSACHUSETTS,2014,48,,-,38,,362,,4053,,5189,,,-,1,,5,,48,,69,,,-,0,,1,,10,,11,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
GEORGIA,2014,48,,-,0,,3,,3,,8,,,-,1,,5,,74,,64,,,-,0,,2,,12,,12,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
GUAM,2014,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.480998894000038, 144.73149801400007)",
CALIFORNIA,2014,48,,-,0,,2,,14,,112,,,-,1,,5,,62,,95,,,-,1,,5,,53,,107,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
DELAWARE,2014,48,3,,6,,24,,381,,491,,,-,0,,1,,2,,9,,,-,0,,1,,1,,2,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
OHIO,2014,48,,-,1,,10,,108,,91,,,-,1,,3,,36,,26,,1,,0,,2,,11,,9,,"OHIO
(40.060212455000055, -82.40425667899996)",
PUERTO RICO,2014,48,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
WASHINGTON,2014,48,,-,0,,4,,12,,14,,2,,0,,3,,37,,26,,,-,0,,4,,11,,13,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
INDIANA,2014,48,,-,0,,11,,72,,108,,,-,0,,3,,17,,18,,,-,0,,1,,4,,14,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MICHIGAN,2014,48,1,,1,,13,,125,,164,,,-,0,,2,,12,,19,,,-,0,,2,,11,,4,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MARYLAND,2014,48,2,,14,,62,,985,,1158,,,-,2,,8,,126,,139,,,-,0,,1,,6,,3,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
VERMONT,2014,48,1,,8,,48,,543,,883,,,-,0,,2,,4,,5,,,-,0,,1,,,-,3,,"VERMONT
(43.62538389600007, -72.51763667599994)",
ALASKA,2014,48,,-,0,,2,,6,,14,,,-,0,,1,,2,,4,,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
FLORIDA,2014,48,3,,2,,12,,127,,124,,1,,1,,4,,46,,50,,1,,1,,4,,47,,54,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
COLORADO,2014,48,,-,0,,0,,,-,,-,,-,0,,3,,7,,31,,,-,0,,1,,3,,9,,"COLORADO
(38.84384342200008, -106.13360911499996)",
ARKANSAS,2014,48,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,6,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
NEVADA,2014,48,,-,0,,2,,6,,13,,,-,0,,2,,9,,7,,,-,0,,1,,2,,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
RHODE ISLAND,2014,48,,-,7,,81,,640,,643,,,-,0,,3,,17,,11,,,-,0,,1,,1,,1,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEW YORK,2014,48,34,,41,,226,,2749,,3553,,,-,1,,4,,58,,53,,,-,0,,3,,8,,21,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
SOUTH DAKOTA,2014,48,,-,0,,1,,2,,4,,1,,0,,1,,4,,7,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MINNESOTA,2014,48,,-,0,,14,,3,,2308,,,-,0,,2,,2,,63,,,-,0,,2,,5,,12,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
ALABAMA,2014,48,,-,0,,7,,56,,23,,,-,0,,3,,13,,2,,,-,0,,1,,6,,3,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
MISSOURI,2014,48,,-,0,,2,,11,,3,,,-,0,,1,,13,,5,,,-,0,,1,,8,,10,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
TEXAS,2014,48,,-,0,,11,,28,,68,,,-,1,,19,,90,,67,,,-,0,,5,,17,,25,,"TEXAS
(31.827240467000024, -99.42676785299994)",
WISCONSIN,2014,48,,-,9,,97,,1099,,1849,,,-,0,,2,,6,,10,,,-,0,,1,,7,,13,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
MAINE,2014,48,,-,14,,89,,1221,,1321,,,-,0,,1,,6,,9,,,-,0,,1,,1,,3,,"MAINE
(45.25422910300006, -68.98502586699993)",
IDAHO,2014,48,,-,0,,1,,8,,19,,,-,0,,1,,3,,5,,1,,0,,1,,5,,4,,"IDAHO
(43.68263174800006, -114.36372693399994)",
ARIZONA,2014,48,,-,0,,5,,18,,32,,,-,0,,3,,19,,31,,,-,0,,2,,9,,11,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW YORK CITY,2014,48,3,,3,,441,,743,,731,,1,,3,,16,,181,,183,,,-,0,,2,,10,,16,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NORTH DAKOTA,2014,48,,-,0,,2,,14,,29,,,-,0,,1,,9,,3,,,-,0,,1,,2,,3,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
UNITED STATES,2014,49,110,,348,,1774,,27659,,35110,,13,,26,,51,,1338,,1492,,2,,7,,24,,366,,518,,,
NEW ENGLAND,2014,49,3,,95,,672,,9084,,12676,,,-,2,,7,,90,,124,,,-,0,,3,,13,,22,,,
CONNECTICUT,2014,49,,-,17,,169,,1965,,2897,,,-,0,,2,,8,,19,,,-,0,,1,,1,,2,,"CONNECTICUT
",
MASSACHUSETTS,2014,49,,-,38,,362,,4053,,5225,,,-,1,,5,,48,,70,,,-,0,,1,,10,,11,,"MASSACHUSETTS
",
NEW HAMPSHIRE,2014,49,,-,6,,61,,613,,1677,,,-,0,,2,,7,,9,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
",
RHODE ISLAND,2014,49,,-,7,,81,,640,,660,,,-,0,,3,,17,,11,,,-,0,,1,,1,,1,,"RHODE ISLAND
",
VERMONT,2014,49,3,,8,,48,,564,,885,,,-,0,,2,,4,,5,,,-,0,,1,,,-,3,,"VERMONT
",
MID. ATLANTIC,2014,49,99,,176,,910,,13619,,13671,,5,,7,,23,,384,,395,,1,,1,,3,,39,,77,,,
NEW JERSEY,2014,49,,-,33,,179,,2613,,3717,,,-,1,,5,,70,,89,,,-,0,,1,,8,,18,,"NEW JERSEY
",
NEW YORK,2014,49,56,,41,,226,,2776,,3586,,,-,1,,4,,58,,54,,,-,0,,3,,8,,21,,"NEW YORK
",
NEW YORK CITY,2014,49,3,,3,,441,,746,,736,,4,,3,,16,,184,,184,,1,,0,,2,,11,,16,,"NEW YORK CITY
",
PENNSYLVANIA,2014,49,40,,77,,598,,7484,,5632,,1,,1,,5,,72,,68,,,-,0,,2,,12,,22,,"PENNSYLVANIA
",
E.N. CENTRAL,2014,49,1,,13,,128,,1589,,2560,,,-,2,,8,,109,,138,,,-,1,,4,,44,,50,,,
ILLINOIS,2014,49,,-,1,,20,,175,,337,,,-,0,,4,,38,,64,,,-,0,,2,,11,,10,,"ILLINOIS
",
INDIANA,2014,49,,-,0,,11,,75,,109,,,-,0,,3,,17,,18,,,-,0,,1,,4,,14,,"INDIANA
",
MICHIGAN,2014,49,,-,2,,13,,129,,166,,,-,0,,2,,12,,19,,,-,0,,2,,11,,4,,"MICHIGAN
",
OHIO,2014,49,1,,1,,10,,111,,92,,,-,1,,3,,36,,27,,,-,0,,2,,11,,9,,"OHIO
",
WISCONSIN,2014,49,,-,9,,97,,1099,,1856,,,-,0,,2,,6,,10,,,-,0,,1,,7,,13,,"WISCONSIN
",
W.N. CENTRAL,2014,49,1,,3,,22,,251,,2638,,1,,1,,4,,60,,105,,,-,0,,3,,20,,38,,,
IOWA,2014,49,,-,1,,20,,188,,246,,,-,0,,2,,12,,12,,,-,0,,1,,2,,1,,"IOWA
",
KANSAS,2014,49,,-,0,,2,,15,,34,,,-,0,,2,,9,,8,,,-,0,,1,,1,,3,,"KANSAS
",
MINNESOTA,2014,49,,-,0,,14,,3,,2312,,,-,0,,2,,2,,64,,,-,0,,1,,5,,12,,"MINNESOTA
",
MISSOURI,2014,49,1,,0,,2,,12,,3,,,-,0,,1,,14,,5,,,-,0,,1,,8,,10,,"MISSOURI
",
NEBRASKA,2014,49,,-,0,,4,,16,,10,,,-,0,,2,,9,,6,,,-,0,,0,,,-,5,,"NEBRASKA
",
NORTH DAKOTA,2014,49,,-,0,,2,,15,,29,,,-,0,,1,,9,,3,,,-,0,,1,,2,,3,,"NORTH DAKOTA
",
SOUTH DAKOTA,2014,49,,-,0,,1,,2,,4,,1,,0,,1,,5,,7,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
",
S. ATLANTIC,2014,49,6,,43,,309,,2831,,3122,,6,,7,,18,,370,,384,,1,,2,,6,,91,,93,,,
DELAWARE,2014,49,4,,6,,24,,385,,495,,,-,0,,1,,2,,9,,,-,0,,1,,1,,2,,"DELAWARE
",
DIST. OF COL.,2014,49,,-,0,,4,,23,,35,,,-,0,,2,,8,,12,,,-,0,,1,,1,,,-,"DIST. OF COL.
",
FLORIDA,2014,49,2,,2,,12,,129,,130,,3,,1,,4,,49,,53,,1,,1,,4,,49,,55,,"FLORIDA
",
GEORGIA,2014,49,,-,0,,3,,3,,8,,,-,1,,5,,74,,64,,,-,0,,2,,12,,12,,"GEORGIA
",
MARYLAND,2014,49,,-,14,,62,,997,,1176,,3,,2,,8,,129,,145,,,-,0,,1,,6,,3,,"MARYLAND
",
NORTH CAROLINA,2014,49,,-,0,,78,,149,,153,,,-,0,,8,,35,,22,,,-,0,,3,,11,,10,,"NORTH CAROLINA
",
SOUTH CAROLINA,2014,49,,-,0,,3,,31,,40,,,-,0,,1,,5,,9,,,-,0,,1,,2,,3,,"SOUTH CAROLINA
",
VIRGINIA,2014,49,,-,14,,267,,992,,947,,,-,1,,5,,66,,68,,,-,0,,2,,8,,6,,"VIRGINIA
",
WEST VIRGINIA,2014,49,,-,1,,14,,122,,138,,,-,0,,1,,2,,2,,,-,0,,1,,1,,2,,"WEST VIRGINIA
",
E.S. CENTRAL,2014,49,,-,2,,10,,119,,85,,,-,1,,5,,41,,33,,,-,0,,2,,16,,14,,,
ALABAMA,2014,49,,-,0,,7,,57,,23,,,-,0,,3,,13,,2,,,-,0,,1,,6,,3,,"ALABAMA
",
KENTUCKY,2014,49,,-,0,,5,,43,,39,,,-,0,,2,,10,,9,,,-,0,,1,,3,,1,,"KENTUCKY
",
MISSISSIPPI,2014,49,,-,0,,1,,2,,,-,,-,0,,1,,1,,3,,,-,0,,1,,1,,4,,"MISSISSIPPI
",
TENNESSEE,2014,49,,-,0,,3,,17,,23,,,-,0,,2,,17,,19,,,-,0,,1,,6,,6,,"TENNESSEE
",
W.S. CENTRAL,2014,49,,-,0,,13,,30,,70,,1,,2,,21,,115,,89,,,-,0,,6,,34,,52,,,
ARKANSAS,2014,49,,-,0,,0,,,-,,-,,-,0,,1,,3,,1,,,-,0,,1,,1,,6,,"ARKANSAS
",
LOUISIANA,2014,49,,-,0,,1,,2,,,-,,-,0,,1,,12,,8,,,-,0,,1,,6,,15,,"LOUISIANA
",
OKLAHOMA,2014,49,,-,0,,2,,,-,1,,,-,0,,3,,9,,12,,,-,0,,2,,9,,6,,"OKLAHOMA
",
TEXAS,2014,49,,-,0,,11,,28,,69,,1,,1,,19,,91,,68,,,-,0,,5,,18,,25,,"TEXAS
",
MOUNTAIN,2014,49,,-,1,,7,,50,,106,,,-,1,,6,,46,,83,,,-,0,,3,,26,,37,,,
ARIZONA,2014,49,,-,0,,5,,19,,32,,,-,0,,3,,19,,31,,,-,0,,2,,9,,11,,"ARIZONA
",
COLORADO,2014,49,,-,0,,0,,,-,,-,,-,0,,3,,7,,32,,,-,0,,1,,3,,9,,"COLORADO
",
IDAHO,2014,49,,-,0,,1,,8,,19,,,-,0,,1,,3,,5,,,-,0,,1,,5,,4,,"IDAHO
",
MONTANA,2014,49,,-,0,,2,,7,,17,,,-,0,,1,,2,,,-,,-,0,,1,,4,,1,,"MONTANA
",
NEVADA,2014,49,,-,0,,2,,6,,14,,,-,0,,2,,9,,7,,,-,0,,1,,2,,1,,"NEVADA
",
NEW MEXICO,2014,49,,-,0,,0,,,-,6,,,-,0,,1,,2,,1,,,-,0,,1,,2,,2,,"NEW MEXICO
",
UTAH,2014,49,,-,0,,2,,8,,15,,,-,0,,1,,4,,7,,,-,0,,1,,1,,7,,"UTAH
",
WYOMING,2014,49,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,"WYOMING
",
PACIFIC,2014,49,,-,1,,5,,86,,182,,,-,3,,6,,123,,141,,,-,1,,7,,83,,135,,,
ALASKA,2014,49,,-,0,,1,,6,,14,,,-,0,,1,,2,,4,,,-,0,,0,,,-,,-,"ALASKA
",
CALIFORNIA,2014,49,,-,0,,2,,14,,112,,,-,1,,5,,65,,96,,,-,1,,5,,53,,110,,"CALIFORNIA
",
HAWAII,2014,49,,N,0,,0,,,N,,N,,-,0,,1,,3,,1,,,-,0,,1,,2,,1,,"HAWAII
",
OREGON,2014,49,,-,1,,5,,54,,42,,,-,0,,2,,16,,13,,,-,0,,3,,17,,11,,"OREGON
",
WASHINGTON,2014,49,,-,0,,4,,12,,14,,,-,1,,3,,37,,27,,,-,0,,4,,11,,13,,"WASHINGTON
",
AMER. SAMOA,2014,49,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,49,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
GUAM,2014,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
",
VIRGIN ISL.,2014,49,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
UNITED STATES,2014,50,176,,368,,1780,,28416,,35370,,7,,26,,51,,1363,,1519,,4,,8,,24,,372,,527,,,
NEW ENGLAND,2014,50,2,,99,,686,,9366,,12753,,,-,2,,7,,91,,124,,,-,0,,3,,13,,22,,,
MID. ATLANTIC,2014,50,101,,183,,915,,13868,,13789,,2,,7,,23,,389,,403,,,-,1,,3,,39,,78,,,
E.N. CENTRAL,2014,50,1,,13,,128,,1615,,2567,,,-,2,,8,,109,,141,,,-,1,,4,,45,,51,,,
W.N. CENTRAL,2014,50,,-,3,,22,,255,,2645,,,-,1,,4,,61,,107,,,-,0,,3,,20,,38,,,
S. ATLANTIC,2014,50,72,,44,,309,,3020,,3168,,5,,7,,18,,382,,388,,2,,2,,6,,93,,95,,,
DIST. OF COL.,2014,50,,-,0,,4,,23,,35,,,-,0,,2,,8,,12,,,-,0,,1,,1,,,-,"DIST. OF COL.
",
E.S. CENTRAL,2014,50,,-,2,,10,,119,,87,,,-,1,,5,,41,,33,,,-,0,,1,,16,,15,,,
W.S. CENTRAL,2014,50,,-,0,,13,,30,,71,,,-,2,,21,,117,,93,,1,,0,,6,,35,,53,,,
MOUNTAIN,2014,50,,-,1,,7,,51,,108,,,-,1,,6,,47,,86,,,-,0,,3,,27,,37,,,
PACIFIC,2014,50,,-,1,,5,,92,,182,,,-,3,,6,,126,,144,,1,,1,,7,,84,,138,,,
AMER. SAMOA,2014,50,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
