Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,20,,-,1,,6,,10,,31,,28,,41,,214,,424,,555,,125,,476,,582,,7960,,8419,,,
NEW ENGLAND,2016,20,,-,0,,1,,,-,1,,,-,0,,2,,3,,5,,2,,13,,27,,248,,229,,,
MID. ATLANTIC,2016,20,,-,0,,1,,4,,2,,,-,2,,10,,15,,11,,21,,61,,101,,1078,,996,,,
NEW YORK CITY,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,4,,,-,,-,31,,45,,592,,497,,"NEW YORK CITY
",
E.N. CENTRAL,2016,20,,-,0,,3,,,-,4,,,-,1,,9,,8,,17,,1,,45,,64,,630,,904,,,
W.N. CENTRAL,2016,20,,-,0,,3,,1,,1,,,-,4,,28,,23,,71,,4,,17,,32,,346,,295,,,
S. ATLANTIC,2016,20,,-,0,,4,,,-,13,,4,,11,,78,,100,,108,,30,,118,,164,,2039,,2124,,,
DIST. OF COL.,2016,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,1,,7,,27,,41,,"DIST. OF COL.
",
E.S. CENTRAL,2016,20,,-,0,,3,,3,,1,,16,,15,,65,,180,,182,,6,,19,,35,,295,,366,,,
W.S. CENTRAL,2016,20,,-,0,,1,,,-,1,,8,,10,,72,,86,,144,,35,,54,,75,,963,,914,,,
MOUNTAIN,2016,20,,-,0,,2,,2,,8,,,-,0,,3,,7,,10,,5,,27,,40,,476,,501,,,
PACIFIC,2016,20,,-,0,,1,,,-,,-,,-,0,,4,,2,,7,,21,,111,,140,,1885,,2090,,,
AMER. SAMOA,2016,20,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,20,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WYOMING,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,1,,"WYOMING
(43.23558, -108.110518)",
CALIFORNIA,2016,20,,-,0,,1,,,-,,-,,-,0,,1,,2,,5,,10,,96,,120,,1662,,1759,,"CALIFORNIA
(37.640735, -121.002435)",
VIRGINIA,2016,20,,-,0,,1,,,-,,-,2,,3,,23,,40,,28,,16,,6,,39,,182,,122,,"VIRGINIA
(37.542699, -78.45822)",
LOUISIANA,2016,20,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,2,,13,,38,,140,,200,,"LOUISIANA
(31.2931, -92.463284)",
SOUTH DAKOTA,2016,20,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,5,,15,,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,2,,7,,13,,109,,133,,"OREGON
(44.567912, -120.156945)",
NEW MEXICO,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,3,,10,,58,,46,,"NEW MEXICO
(34.520396, -106.244402)",
WEST VIRGINIA,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,1,,5,,17,,18,,"WEST VIRGINIA
(38.668501, -80.709421)",
UTAH,2016,20,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,,-,1,,5,,7,,22,,"UTAH
(39.359772, -111.584173)",
TEXAS,2016,20,,-,0,,1,,,-,,-,2,,1,,5,,9,,7,,32,,35,,48,,709,,638,,"TEXAS
(31.827233, -99.423022)",
HAWAII,2016,20,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,20,,31,,"HAWAII
(21.30992, -157.858158)",
MONTANA,2016,20,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,1,,0,,2,,12,,1,,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2016,20,,-,0,,0,,,-,,-,,-,0,,2,,9,,1,,,-,9,,20,,145,,160,,"MARYLAND
(39.290443, -76.612333)",
MASSACHUSETTS,2016,20,,-,0,,1,,,-,,-,,-,0,,1,,1,,2,,2,,9,,18,,170,,135,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2016,20,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2016,20,,-,0,,1,,,-,1,,6,,10,,71,,75,,132,,1,,3,,9,,51,,10,,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,14,,9,,"MAINE
(45.252223, -68.986647)",
DELAWARE,2016,20,,-,0,,0,,,-,,-,,-,0,,4,,7,,1,,,-,1,,7,,21,,16,,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2016,20,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,3,,9,,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSISSIPPI,2016,20,,-,0,,1,,,-,,-,,-,1,,8,,11,,16,,1,,5,,9,,91,,78,,"MISSISSIPPI
(32.738663, -89.537312)",
MINNESOTA,2016,20,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,,-,5,,11,,125,,79,,"MINNESOTA
(44.943719, -93.094281)",
WISCONSIN,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,,-,2,,5,,44,,31,,"WISCONSIN
(44.395526, -89.834513)",
NEW YORK,2016,20,,-,0,,1,,3,,2,,,-,0,,3,,3,,5,,16,,9,,46,,169,,126,,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2016,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,18,,15,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2016,20,,-,0,,1,,,-,,-,5,,4,,19,,69,,55,,,-,5,,11,,59,,105,,"ALABAMA
(32.839182, -86.631125)",
OHIO,2016,20,,-,0,,0,,,-,1,,,-,0,,3,,2,,4,,,-,11,,17,,227,,248,,"OHIO
(40.056807, -82.405897)",
IDAHO,2016,20,,-,0,,1,,1,,,-,,-,0,,2,,1,,,-,,-,1,,7,,21,,6,,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2016,20,,-,0,,1,,,-,,-,,-,3,,66,,36,,62,,,-,21,,43,,295,,349,,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2016,20,,-,0,,0,,,-,1,,,-,0,,1,,,-,2,,,-,1,,7,,9,,40,,"CONNECTICUT
(41.544654, -72.651713)",
GUAM,2016,20,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2016,20,,-,0,,3,,2,,1,,11,,8,,42,,81,,93,,1,,7,,13,,80,,129,,"TENNESSEE
(35.681402, -85.774444)",
PUERTO RICO,2016,20,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,9,,38,,175,,168,,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2016,20,,-,0,,1,,,-,,-,1,,0,,5,,3,,8,,5,,41,,65,,789,,745,,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2016,20,,-,0,,3,,,-,3,,,-,0,,6,,3,,7,,,-,18,,36,,160,,351,,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,2,,4,,9,,66,,87,,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2016,20,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,9,,8,,13,,94,,167,,"WASHINGTON
(47.517368, -120.467672)",
MICHIGAN,2016,20,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,,-,6,,12,,69,,175,,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2016,20,,-,0,,1,,1,,1,,,-,1,,13,,8,,27,,,-,2,,5,,35,,27,,"KANSAS
(38.345528, -98.201847)",
SOUTH CAROLINA,2016,20,,-,0,,1,,,-,1,,1,,1,,3,,5,,7,,6,,5,,15,,140,,110,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2016,20,,-,0,,1,,,-,,-,,-,3,,18,,13,,36,,2,,6,,16,,140,,125,,"MISSOURI
(38.636168, -92.566292)",
IOWA,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,1,,1,,4,,23,,26,,"IOWA
(42.46942, -93.815856)",
NEVADA,2016,20,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,6,,15,,123,,114,,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2016,20,,-,0,,1,,1,,7,,,-,0,,1,,5,,6,,1,,11,,19,,187,,224,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2016,20,,-,0,,1,,1,,,-,,-,2,,10,,19,,18,,4,,3,,12,,65,,54,,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2016,20,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,2,,4,,31,,25,,"RHODE ISLAND
(41.707447, -71.522488)",
OKLAHOMA,2016,20,,-,0,,0,,,-,,-,,-,0,,16,,2,,3,,,-,4,,11,,63,,66,,"OKLAHOMA
(35.468494, -97.521264)",
INDIANA,2016,20,,-,0,,0,,,-,,-,,-,0,,3,,,-,4,,1,,6,,12,,130,,99,,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2016,20,,-,0,,1,,1,,,-,,-,0,,7,,4,,6,,,-,6,,17,,102,,125,,"NEW JERSEY
(40.104655, -74.386686)",
NEBRASKA,2016,20,,-,0,,3,,,-,,-,,-,0,,2,,2,,4,,1,,0,,4,,9,,19,,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2016,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,6,,5,,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2016,20,,-,0,,4,,,-,12,,,-,0,,0,,,-,,-,1,,24,,47,,423,,563,,"GEORGIA
(32.836038, -83.631709)",
PENNSYLVANIA,2016,20,,-,0,,0,,,-,,-,,-,0,,4,,4,,,-,5,,13,,19,,215,,248,,"PENNSYLVANIA
(40.789676, -77.858055)",
UNITED STATES,2016,21,,-,2,,15,,19,,37,,12,,44,,318,,480,,665,,92,,476,,581,,8415,,8816,,,
NEW ENGLAND,2016,21,,-,0,,1,,,-,1,,,-,0,,2,,3,,5,,,-,13,,27,,247,,244,,,
MID. ATLANTIC,2016,21,,-,0,,1,,4,,3,,,-,2,,10,,15,,15,,20,,61,,101,,1137,,1051,,,
NEW YORK CITY,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,4,,1,,2,,32,,45,,619,,530,,"NEW YORK CITY
",
E.N. CENTRAL,2016,21,,-,0,,0,,,-,2,,,-,1,,8,,10,,18,,1,,46,,64,,698,,942,,,
W.N. CENTRAL,2016,21,,-,0,,3,,1,,2,,1,,4,,29,,30,,84,,4,,17,,32,,362,,310,,,
S. ATLANTIC,2016,21,,-,1,,10,,8,,19,,2,,11,,78,,115,,126,,8,,120,,164,,2166,,2220,,,
DIST. OF COL.,2016,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,28,,44,,"DIST. OF COL.
",
E.S. CENTRAL,2016,21,,-,0,,3,,3,,1,,9,,15,,65,,205,,221,,5,,19,,35,,305,,375,,,
W.S. CENTRAL,2016,21,,-,0,,7,,1,,1,,,-,10,,303,,93,,178,,30,,54,,75,,1003,,971,,,
MOUNTAIN,2016,21,,-,0,,2,,2,,8,,,-,0,,3,,7,,10,,2,,27,,41,,500,,526,,,
PACIFIC,2016,21,,-,0,,0,,,-,,-,,-,0,,4,,2,,8,,22,,113,,144,,1997,,2177,,,
AMER. SAMOA,2016,21,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,21,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
KANSAS,2016,21,,-,0,,1,,1,,1,,,-,1,,13,,14,,32,,2,,2,,5,,43,,32,,"KANSAS
(38.345528, -98.201847)",
WISCONSIN,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,,-,2,,5,,50,,32,,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2016,21,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSOURI,2016,21,,-,0,,1,,,-,,-,,-,3,,18,,13,,44,,,-,6,,16,,140,,129,,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2016,21,,-,0,,0,,,-,1,,,-,0,,5,,3,,8,,,-,19,,36,,183,,368,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,1,,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2016,21,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,3,,9,,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2016,21,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,11,,8,,13,,105,,175,,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2016,21,,-,0,,0,,,-,,-,,-,0,,2,,9,,1,,,-,9,,20,,151,,177,,"MARYLAND
(39.290443, -76.612333)",
UTAH,2016,21,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,,-,1,,5,,12,,25,,"UTAH
(39.359772, -111.584173)",
GEORGIA,2016,21,,-,1,,9,,8,,18,,,-,0,,0,,,-,,-,,-,24,,48,,455,,583,,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2016,21,,-,0,,3,,,-,1,,1,,0,,2,,3,,4,,,-,0,,4,,9,,19,,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2016,21,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,9,,38,,183,,168,,"PUERTO RICO
(18.215692, -66.414655)",
VIRGINIA,2016,21,,-,0,,1,,,-,,-,1,,3,,23,,45,,34,,4,,6,,39,,186,,122,,"VIRGINIA
(37.542699, -78.45822)",
OHIO,2016,21,,-,0,,0,,,-,1,,,-,0,,2,,3,,4,,,-,11,,17,,252,,258,,"OHIO
(40.056807, -82.405897)",
IDAHO,2016,21,,-,0,,1,,1,,,-,,-,0,,2,,1,,,-,,-,1,,7,,21,,7,,"IDAHO
(43.680635, -114.364237)",
MICHIGAN,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,6,,12,,77,,180,,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,5,,7,,13,,124,,141,,"OREGON
(44.567912, -120.156945)",
HAWAII,2016,21,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,20,,32,,"HAWAII
(21.30992, -157.858158)",
MASSACHUSETTS,2016,21,,-,0,,1,,,-,,-,,-,0,,1,,1,,2,,,-,9,,18,,168,,145,,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH CAROLINA,2016,21,,-,0,,1,,,-,,-,,-,3,,66,,45,,72,,,-,21,,43,,325,,362,,"NORTH CAROLINA
(35.47995, -79.180571)",
MONTANA,2016,21,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,1,,0,,2,,14,,1,,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2016,21,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,,-,13,,38,,140,,223,,"LOUISIANA
(31.2931, -92.463284)",
MAINE,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,14,,10,,"MAINE
(45.252223, -68.986647)",
TEXAS,2016,21,,-,0,,1,,,-,,-,,-,1,,5,,9,,9,,30,,35,,48,,750,,664,,"TEXAS
(31.827233, -99.423022)",
NEVADA,2016,21,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,6,,15,,130,,119,,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,1,,5,,17,,18,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW HAMPSHIRE,2016,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,18,,16,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CALIFORNIA,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,2,,5,,6,,97,,121,,1748,,1829,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2016,21,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,2,,5,,11,,133,,82,,"MINNESOTA
(44.943719, -93.094281)",
ALABAMA,2016,21,,-,0,,1,,,-,,-,1,,4,,19,,71,,62,,,-,5,,11,,59,,105,,"ALABAMA
(32.839182, -86.631125)",
INDIANA,2016,21,,-,0,,0,,,-,,-,,-,0,,3,,1,,4,,1,,6,,12,,136,,104,,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2016,21,,-,0,,0,,,-,1,,,-,0,,1,,,-,2,,,-,1,,7,,9,,41,,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2016,21,,-,0,,1,,1,,7,,,-,0,,1,,5,,6,,1,,11,,19,,197,,236,,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2016,21,,-,0,,1,,,-,,-,1,,0,,5,,4,,8,,3,,41,,65,,842,,781,,"FLORIDA
(28.915325, -81.922409)",
RHODE ISLAND,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,2,,4,,32,,27,,"RHODE ISLAND
(41.707447, -71.522488)",
ALASKA,2016,21,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
SOUTH DAKOTA,2016,21,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,5,,16,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,2,,10,,58,,47,,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2016,21,,-,0,,1,,,-,,-,,-,1,,8,,11,,18,,1,,5,,9,,96,,79,,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2016,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,6,,5,,"VERMONT
(43.622479, -72.51927)",
IOWA,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,1,,4,,23,,28,,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2016,21,,-,0,,0,,,-,,-,,-,0,,4,,4,,,-,5,,13,,19,,229,,255,,"PENNSYLVANIA
(40.789676, -77.858055)",
DELAWARE,2016,21,,-,0,,0,,,-,,-,,-,0,,4,,7,,1,,1,,1,,7,,22,,17,,"DELAWARE
(39.008676, -75.574561)",
TENNESSEE,2016,21,,-,0,,3,,2,,1,,8,,8,,42,,100,,122,,,-,7,,11,,80,,137,,"TENNESSEE
(35.681402, -85.774444)",
NEW JERSEY,2016,21,,-,0,,1,,1,,1,,,-,0,,7,,4,,9,,,-,6,,17,,107,,133,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2016,21,,-,0,,1,,,-,1,,,-,1,,3,,5,,9,,,-,5,,15,,140,,116,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2016,21,,-,0,,1,,1,,1,,,-,10,,71,,82,,162,,,-,3,,9,,51,,12,,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2016,21,,-,0,,1,,1,,,-,,-,2,,10,,23,,19,,4,,3,,12,,70,,54,,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2016,21,,-,0,,1,,3,,2,,,-,0,,3,,3,,5,,13,,10,,46,,182,,133,,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2016,21,,-,0,,7,,,-,,-,,-,0,,272,,2,,4,,,-,4,,11,,62,,72,,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2016,21,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,4,,9,,66,,90,,"COLORADO
(38.841772, -106.132562)",
UNITED STATES,2016,22,1,,2,,15,,20,,45,,22,,45,,322,,550,,811,,76,,476,,581,,8944,,9296,,,
NEW ENGLAND,2016,22,,-,0,,1,,,-,2,,,-,0,,2,,4,,6,,7,,13,,27,,270,,255,,,
MID. ATLANTIC,2016,22,,-,0,,1,,4,,3,,1,,1,,10,,16,,23,,6,,61,,101,,1175,,1108,,,
NEW YORK CITY,2016,22,,-,0,,0,,,-,,-,,-,0,,1,,4,,2,,,-,32,,45,,643,,559,,"NEW YORK CITY
",
E.N. CENTRAL,2016,22,,-,0,,0,,,-,2,,,-,1,,8,,10,,23,,1,,46,,64,,768,,990,,,
W.N. CENTRAL,2016,22,,-,0,,3,,1,,2,,1,,3,,29,,35,,104,,2,,17,,32,,374,,321,,,
S. ATLANTIC,2016,22,,-,1,,10,,8,,26,,4,,10,,78,,129,,170,,12,,120,,164,,2274,,2353,,,
DIST. OF COL.,2016,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,28,,44,,"DIST. OF COL.
",
E.S. CENTRAL,2016,22,,-,0,,3,,3,,1,,15,,15,,65,,239,,262,,9,,19,,35,,390,,394,,,
W.S. CENTRAL,2016,22,,-,0,,7,,1,,1,,1,,10,,307,,108,,203,,25,,54,,75,,1045,,1025,,,
MOUNTAIN,2016,22,1,,0,,2,,3,,8,,,-,0,,3,,7,,10,,1,,27,,41,,525,,552,,,
PACIFIC,2016,22,,-,0,,0,,,-,,-,,-,0,,4,,2,,10,,13,,114,,144,,2123,,2298,,,
AMER. SAMOA,2016,22,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,22,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
DELAWARE,2016,22,,-,0,,0,,,-,,-,1,,0,,4,,8,,3,,3,,1,,7,,25,,17,,"DELAWARE
(39.008676, -75.574561)",
MAINE,2016,22,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,14,,11,,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2016,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,7,,21,,16,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CALIFORNIA,2016,22,,-,0,,0,,,-,,-,,-,0,,1,,2,,6,,10,,98,,121,,1861,,1930,,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2016,22,,-,0,,1,,1,,1,,,-,1,,13,,16,,42,,1,,2,,5,,48,,33,,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2016,22,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,9,,38,,189,,169,,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2016,22,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,3,,9,,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2016,22,,-,0,,1,,,-,,-,12,,4,,19,,93,,74,,1,,6,,14,,131,,113,,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2016,22,,-,0,,1,,1,,1,,,-,9,,71,,96,,186,,1,,3,,10,,56,,12,,"ARKANSAS
(34.748745, -92.275105)",
UTAH,2016,22,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,,-,1,,5,,12,,25,,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2016,22,,-,0,,1,,,-,,-,,-,3,,66,,55,,91,,,-,21,,43,,344,,396,,"NORTH CAROLINA
(35.47995, -79.180571)",
ARIZONA,2016,22,,-,0,,1,,1,,7,,,-,0,,1,,5,,6,,,-,12,,19,,209,,248,,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2016,22,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,6,,12,,103,,184,,"MICHIGAN
(44.66399, -84.711206)",
OKLAHOMA,2016,22,,-,0,,7,,,-,,-,,-,0,,275,,2,,5,,,-,4,,11,,68,,76,,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2016,22,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,5,,16,,"SOUTH DAKOTA
(44.35371, -100.373709)",
HAWAII,2016,22,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,21,,35,,"HAWAII
(21.30992, -157.858158)",
MISSOURI,2016,22,,-,0,,1,,,-,,-,,-,2,,18,,13,,54,,1,,6,,16,,146,,131,,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2016,22,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,,-,0,,2,,14,,1,,"MONTANA
(47.062617, -109.430168)",
TENNESSEE,2016,22,,-,0,,3,,2,,1,,3,,8,,42,,112,,142,,,-,6,,11,,80,,141,,"TENNESSEE
(35.681402, -85.774444)",
