Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2013","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2013, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2013","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2013, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2014","Syphilis, primary and secondary, Cum 2014, flag","Syphilis, primary and secondary, Cum 2013","Syphilis, primary and secondary, Cum 2013, flag",Location 1,Location 2
MID. ATLANTIC,2014,11,1,,0,,1,,2,,2,,,-,1,,6,,2,,12,,12,,39,,69,,340,,445,,,
E.N. CENTRAL,2014,11,,-,0,,2,,,-,,-,,-,2,,14,,4,,8,,,-,36,,58,,199,,391,,,
W.N. CENTRAL,2014,11,,-,0,,1,,,-,,-,,-,4,,26,,5,,6,,,-,13,,27,,118,,125,,,
S. ATLANTIC,2014,11,,-,2,,7,,10,,18,,,-,12,,69,,24,,31,,57,,78,,181,,758,,659,,,
E.S. CENTRAL,2014,11,,-,0,,3,,,-,,-,,-,11,,49,,18,,18,,2,,11,,29,,104,,105,,,
W.S. CENTRAL,2014,11,,-,0,,4,,,-,,-,1,,8,,104,,15,,13,,24,,39,,67,,322,,471,,,
MOUNTAIN,2014,11,,-,0,,1,,,-,1,,,-,1,,4,,2,,9,,1,,15,,26,,140,,155,,,
PACIFIC,2014,11,,-,0,,1,,1,,,-,,-,0,,2,,1,,2,,21,,80,,111,,602,,891,,,
NEW MEXICO,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,15,,17,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
FLORIDA,2014,11,,-,0,,2,,1,,,-,,-,0,,4,,3,,1,,2,,27,,49,,287,,299,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
OKLAHOMA,2014,11,,-,0,,4,,,-,,-,,-,0,,88,,,-,3,,1,,2,,9,,20,,21,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
VIRGINIA,2014,11,,-,0,,2,,,-,,-,,-,4,,21,,9,,14,,4,,6,,18,,54,,62,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
KENTUCKY,2014,11,,-,0,,1,,,-,,-,,-,1,,6,,3,,3,,2,,2,,8,,24,,21,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
IOWA,2014,11,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,1,,6,,6,,17,,"IOWA
(42.469404401000475, -93.81648936699969)",
LOUISIANA,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,7,,20,,34,,66,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
HAWAII,2014,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,12,,4,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEVADA,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,4,,14,,54,,29,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MISSISSIPPI,2014,11,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,1,,26,,39,,14,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW YORK CITY,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,22,,35,,184,,246,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NORTH CAROLINA,2014,11,,-,0,,2,,,-,,-,,-,2,,47,,5,,6,,12,,8,,29,,89,,8,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
GUAM,2014,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MASSACHUSETTS,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,6,,18,,44,,71,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MINNESOTA,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,42,,35,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
OHIO,2014,11,,-,0,,1,,,-,,-,,-,0,,2,,4,,1,,,-,8,,14,,69,,82,,"OHIO
(40.06021029700048, -82.40425685299965)",
GEORGIA,2014,11,,-,1,,7,,9,,17,,,-,0,,0,,,-,,-,29,,16,,119,,185,,99,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MARYLAND,2014,11,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,3,,9,,16,,86,,76,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
UTAH,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,1,,5,,6,,13,,"UTAH
(39.36070374600047, -111.5871285339997)",
MONTANA,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"MONTANA
(47.066526051000494, -109.42441687999968)",
VERMONT,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
NEW HAMPSHIRE,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,,-,0,,2,,5,,8,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
ARIZONA,2014,11,,-,0,,1,,,-,1,,,-,1,,3,,2,,9,,,-,5,,12,,34,,53,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
C.N.M.I.,2014,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
WASHINGTON,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,5,,14,,35,,53,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
MICHIGAN,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,9,,17,,35,,84,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
CONNECTICUT,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,11,,20,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
TENNESSEE,2014,11,,-,0,,2,,,-,,-,,-,7,,30,,6,,11,,,-,4,,8,,15,,44,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
DIST. OF COL.,2014,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,51,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,8,,4,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
ARKANSAS,2014,11,,-,0,,2,,,-,,-,,-,5,,28,,7,,7,,5,,3,,10,,26,,35,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
OREGON,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,5,,9,,40,,77,,"OREGON
(44.567446178000466, -120.15502977999972)",
TEXAS,2014,11,,-,0,,1,,,-,,-,1,,1,,16,,8,,3,,17,,27,,41,,242,,349,,"TEXAS
(31.827243635000457, -99.4267664729997)",
AMER. SAMOA,2014,11,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
RHODE ISLAND,2014,11,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,4,,0,,5,,11,,7,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VIRGIN ISL.,2014,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
MISSOURI,2014,11,,-,0,,1,,,-,,-,,-,4,,25,,5,,5,,,-,5,,10,,43,,47,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
WYOMING,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
MAINE,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,4,,6,,2,,"MAINE
(45.254228663000504, -68.98502952999962)",
NEW JERSEY,2014,11,,-,0,,1,,,-,1,,,-,0,,4,,1,,9,,,-,4,,9,,34,,48,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
WEST VIRGINIA,2014,11,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,,-,0,,2,,1,,4,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
PUERTO RICO,2014,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,30,,48,,77,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
COLORADO,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,3,,9,,29,,38,,"COLORADO
(38.84384047000049, -106.13360888799969)",
SOUTH CAROLINA,2014,11,,-,0,,1,,,-,1,,,-,1,,3,,3,,8,,6,,5,,13,,50,,55,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NORTH DAKOTA,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,2,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
C.N.M.I.,2014,36,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
IDAHO,2014,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,2,,2,,"IDAHO
(43.682630058000484, -114.3637261449997)",
PENNSYLVANIA,2014,11,,-,0,,1,,,-,1,,,-,0,,3,,,-,2,,4,,8,,15,,68,,104,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
ILLINOIS,2014,11,,-,0,,1,,,-,,-,,-,1,,8,,,-,2,,,-,11,,29,,55,,172,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
NEW YORK,2014,11,1,,0,,1,,2,,,-,,-,0,,6,,1,,,-,8,,5,,47,,54,,47,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
CALIFORNIA,2014,11,,-,0,,1,,1,,,-,,-,0,,2,,1,,2,,15,,68,,90,,511,,753,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
WISCONSIN,2014,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,1,,5,,15,,15,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
DELAWARE,2014,11,,-,0,,0,,,-,,-,,-,0,,2,,2,,2,,1,,0,,9,,6,,5,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
ALASKA,2014,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,4,,4,,"ALASKA
(64.84507923900048, -147.72205669099972)",
ALABAMA,2014,11,,-,0,,1,,,-,,-,,-,3,,17,,9,,4,,,-,4,,8,,26,,26,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
INDIANA,2014,11,,-,0,,1,,,-,,-,,-,0,,4,,,-,4,,,-,4,,10,,25,,38,,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEBRASKA,2014,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,1,,3,,11,,13,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
KANSAS,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,7,,7,,"KANSAS
(38.34774033400049, -98.20077655499966)",
UNITED STATES,2014,12,,-,2,,10,,11,,20,,3,,39,,184,,80,,110,,82,,328,,477,,2979,,3692,,,
NEW ENGLAND,2014,12,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,1,,9,,19,,86,,118,,,
MID. ATLANTIC,2014,12,,-,0,,1,,1,,1,,,-,1,,6,,2,,13,,18,,39,,68,,413,,486,,,
E.N. CENTRAL,2014,12,,-,0,,2,,,-,,-,,-,2,,14,,4,,8,,1,,36,,58,,225,,426,,,
W.N. CENTRAL,2014,12,,-,0,,1,,,-,,-,,-,4,,26,,5,,6,,2,,13,,27,,126,,136,,,
S. ATLANTIC,2014,12,,-,2,,7,,10,,18,,1,,12,,69,,25,,33,,32,,77,,181,,817,,743,,,
E.S. CENTRAL,2014,12,,-,0,,3,,,-,,-,1,,11,,49,,19,,21,,8,,11,,29,,120,,120,,,
W.S. CENTRAL,2014,12,,-,0,,4,,,-,,-,1,,8,,104,,20,,16,,2,,39,,67,,337,,506,,,
MOUNTAIN,2014,12,,-,0,,1,,,-,1,,,-,1,,4,,3,,9,,,-,15,,26,,155,,166,,,
PACIFIC,2014,12,,-,0,,1,,,-,,-,,-,0,,2,,1,,3,,18,,80,,111,,700,,991,,,
MARYLAND,2014,12,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,,-,9,,16,,86,,80,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NEW MEXICO,2014,12,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,1,,5,,15,,18,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
NORTH DAKOTA,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,2,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH CAROLINA,2014,12,,-,0,,1,,,-,1,,,-,1,,3,,3,,8,,4,,5,,13,,55,,65,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
INDIANA,2014,12,,-,0,,1,,,-,,-,,-,0,,4,,,-,4,,1,,4,,10,,27,,44,,"INDIANA
(39.76691364600049, -86.14995579899966)",
RHODE ISLAND,2014,12,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,11,,7,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VERMONT,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
ILLINOIS,2014,12,,-,0,,1,,,-,,-,,-,1,,8,,,-,2,,,-,11,,29,,66,,185,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
ARIZONA,2014,12,,-,0,,1,,,-,1,,,-,1,,3,,2,,9,,,-,5,,12,,44,,57,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
WYOMING,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
MAINE,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,4,,6,,2,,"MAINE
(45.254228663000504, -68.98502952999962)",
NEVADA,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,4,,14,,54,,31,,"NEVADA
(39.49324126500045, -117.07183978499972)",
LOUISIANA,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,7,,20,,48,,75,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEBRASKA,2014,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,2,,1,,3,,13,,13,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
MINNESOTA,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,41,,37,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
VIRGIN ISL.,2014,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,12,,-,0,,2,,1,,,-,,-,0,,4,,3,,2,,4,,27,,49,,317,,330,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MONTANA,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,3,,"MONTANA
(47.066526051000494, -109.42441687999968)",
GEORGIA,2014,12,,-,1,,7,,9,,17,,,-,0,,0,,,-,,-,22,,18,,119,,207,,104,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
VIRGINIA,2014,12,,-,0,,2,,,-,,-,1,,4,,21,,10,,15,,1,,5,,18,,55,,68,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
MASSACHUSETTS,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,6,,18,,53,,79,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
OHIO,2014,12,,-,0,,1,,,-,,-,,-,0,,2,,4,,1,,,-,8,,14,,73,,90,,"OHIO
(40.06021029700048, -82.40425685299965)",
NEW JERSEY,2014,12,,-,0,,1,,,-,1,,,-,0,,4,,1,,9,,,-,4,,9,,36,,50,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
GUAM,2014,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
COLORADO,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,3,,9,,34,,40,,"COLORADO
(38.84384047000049, -106.13360888799969)",
TENNESSEE,2014,12,,-,0,,2,,,-,,-,,-,7,,30,,6,,13,,1,,4,,8,,16,,48,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
HAWAII,2014,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,5,,14,,4,,"HAWAII
(21.30485166200043, -157.85774691599974)",
PENNSYLVANIA,2014,12,,-,0,,1,,,-,,-,,-,0,,4,,,-,3,,6,,8,,15,,78,,109,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
DIST. OF COL.,2014,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,53,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,4,,6,,30,,64,,84,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
KENTUCKY,2014,12,,-,0,,1,,,-,,-,,-,1,,6,,3,,4,,7,,2,,8,,31,,22,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
OREGON,2014,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,5,,9,,46,,82,,"OREGON
(44.567446178000466, -120.15502977999972)",
NEW HAMPSHIRE,2014,12,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,,-,0,,2,,5,,8,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
ALASKA,2014,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,4,,5,,"ALASKA
(64.84507923900048, -147.72205669099972)",
WEST VIRGINIA,2014,12,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,,-,0,,2,,1,,4,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
C.N.M.I.,2014,42,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
IDAHO,2014,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,2,,2,,"IDAHO
(43.682630058000484, -114.3637261449997)",
MICHIGAN,2014,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,9,,17,,43,,92,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
OKLAHOMA,2014,12,,-,0,,4,,,-,,-,,-,0,,88,,,-,3,,1,,2,,9,,21,,21,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
WASHINGTON,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,14,,38,,56,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
ARKANSAS,2014,12,,-,0,,2,,,-,,-,,-,5,,28,,9,,8,,,-,3,,10,,26,,37,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
WISCONSIN,2014,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,1,,5,,16,,15,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
IOWA,2014,12,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,1,,6,,6,,20,,"IOWA
(42.469404401000475, -93.81648936699969)",
UTAH,2014,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,6,,14,,"UTAH
(39.36070374600047, -111.5871285339997)",
SOUTH DAKOTA,2014,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,8,,5,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
AMER. SAMOA,2014,12,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
ALABAMA,2014,12,,-,0,,1,,,-,,-,1,,3,,17,,10,,4,,,-,4,,8,,26,,28,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
MISSOURI,2014,12,,-,0,,1,,,-,,-,,-,4,,25,,5,,5,,,-,5,,10,,49,,50,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEW YORK CITY,2014,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,2,,22,,34,,235,,271,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
CALIFORNIA,2014,12,,-,0,,1,,,-,,-,,-,0,,2,,1,,3,,15,,69,,91,,598,,844,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
MISSISSIPPI,2014,12,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,1,,26,,47,,22,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW YORK,2014,12,,-,0,,1,,1,,,-,,-,0,,6,,1,,,-,10,,5,,46,,64,,56,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
KANSAS,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,7,,9,,"KANSAS
(38.34774033400049, -98.20077655499966)",
NORTH CAROLINA,2014,12,,-,0,,2,,,-,,-,,-,2,,47,,5,,6,,,-,8,,29,,89,,34,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
CONNECTICUT,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,11,,20,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
TEXAS,2014,12,,-,0,,1,,,-,,-,1,,2,,16,,11,,5,,,-,27,,41,,242,,373,,"TEXAS
(31.827243635000457, -99.4267664729997)",
DELAWARE,2014,12,,-,0,,0,,,-,,-,,-,0,,2,,2,,2,,1,,0,,9,,7,,5,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
C.N.M.I.,2014,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,13,,-,3,,10,,14,,23,,12,,39,,184,,100,,124,,103,,329,,482,,3320,,4010,,,
NEW ENGLAND,2014,13,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,2,,9,,19,,90,,137,,,
MID. ATLANTIC,2014,13,,-,0,,1,,1,,1,,2,,1,,6,,4,,15,,16,,40,,68,,465,,520,,,
E.N. CENTRAL,2014,13,,-,0,,2,,,-,1,,,-,2,,14,,4,,10,,,-,37,,58,,247,,466,,,
W.N. CENTRAL,2014,13,,-,0,,1,,,-,,-,,-,4,,26,,5,,6,,1,,13,,27,,136,,150,,,
S. ATLANTIC,2014,13,,-,2,,7,,13,,20,,8,,12,,68,,34,,34,,50,,78,,181,,923,,804,,,
MAINE,2014,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,4,,6,,2,,"MAINE
(45.254228663000504, -68.98502952999962)",
E.S. CENTRAL,2014,13,,-,0,,3,,,-,,-,,-,11,,49,,21,,27,,8,,11,,29,,128,,132,,,
W.S. CENTRAL,2014,13,,-,0,,4,,,-,,-,2,,8,,104,,25,,18,,2,,40,,69,,398,,551,,,
MOUNTAIN,2014,13,,-,0,,1,,,-,1,,,-,1,,4,,5,,10,,,-,16,,26,,168,,179,,,
PACIFIC,2014,13,,-,0,,1,,,-,,-,,-,0,,2,,1,,3,,24,,79,,111,,765,,1071,,,
WYOMING,2014,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
FLORIDA,2014,13,,-,0,,2,,1,,1,,1,,0,,4,,4,,2,,1,,27,,49,,357,,348,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
DIST. OF COL.,2014,13,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,2,,8,,,-,59,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
UTAH,2014,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,6,,17,,"UTAH
(39.36070374600047, -111.5871285339997)",
NORTH CAROLINA,2014,13,,-,0,,2,,,-,,-,7,,2,,47,,12,,6,,10,,8,,29,,108,,35,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
NEBRASKA,2014,13,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,1,,3,,13,,14,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
KENTUCKY,2014,13,,-,0,,1,,,-,,-,,-,1,,6,,3,,5,,6,,2,,8,,37,,22,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
GEORGIA,2014,13,,-,1,,7,,12,,17,,,-,0,,0,,,-,,-,22,,19,,119,,230,,114,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MASSACHUSETTS,2014,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,6,,18,,53,,97,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
ARKANSAS,2014,13,,-,0,,2,,,-,,-,2,,5,,28,,14,,8,,,-,3,,10,,27,,42,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
GUAM,2014,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
IOWA,2014,13,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,1,,6,,6,,23,,"IOWA
(42.469404401000475, -93.81648936699969)",
