Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag","Shiga toxin-producing E. coli (STEC)†, Current week","Shiga toxin-producing E. coli (STEC)†, Current week, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2014","Shiga toxin-producing E. coli (STEC)†, Cum 2014, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2013","Shiga toxin-producing E. coli (STEC)†, Cum 2013, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag","Shigellosis, Cum 2013","Shigellosis, Cum 2013, flag",Location 1,Location 2
MISSISSIPPI,2014,41,6,,11,,48,,731,,757,,,-,0,,3,,22,,27,,1,,4,,12,,169,,156,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
CALIFORNIA,2014,41,25,,94,,169,,3656,,3973,,5,,8,,36,,361,,503,,9,,20,,54,,790,,749,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
MAINE,2014,41,,-,2,,6,,100,,111,,,-,0,,4,,27,,26,,,-,0,,2,,15,,5,,"MAINE
(45.2542257390005, -68.98502952999962)",
ALASKA,2014,41,3,,1,,6,,57,,72,,,-,0,,0,,,-,,-,,-,0,,1,,4,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
ARIZONA,2014,41,4,,17,,31,,710,,801,,,-,1,,5,,52,,222,,3,,6,,19,,233,,317,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
NEW JERSEY,2014,41,,-,18,,50,,839,,907,,,-,1,,3,,39,,120,,,-,2,,9,,112,,118,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
TENNESSEE,2014,41,13,,15,,37,,767,,728,,1,,2,,9,,117,,104,,13,,17,,50,,625,,345,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
IOWA,2014,41,1,,8,,24,,405,,506,,,-,2,,14,,185,,162,,,-,6,,45,,174,,84,,"IOWA
(42.469401477000474, -93.81648936699969)",
WISCONSIN,2014,41,,-,12,,23,,422,,761,,,-,1,,9,,83,,202,,4,,3,,20,,247,,32,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
IDAHO,2014,41,2,,3,,8,,132,,110,,1,,2,,10,,93,,92,,1,,0,,3,,10,,7,,"IDAHO
(43.68263160000049, -114.3637261449997)",
WYOMING,2014,41,,-,1,,4,,46,,62,,,-,0,,5,,17,,24,,,-,1,,6,,72,,4,,"WYOMING
(43.235543013000495, -108.10982744299969)",
WASHINGTON,2014,41,16,,10,,47,,535,,531,,,-,2,,35,,155,,245,,,-,2,,12,,118,,91,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
RHODE ISLAND,2014,41,,-,2,,9,,100,,104,,,-,0,,2,,4,,,-,,-,0,,14,,25,,249,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
SOUTH DAKOTA,2014,41,,-,2,,12,,124,,150,,,-,0,,4,,31,,39,,,-,11,,32,,474,,20,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
OKLAHOMA,2014,41,21,,14,,151,,591,,561,,1,,1,,12,,89,,85,,,-,1,,41,,48,,147,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
GUAM,2014,41,,-,0,,1,,,-,15,,,-,1,,3,,,-,76,,,-,0,,1,,,-,7,,"GUAM
(13.480998894000436, 144.73149801400064)",
NORTH DAKOTA,2014,41,1,,1,,8,,71,,90,,,-,0,,3,,17,,37,,,-,0,,2,,18,,15,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
NEW HAMPSHIRE,2014,41,,-,4,,7,,147,,179,,,-,0,,2,,14,,22,,,-,0,,2,,12,,6,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
NEW MEXICO,2014,41,,-,5,,16,,229,,302,,,-,0,,6,,36,,30,,,-,1,,6,,39,,49,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
WEST VIRGINIA,2014,41,,-,3,,11,,138,,161,,,-,0,,3,,13,,24,,,-,0,,2,,9,,5,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
SOUTH CAROLINA,2014,41,11,,20,,78,,1051,,875,,,-,0,,2,,10,,6,,1,,2,,9,,90,,91,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
GEORGIA,2014,41,36,,32,,87,,1658,,1829,,,-,2,,6,,70,,105,,11,,19,,34,,663,,595,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
NORTH CAROLINA,2014,41,,-,26,,185,,1402,,1253,,,-,0,,5,,30,,62,,,-,4,,119,,449,,116,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
NEW YORK,2014,41,21,,21,,76,,1062,,1049,,5,,4,,15,,152,,174,,11,,4,,29,,158,,203,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
MINNESOTA,2014,41,,-,0,,17,,,-,667,,,-,0,,7,,,-,265,,,-,0,,6,,,-,109,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
NEW YORK CITY,2014,41,23,,18,,35,,789,,934,,,-,1,,5,,57,,77,,16,,6,,11,,252,,259,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NEVADA,2014,41,,-,3,,86,,126,,378,,,-,0,,5,,28,,54,,,-,0,,6,,26,,39,,"NEVADA
(39.493242807000456, -117.07183978499972)",
MARYLAND,2014,41,14,,14,,49,,698,,690,,2,,1,,8,,61,,49,,2,,4,,13,,197,,79,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
LOUISIANA,2014,41,15,,22,,50,,939,,1025,,,-,0,,2,,14,,19,,3,,4,,29,,126,,308,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
PUERTO RICO,2014,41,1,,8,,28,,375,,498,,,-,0,,2,,4,,5,,,-,0,,2,,13,,4,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
OREGON,2014,41,6,,7,,17,,310,,331,,5,,2,,9,,130,,162,,1,,1,,5,,43,,44,,"OREGON
(44.56745218600048, -120.15502977999972)",
MISSOURI,2014,41,15,,13,,36,,628,,714,,2,,3,,14,,158,,244,,44,,8,,62,,838,,60,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
TEXAS,2014,41,79,,89,,543,,3001,,3216,,1,,10,,40,,408,,385,,38,,45,,393,,1516,,1333,,"TEXAS
(31.827240712000446, -99.4267664729997)",
MICHIGAN,2014,41,3,,17,,51,,779,,801,,1,,3,,12,,112,,148,,5,,3,,19,,220,,139,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
HAWAII,2014,41,2,,6,,14,,239,,282,,,-,0,,4,,10,,24,,,-,0,,2,,13,,33,,"HAWAII
(21.304853205000427, -157.85774691599974)",
CONNECTICUT,2014,41,,-,7,,23,,356,,376,,,-,1,,5,,35,,55,,,-,1,,4,,38,,45,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
MASSACHUSETTS,2014,41,,-,17,,54,,878,,1004,,,-,1,,6,,71,,91,,,-,2,,9,,122,,149,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
PENNSYLVANIA,2014,41,20,,23,,59,,1081,,1380,,1,,3,,11,,123,,218,,2,,2,,8,,99,,118,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
VERMONT,2014,41,,-,1,,6,,72,,60,,,-,0,,2,,13,,18,,,-,0,,1,,1,,3,,"VERMONT
(43.62538000100045, -72.51763944499965)",
KENTUCKY,2014,41,3,,10,,27,,491,,447,,1,,1,,7,,77,,98,,8,,2,,15,,167,,55,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
VIRGINIA,2014,41,2,,18,,49,,783,,801,,,-,2,,6,,75,,90,,1,,3,,10,,142,,76,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
INDIANA,2014,41,,-,11,,36,,442,,586,,,-,1,,9,,69,,103,,,-,10,,55,,891,,83,,"INDIANA
(39.76691072200049, -86.14995579899966)",
NEBRASKA,2014,41,3,,4,,12,,206,,259,,,-,2,,8,,86,,71,,2,,2,,17,,140,,49,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
OHIO,2014,41,28,,22,,46,,982,,980,,3,,3,,12,,166,,190,,7,,10,,22,,463,,586,,"OHIO
(40.06021184000048, -82.40425685299965)",
COLORADO,2014,41,19,,9,,27,,420,,536,,1,,1,,9,,43,,157,,4,,1,,12,,63,,63,,"COLORADO
(38.84384201300048, -106.13360888799969)",
MONTANA,2014,41,2,,2,,8,,106,,76,,,-,1,,4,,35,,43,,1,,0,,7,,11,,53,,"MONTANA
(47.06652759400049, -109.42441687999968)",
ARKANSAS,2014,41,,-,14,,36,,477,,517,,,-,2,,6,,66,,60,,,-,8,,197,,721,,167,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
FLORIDA,2014,41,179,,115,,226,,4483,,4570,,4,,2,,9,,137,,99,,35,,39,,96,,1899,,692,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
UTAH,2014,41,,-,6,,17,,293,,259,,,-,1,,5,,62,,78,,,-,0,,2,,22,,20,,"UTAH
(39.36070082200047, -111.5871285339997)",
ALABAMA,2014,41,,-,17,,80,,829,,848,,,-,0,,3,,37,,45,,,-,6,,13,,234,,221,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
ILLINOIS,2014,41,,-,29,,62,,1221,,1514,,,-,3,,9,,116,,248,,,-,7,,34,,446,,253,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
UNITED STATES,2014,42,594,,901,,1545,,37530,,40961,,47,,96,,188,,4040,,5634,,230,,347,,741,,13896,,8850,,,
NEW ENGLAND,2014,42,2,,33,,88,,1708,,1864,,1,,3,,16,,169,,215,,,-,5,,19,,229,,459,,,
MID. ATLANTIC,2014,42,51,,82,,176,,3842,,4365,,7,,10,,26,,432,,603,,18,,15,,37,,638,,718,,,
E.N. CENTRAL,2014,42,28,,90,,185,,3929,,4748,,4,,12,,29,,553,,906,,14,,38,,116,,2366,,1121,,,
W.N. CENTRAL,2014,42,22,,38,,78,,1810,,2807,,5,,11,,32,,565,,909,,43,,41,,80,,1744,,393,,,
S. ATLANTIC,2014,42,260,,232,,525,,10822,,10800,,6,,9,,22,,421,,457,,63,,79,,162,,3626,,1755,,,
DIST. OF COL.,2014,42,,-,1,,4,,34,,46,,,-,0,,1,,5,,4,,,-,1,,4,,47,,13,,"DIST. OF COL.
",
E.S. CENTRAL,2014,42,15,,56,,140,,2916,,2875,,4,,5,,15,,261,,278,,18,,33,,66,,1265,,819,,,
W.S. CENTRAL,2014,42,138,,146,,724,,5230,,5558,,5,,15,,50,,589,,564,,45,,68,,463,,2502,,2022,,,
MOUNTAIN,2014,42,21,,49,,148,,2124,,2592,,2,,8,,22,,373,,713,,5,,13,,39,,488,,591,,,
PACIFIC,2014,42,57,,124,,224,,5149,,5352,,13,,15,,55,,677,,989,,24,,26,,54,,1038,,972,,,
VIRGIN ISL.,2014,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
IDAHO,2014,42,6,,3,,8,,139,,112,,2,,2,,9,,94,,94,,,-,0,,3,,10,,7,,"IDAHO
(43.68263160000049, -114.3637261449997)",
RHODE ISLAND,2014,42,,-,2,,9,,105,,105,,,-,0,,2,,4,,,-,,-,0,,14,,25,,249,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
LOUISIANA,2014,42,3,,22,,50,,954,,1059,,,-,0,,2,,14,,19,,,-,4,,29,,125,,317,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
NEW JERSEY,2014,42,,-,17,,50,,845,,925,,,-,2,,7,,91,,121,,,-,2,,9,,114,,119,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
ARKANSAS,2014,42,21,,14,,36,,526,,553,,,-,2,,6,,68,,63,,5,,8,,197,,732,,174,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
ALASKA,2014,42,,-,1,,6,,57,,74,,,-,0,,0,,,-,,-,,-,0,,1,,5,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
GUAM,2014,42,,-,0,,1,,,-,16,,,-,0,,2,,,-,78,,,-,0,,0,,,-,7,,"GUAM
(13.480998894000436, 144.73149801400064)",
NEW YORK,2014,42,18,,21,,76,,1082,,1065,,3,,4,,15,,155,,179,,2,,4,,29,,159,,210,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEW MEXICO,2014,42,,-,5,,16,,236,,311,,,-,0,,6,,37,,30,,,-,1,,6,,40,,50,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
NEW YORK CITY,2014,42,21,,18,,35,,810,,956,,2,,1,,5,,59,,79,,13,,6,,16,,264,,266,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
VIRGINIA,2014,42,10,,18,,54,,855,,826,,,-,2,,6,,76,,92,,1,,3,,10,,146,,83,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
TEXAS,2014,42,99,,89,,543,,3145,,3367,,,-,10,,40,,413,,397,,37,,48,,393,,1594,,1383,,"TEXAS
(31.827240712000446, -99.4267664729997)",
OREGON,2014,42,7,,7,,17,,318,,337,,2,,2,,9,,133,,168,,,-,1,,6,,45,,44,,"OREGON
(44.56745218600048, -120.15502977999972)",
NEW HAMPSHIRE,2014,42,,-,4,,7,,153,,184,,,-,0,,2,,14,,22,,,-,0,,2,,12,,6,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
GEORGIA,2014,42,,-,32,,87,,1658,,1907,,,-,1,,6,,70,,107,,,-,19,,34,,663,,629,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
MISSISSIPPI,2014,42,,-,11,,49,,759,,786,,,-,0,,2,,22,,27,,,-,4,,12,,173,,160,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
WISCONSIN,2014,42,,-,12,,23,,425,,774,,,-,1,,9,,85,,202,,4,,4,,20,,255,,32,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
MARYLAND,2014,42,18,,14,,50,,724,,714,,,-,1,,8,,59,,49,,,-,4,,13,,198,,83,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
IOWA,2014,42,4,,8,,24,,423,,518,,,-,2,,14,,193,,164,,3,,6,,45,,185,,92,,"IOWA
(42.469401477000474, -93.81648936699969)",
PENNSYLVANIA,2014,42,12,,22,,59,,1105,,1419,,2,,3,,11,,127,,224,,3,,2,,8,,101,,123,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
INDIANA,2014,42,,-,10,,36,,443,,603,,,-,1,,9,,70,,105,,,-,15,,66,,953,,87,,"INDIANA
(39.76691072200049, -86.14995579899966)",
TENNESSEE,2014,42,11,,14,,37,,788,,746,,4,,2,,9,,122,,107,,13,,17,,50,,654,,374,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
MICHIGAN,2014,42,5,,17,,53,,804,,816,,1,,3,,8,,113,,152,,1,,3,,19,,225,,145,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
KENTUCKY,2014,42,1,,10,,27,,497,,456,,,-,1,,7,,80,,99,,2,,2,,15,,173,,56,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
OHIO,2014,42,23,,23,,46,,1005,,1006,,3,,3,,12,,169,,195,,9,,10,,22,,472,,594,,"OHIO
(40.06021184000048, -82.40425685299965)",
FLORIDA,2014,42,162,,115,,226,,4646,,4738,,5,,3,,9,,142,,99,,45,,39,,96,,1944,,717,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
OKLAHOMA,2014,42,15,,14,,151,,605,,579,,5,,1,,12,,94,,85,,3,,1,,41,,51,,148,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
HAWAII,2014,42,,-,5,,14,,239,,286,,,-,0,,4,,10,,24,,,-,0,,2,,13,,33,,"HAWAII
(21.304853205000427, -157.85774691599974)",
MISSOURI,2014,42,13,,13,,36,,645,,732,,2,,3,,14,,161,,246,,35,,11,,62,,881,,63,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEVADA,2014,42,,-,3,,86,,127,,393,,,-,1,,5,,29,,55,,,-,0,,6,,26,,45,,"NEVADA
(39.493242807000456, -117.07183978499972)",
KANSAS,2014,42,1,,8,,21,,336,,365,,,-,1,,7,,71,,79,,,-,0,,4,,39,,39,,"KANSAS
(38.3477418760005, -98.20077655499966)",
UTAH,2014,42,,-,7,,17,,305,,264,,,-,1,,5,,65,,79,,,-,0,,2,,24,,21,,"UTAH
(39.36070082200047, -111.5871285339997)",
NORTH CAROLINA,2014,42,53,,26,,185,,1528,,1389,,,-,0,,4,,32,,62,,14,,4,,119,,467,,125,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
CALIFORNIA,2014,42,30,,97,,170,,3983,,4116,,5,,8,,36,,375,,539,,23,,20,,54,,856,,803,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
ILLINOIS,2014,42,,-,29,,63,,1252,,1549,,,-,3,,9,,116,,252,,,-,7,,34,,461,,263,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
MAINE,2014,42,1,,2,,6,,101,,112,,1,,0,,4,,30,,27,,,-,0,,2,,18,,5,,"MAINE
(45.2542257390005, -68.98502952999962)",
MONTANA,2014,42,1,,2,,8,,108,,78,,,-,1,,4,,35,,43,,,-,0,,7,,11,,60,,"MONTANA
(47.06652759400049, -109.42441687999968)",
MINNESOTA,2014,42,,-,0,,17,,,-,684,,,-,0,,7,,,-,271,,,-,0,,6,,,-,111,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
ARIZONA,2014,42,14,,17,,31,,743,,828,,,-,1,,5,,53,,223,,5,,6,,19,,242,,335,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
NORTH DAKOTA,2014,42,,-,1,,8,,71,,92,,,-,0,,3,,18,,37,,,-,0,,2,,18,,15,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
PUERTO RICO,2014,42,,-,8,,28,,375,,511,,,-,0,,2,,4,,7,,,-,0,,2,,13,,4,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
SOUTH DAKOTA,2014,42,,-,2,,12,,124,,152,,,-,0,,4,,31,,41,,,-,11,,32,,474,,24,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
WASHINGTON,2014,42,20,,10,,47,,552,,539,,6,,2,,34,,159,,258,,1,,2,,12,,119,,91,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
SOUTH CAROLINA,2014,42,16,,20,,78,,1104,,910,,1,,0,,2,,11,,7,,2,,2,,9,,95,,94,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
WEST VIRGINIA,2014,42,1,,3,,11,,139,,167,,,-,0,,3,,15,,25,,,-,0,,2,,9,,5,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
CONNECTICUT,2014,42,,-,7,,23,,355,,380,,,-,1,,5,,35,,55,,,-,1,,4,,38,,46,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
VERMONT,2014,42,1,,1,,6,,74,,62,,,-,0,,2,,13,,19,,,-,0,,1,,1,,3,,"VERMONT
(43.62538000100045, -72.51763944499965)",
NEBRASKA,2014,42,4,,4,,13,,211,,264,,3,,2,,8,,91,,71,,5,,3,,17,,147,,49,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
MASSACHUSETTS,2014,42,,-,17,,53,,920,,1021,,,-,1,,6,,73,,92,,,-,3,,9,,135,,150,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
WYOMING,2014,42,,-,1,,4,,46,,63,,,-,0,,5,,17,,24,,,-,1,,6,,72,,4,,"WYOMING
(43.235543013000495, -108.10982744299969)",
ALABAMA,2014,42,3,,17,,54,,872,,887,,,-,0,,3,,37,,45,,3,,6,,17,,265,,229,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
DELAWARE,2014,42,,-,3,,14,,134,,103,,,-,0,,2,,11,,12,,1,,1,,4,,57,,6,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
COLORADO,2014,42,,-,9,,27,,420,,543,,,-,1,,9,,43,,165,,,-,1,,12,,63,,69,,"COLORADO
(38.84384201300048, -106.13360888799969)",
UNITED STATES,2014,43,515,,878,,1547,,38507,,42218,,53,,95,,188,,4151,,5771,,251,,347,,741,,14337,,9193,,,
NEW ENGLAND,2014,43,3,,34,,86,,1732,,1892,,2,,3,,16,,167,,215,,2,,5,,19,,239,,468,,,
MID. ATLANTIC,2014,43,43,,77,,178,,3900,,4445,,6,,10,,26,,441,,621,,19,,15,,37,,659,,728,,,
E.N. CENTRAL,2014,43,26,,93,,188,,4109,,4837,,4,,11,,33,,580,,924,,21,,41,,116,,2489,,1144,,,
W.N. CENTRAL,2014,43,24,,39,,78,,1860,,2864,,6,,11,,32,,578,,931,,49,,41,,80,,1810,,420,,,
S. ATLANTIC,2014,43,268,,232,,527,,11153,,11192,,7,,9,,22,,431,,472,,68,,77,,162,,3708,,1839,,,
DIST. OF COL.,2014,43,,-,1,,4,,34,,47,,,-,0,,1,,5,,4,,,-,1,,4,,47,,13,,"DIST. OF COL.
",
E.S. CENTRAL,2014,43,20,,53,,151,,3016,,2959,,,-,5,,15,,267,,286,,15,,33,,66,,1299,,861,,,
W.S. CENTRAL,2014,43,61,,144,,724,,5316,,5790,,4,,15,,50,,605,,579,,62,,69,,463,,2574,,2090,,,
MOUNTAIN,2014,43,40,,50,,148,,2216,,2740,,3,,8,,22,,378,,727,,11,,13,,29,,513,,620,,,
PACIFIC,2014,43,30,,123,,224,,5205,,5499,,21,,15,,49,,704,,1016,,4,,25,,51,,1046,,1023,,,
AMER. SAMOA,2014,43,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,43,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,43,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MINNESOTA,2014,43,,-,0,,17,,,-,693,,,-,0,,7,,,-,278,,,-,0,,6,,,-,111,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
MAINE,2014,43,,-,2,,6,,101,,114,,2,,0,,4,,31,,27,,1,,0,,2,,22,,5,,"MAINE
(45.2542257390005, -68.98502952999962)",
WYOMING,2014,43,,-,1,,4,,46,,63,,,-,0,,5,,17,,26,,,-,1,,6,,72,,4,,"WYOMING
(43.235543013000495, -108.10982744299969)",
NORTH CAROLINA,2014,43,,-,26,,185,,1528,,1456,,,-,0,,4,,32,,62,,,-,4,,119,,467,,127,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
MASSACHUSETTS,2014,43,,-,18,,52,,944,,1038,,,-,1,,6,,72,,92,,1,,3,,9,,141,,155,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
ALASKA,2014,43,1,,1,,6,,58,,75,,,-,0,,0,,,-,,-,,-,0,,1,,5,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
SOUTH CAROLINA,2014,43,21,,20,,78,,1155,,953,,,-,0,,2,,11,,7,,4,,2,,9,,103,,95,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
WEST VIRGINIA,2014,43,1,,3,,11,,141,,171,,,-,0,,3,,15,,25,,,-,0,,2,,9,,5,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
NEW JERSEY,2014,43,,-,17,,50,,848,,943,,,-,2,,7,,92,,124,,,-,2,,9,,114,,120,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
TENNESSEE,2014,43,12,,15,,38,,808,,759,,,-,2,,9,,125,,114,,8,,16,,50,,664,,392,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
TEXAS,2014,43,2,,89,,543,,3147,,3509,,2,,10,,40,,425,,408,,55,,45,,393,,1655,,1435,,"TEXAS
(31.827240712000446, -99.4267664729997)",
IOWA,2014,43,3,,8,,24,,430,,530,,,-,2,,14,,195,,166,,,-,6,,45,,189,,108,,"IOWA
(42.469401477000474, -93.81648936699969)",
NEW YORK,2014,43,17,,21,,76,,1099,,1078,,4,,4,,15,,161,,186,,5,,4,,29,,163,,215,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
SOUTH DAKOTA,2014,43,,-,2,,12,,124,,162,,,-,0,,4,,31,,42,,,-,11,,32,,474,,34,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
RHODE ISLAND,2014,43,3,,2,,9,,109,,109,,,-,0,,2,,4,,,-,,-,0,,14,,25,,250,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
OREGON,2014,43,4,,7,,17,,331,,341,,2,,2,,9,,141,,171,,,-,1,,6,,47,,46,,"OREGON
(44.56745218600048, -120.15502977999972)",
MICHIGAN,2014,43,3,,17,,53,,821,,833,,,-,3,,8,,113,,156,,1,,3,,19,,232,,150,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
ARIZONA,2014,43,20,,17,,32,,786,,856,,,-,1,,5,,53,,226,,8,,6,,19,,263,,354,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
MONTANA,2014,43,3,,2,,8,,114,,79,,1,,1,,4,,36,,43,,,-,0,,3,,12,,62,,"MONTANA
(47.06652759400049, -109.42441687999968)",
ILLINOIS,2014,43,,-,29,,65,,1377,,1572,,,-,2,,9,,123,,256,,,-,8,,34,,487,,270,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
NEW HAMPSHIRE,2014,43,,-,3,,7,,149,,185,,,-,0,,2,,12,,22,,,-,0,,2,,12,,7,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
PUERTO RICO,2014,43,,-,8,,28,,375,,524,,,-,0,,2,,4,,7,,,-,0,,2,,13,,4,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
OKLAHOMA,2014,43,23,,14,,151,,628,,610,,1,,1,,12,,95,,89,,4,,1,,41,,55,,150,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
NEW YORK CITY,2014,43,16,,18,,35,,826,,982,,2,,1,,5,,61,,80,,10,,6,,16,,274,,270,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
COLORADO,2014,43,15,,9,,27,,435,,552,,1,,1,,9,,44,,169,,2,,1,,12,,65,,74,,"COLORADO
(38.84384201300048, -106.13360888799969)",
OHIO,2014,43,23,,22,,46,,1027,,1027,,4,,3,,12,,173,,198,,18,,10,,22,,490,,602,,"OHIO
(40.06021184000048, -82.40425685299965)",
KANSAS,2014,43,2,,8,,21,,352,,370,,,-,1,,7,,73,,79,,,-,0,,4,,40,,39,,"KANSAS
(38.3477418760005, -98.20077655499966)",
NEVADA,2014,43,,-,3,,86,,133,,479,,,-,0,,5,,29,,56,,,-,0,,6,,26,,45,,"NEVADA
(39.493242807000456, -117.07183978499972)",
