Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease, All ages, Current week, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, All ages, Cum 2014","Invasive Pneumococcal disease, All ages, Cum 2014, flag","Invasive Pneumococcal disease, All ages, Cum 2013","Invasive Pneumococcal disease, All ages, Cum 2013, flag","Invasive Pneumococcal disease, Age LT 5, Current week","Invasive Pneumococcal disease, Age LT 5, Current week, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2014","Invasive Pneumococcal disease, Age LT 5, Cum 2014, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2013","Invasive Pneumococcal disease, Age LT 5, Cum 2013, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag","Legionellosis, Cum 2013","Legionellosis, Cum 2013, flag",Location 1,Location 2
CONNECTICUT,2014,30,,-,4,,10,,137,,227,,,-,0,,1,,5,,10,,,-,1,,4,,26,,31,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
NEW JERSEY,2014,30,,-,2,,19,,32,,402,,,-,0,,2,,2,,25,,,-,1,,15,,32,,144,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NORTH CAROLINA,2014,30,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,4,,2,,11,,74,,48,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
HAWAII,2014,30,,-,2,,6,,60,,46,,,-,0,,2,,6,,3,,,-,0,,1,,3,,4,,"HAWAII
(21.304853205000427, -157.85774691599974)",
NEW YORK,2014,30,9,,15,,76,,503,,658,,1,,1,,6,,23,,32,,12,,6,,21,,175,,245,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
WYOMING,2014,30,,-,0,,3,,12,,13,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235543013000495, -108.10982744299969)",
TENNESSEE,2014,30,9,,15,,28,,474,,517,,,-,1,,4,,29,,28,,3,,2,,11,,81,,44,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
NEW HAMPSHIRE,2014,30,,-,1,,6,,48,,53,,,-,0,,1,,3,,2,,,-,0,,3,,5,,15,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
ALABAMA,2014,30,1,,3,,10,,129,,125,,,-,0,,2,,10,,13,,2,,1,,10,,36,,13,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
WASHINGTON,2014,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,4,,0,,6,,21,,17,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
NEW YORK CITY,2014,30,6,,12,,25,,389,,454,,,-,0,,4,,16,,23,,2,,3,,17,,84,,173,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
MISSOURI,2014,30,,N,0,,0,,,N,,N,,-,0,,2,,10,,24,,2,,1,,10,,46,,41,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
UTAH,2014,30,,-,1,,11,,28,,128,,,-,0,,2,,3,,17,,,-,0,,3,,13,,11,,"UTAH
(39.36070082200047, -111.5871285339997)",
INDIANA,2014,30,,-,10,,33,,314,,449,,,-,1,,4,,20,,16,,1,,2,,8,,63,,47,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MICHIGAN,2014,30,,-,11,,21,,348,,515,,,-,0,,4,,18,,28,,,-,3,,21,,53,,149,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
GUAM,2014,30,,-,0,,2,,,-,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480998894000436, 144.73149801400064)",
MAINE,2014,30,1,,2,,8,,98,,84,,,-,0,,1,,5,,3,,,-,0,,3,,7,,9,,"MAINE
(45.2542257390005, -68.98502952999962)",
MARYLAND,2014,30,1,,7,,21,,284,,340,,,-,0,,4,,15,,20,,3,,2,,13,,62,,98,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
OHIO,2014,30,9,,20,,38,,612,,801,,,-,1,,4,,27,,26,,19,,6,,66,,189,,299,,"OHIO
(40.06021184000048, -82.40425685299965)",
MISSISSIPPI,2014,30,1,,3,,13,,142,,159,,,-,0,,2,,15,,13,,,-,0,,2,,9,,11,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
OKLAHOMA,2014,30,,-,0,,0,,,-,,-,,-,0,,2,,18,,13,,,-,0,,4,,9,,3,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
MONTANA,2014,30,1,,0,,4,,24,,19,,,-,0,,0,,,-,1,,,-,0,,1,,2,,8,,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEVADA,2014,30,,-,2,,7,,84,,87,,,-,0,,2,,5,,4,,,-,0,,3,,7,,9,,"NEVADA
(39.493242807000456, -117.07183978499972)",
CALIFORNIA,2014,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,4,,11,,131,,124,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
PUERTO RICO,2014,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,11,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
LOUISIANA,2014,30,1,,6,,23,,248,,228,,,-,0,,2,,15,,13,,,-,0,,4,,20,,19,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
ALASKA,2014,30,1,,2,,5,,51,,62,,,-,0,,2,,6,,12,,,-,0,,1,,1,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
OREGON,2014,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,14,,10,,"OREGON
(44.56745218600048, -120.15502977999972)",
MASSACHUSETTS,2014,30,,-,0,,2,,17,,12,,,-,0,,2,,13,,11,,2,,2,,15,,55,,86,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
IOWA,2014,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,12,,6,,"IOWA
(42.469401477000474, -93.81648936699969)",
DELAWARE,2014,30,,-,0,,5,,24,,21,,,-,0,,1,,1,,,-,,-,0,,2,,10,,10,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
WEST VIRGINIA,2014,30,1,,4,,15,,161,,229,,,-,0,,2,,9,,12,,1,,0,,4,,13,,9,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
NORTH DAKOTA,2014,30,,-,1,,4,,43,,70,,,-,0,,1,,2,,8,,,-,0,,1,,3,,,-,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
ARKANSAS,2014,30,1,,4,,30,,127,,142,,,-,0,,2,,6,,7,,,-,0,,5,,22,,16,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
SOUTH CAROLINA,2014,30,,-,7,,27,,277,,299,,,-,0,,2,,19,,13,,1,,0,,3,,21,,7,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
KENTUCKY,2014,30,2,,4,,10,,119,,183,,,-,0,,2,,8,,9,,,-,1,,7,,35,,26,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
VIRGINIA,2014,30,,-,0,,3,,15,,,-,,-,0,,3,,14,,25,,,-,1,,8,,39,,71,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
KANSAS,2014,30,,-,2,,9,,87,,102,,,N,0,,0,,,N,,N,,-,0,,3,,7,,4,,"KANSAS
(38.3477418760005, -98.20077655499966)",
MINNESOTA,2014,30,,-,6,,18,,159,,367,,,-,0,,3,,8,,25,,1,,1,,4,,25,,24,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
PENNSYLVANIA,2014,30,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,6,,5,,20,,148,,235,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
ARIZONA,2014,30,2,,13,,40,,504,,567,,,-,1,,6,,26,,30,,,-,1,,4,,24,,39,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
ILLINOIS,2014,30,,N,0,,0,,,N,,N,,-,1,,3,,21,,28,,,-,4,,18,,83,,152,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
GEORGIA,2014,30,3,,16,,61,,578,,713,,,-,1,,5,,35,,51,,,-,1,,9,,37,,40,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
COLORADO,2014,30,7,,8,,24,,247,,351,,,-,0,,2,,11,,16,,,-,0,,7,,9,,17,,"COLORADO
(38.84384201300048, -106.13360888799969)",
WISCONSIN,2014,30,2,,6,,16,,226,,305,,,-,0,,3,,7,,16,,,-,1,,9,,4,,72,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
RHODE ISLAND,2014,30,,-,1,,10,,42,,41,,,-,0,,1,,1,,,-,,-,0,,10,,11,,8,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
NEBRASKA,2014,30,,-,2,,8,,61,,98,,,-,0,,2,,5,,8,,,-,0,,2,,1,,12,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
FLORIDA,2014,30,4,,16,,45,,636,,760,,,-,1,,5,,54,,60,,6,,4,,15,,146,,119,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
VERMONT,2014,30,,-,1,,4,,35,,41,,,-,0,,0,,,-,,-,,-,0,,1,,2,,9,,"VERMONT
(43.62538000100045, -72.51763944499965)",
NEW MEXICO,2014,30,,-,5,,16,,207,,231,,,-,0,,3,,11,,9,,,-,0,,2,,1,,5,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
IDAHO,2014,30,,N,0,,0,,,N,,N,,-,0,,1,,2,,3,,,-,0,,2,,5,,5,,"IDAHO
(43.68263160000049, -114.3637261449997)",
SOUTH DAKOTA,2014,30,1,,2,,5,,58,,65,,,N,0,,0,,,N,,N,,-,0,,1,,3,,4,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
UNITED STATES,2014,31,71,,275,,752,,8674,,11201,,6,,21,,56,,591,,735,,102,,74,,163,,2165,,2783,,,
NEW ENGLAND,2014,31,,-,12,,24,,380,,465,,,-,1,,2,,27,,27,,3,,5,,22,,110,,172,,,
CONNECTICUT,2014,31,,-,4,,10,,137,,231,,,-,0,,1,,5,,11,,,-,1,,4,,26,,35,,"CONNECTICUT
",
MAINE,2014,31,,-,2,,8,,98,,84,,,-,0,,1,,5,,3,,3,,0,,3,,10,,9,,"MAINE
",
MASSACHUSETTS,2014,31,,-,0,,2,,17,,12,,,-,0,,2,,13,,11,,,-,2,,15,,55,,96,,"MASSACHUSETTS
",
NEW HAMPSHIRE,2014,31,,-,1,,6,,51,,53,,,-,0,,1,,3,,2,,,-,0,,3,,6,,15,,"NEW HAMPSHIRE
",
RHODE ISLAND,2014,31,,-,1,,10,,42,,43,,,-,0,,1,,1,,,-,,-,0,,10,,11,,8,,"RHODE ISLAND
",
VERMONT,2014,31,,-,1,,4,,35,,42,,,-,0,,0,,,-,,-,,-,0,,1,,2,,9,,"VERMONT
",
MID. ATLANTIC,2014,31,15,,31,,115,,940,,1536,,,-,2,,10,,42,,80,,38,,17,,56,,477,,832,,,
NEW JERSEY,2014,31,,-,2,,19,,32,,411,,,-,0,,2,,2,,25,,,-,1,,15,,32,,149,,"NEW JERSEY
",
NEW YORK,2014,31,7,,15,,76,,510,,664,,,-,1,,6,,23,,32,,21,,6,,21,,196,,252,,"NEW YORK
",
NEW YORK CITY,2014,31,8,,12,,25,,398,,461,,,-,0,,4,,17,,23,,7,,3,,15,,91,,185,,"NEW YORK CITY
",
PENNSYLVANIA,2014,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,10,,5,,17,,158,,246,,"PENNSYLVANIA
",
E.N. CENTRAL,2014,31,12,,52,,84,,1520,,2100,,1,,3,,9,,94,,115,,26,,17,,67,,453,,786,,,
ILLINOIS,2014,31,,N,0,,0,,,N,,N,,-,1,,3,,21,,28,,,-,3,,18,,83,,165,,"ILLINOIS
",
MICHIGAN,2014,31,2,,11,,21,,354,,524,,1,,0,,4,,19,,29,,4,,3,,16,,63,,161,,"MICHIGAN
",
OHIO,2014,31,8,,20,,38,,620,,809,,,-,1,,4,,27,,26,,22,,6,,27,,211,,326,,"OHIO
",
WISCONSIN,2014,31,2,,6,,16,,232,,309,,,-,0,,3,,7,,16,,,-,2,,9,,33,,81,,"WISCONSIN
",
W.N. CENTRAL,2014,31,,-,16,,37,,408,,709,,,-,1,,4,,25,,66,,2,,3,,19,,107,,99,,,
IOWA,2014,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,14,,6,,"IOWA
",
KANSAS,2014,31,,-,2,,9,,87,,102,,,N,0,,0,,,N,,N,,-,0,,3,,7,,6,,"KANSAS
",
MINNESOTA,2014,31,,-,6,,18,,159,,369,,,-,0,,3,,8,,25,,1,,1,,4,,26,,26,,"MINNESOTA
",
MISSOURI,2014,31,,N,0,,0,,,N,,N,,-,0,,2,,10,,24,,1,,1,,10,,51,,43,,"MISSOURI
",
NEBRASKA,2014,31,,-,2,,8,,61,,100,,,-,0,,2,,5,,8,,,-,0,,2,,1,,13,,"NEBRASKA
",
NORTH DAKOTA,2014,31,,-,1,,4,,43,,71,,,-,0,,1,,2,,9,,,-,0,,1,,3,,,-,"NORTH DAKOTA
",
SOUTH DAKOTA,2014,31,,-,2,,5,,58,,67,,,N,0,,0,,,N,,N,,-,0,,2,,5,,5,,"SOUTH DAKOTA
",
S. ATLANTIC,2014,31,21,,57,,134,,2056,,2452,,3,,5,,10,,153,,184,,17,,15,,31,,430,,423,,,
DELAWARE,2014,31,,-,0,,5,,24,,22,,,-,0,,1,,1,,,-,,-,0,,2,,10,,11,,"DELAWARE
",
DIST. OF COL.,2014,31,,-,1,,6,,44,,62,,,-,0,,1,,1,,1,,,N,0,,0,,,N,,N,"DIST. OF COL.
",
FLORIDA,2014,31,7,,16,,45,,643,,769,,1,,1,,5,,55,,60,,5,,5,,15,,151,,127,,"FLORIDA
",
GEORGIA,2014,31,2,,16,,61,,583,,719,,,-,1,,5,,35,,51,,1,,1,,9,,43,,43,,"GEORGIA
",
MARYLAND,2014,31,6,,7,,21,,290,,346,,2,,0,,4,,18,,20,,5,,2,,9,,69,,100,,"MARYLAND
",
NORTH CAROLINA,2014,31,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,2,,2,,11,,76,,49,,"NORTH CAROLINA
",
VIRGINIA,2014,31,,-,0,,3,,15,,,-,,-,0,,3,,14,,27,,3,,1,,8,,43,,73,,"VIRGINIA
",
WEST VIRGINIA,2014,31,,-,4,,15,,162,,232,,,-,0,,2,,9,,12,,,-,0,,4,,14,,12,,"WEST VIRGINIA
",
E.S. CENTRAL,2014,31,8,,25,,51,,880,,999,,,-,2,,6,,63,,65,,2,,4,,18,,169,,100,,,
ALABAMA,2014,31,1,,3,,10,,131,,128,,,-,0,,2,,10,,14,,,-,1,,10,,36,,13,,"ALABAMA
",
KENTUCKY,2014,31,2,,4,,10,,121,,186,,,-,0,,2,,8,,9,,,-,1,,7,,36,,27,,"KENTUCKY
",
MISSISSIPPI,2014,31,2,,3,,13,,145,,159,,,-,0,,2,,15,,13,,,-,0,,2,,9,,11,,"MISSISSIPPI
",
TENNESSEE,2014,31,3,,15,,28,,483,,526,,,-,1,,4,,30,,29,,2,,2,,11,,88,,49,,"TENNESSEE
",
W.S. CENTRAL,2014,31,7,,35,,305,,1257,,1420,,2,,4,,20,,116,,103,,5,,5,,29,,172,,114,,,
LOUISIANA,2014,31,1,,6,,23,,251,,231,,1,,0,,2,,16,,13,,,-,0,,4,,22,,21,,"LOUISIANA
",
TEXAS,2014,31,6,,25,,263,,879,,1046,,1,,2,,18,,76,,70,,4,,3,,24,,117,,74,,"TEXAS
",
MOUNTAIN,2014,31,8,,30,,81,,1122,,1409,,,-,2,,7,,59,,80,,4,,3,,9,,67,,95,,,
ARIZONA,2014,31,3,,13,,40,,507,,571,,,-,1,,6,,26,,30,,,-,1,,4,,24,,40,,"ARIZONA
",
COLORADO,2014,31,3,,8,,24,,250,,354,,,-,0,,2,,11,,16,,2,,0,,7,,11,,17,,"COLORADO
",
IDAHO,2014,31,,N,0,,0,,,N,,N,,-,0,,1,,2,,3,,,-,0,,2,,5,,5,,"IDAHO
",
MONTANA,2014,31,,-,0,,4,,25,,19,,,-,0,,0,,,-,1,,,-,0,,1,,2,,8,,"MONTANA
",
NEVADA,2014,31,,-,2,,7,,86,,89,,,-,0,,2,,5,,4,,1,,0,,3,,10,,9,,"NEVADA
",
NEW MEXICO,2014,31,2,,5,,16,,214,,232,,,-,0,,3,,11,,9,,,-,0,,2,,1,,5,,"NEW MEXICO
",
UTAH,2014,31,,-,1,,11,,28,,131,,,-,0,,2,,3,,17,,1,,0,,3,,14,,11,,"UTAH
",
WYOMING,2014,31,,-,0,,3,,12,,13,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WYOMING
",
PACIFIC,2014,31,,-,3,,8,,111,,111,,,-,0,,3,,12,,15,,5,,5,,13,,180,,162,,,
ALASKA,2014,31,,-,2,,5,,51,,64,,,-,0,,2,,6,,12,,,-,0,,1,,1,,1,,"ALASKA
",
CALIFORNIA,2014,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,4,,11,,136,,130,,"CALIFORNIA
",
PUERTO RICO,2014,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,11,,"PUERTO RICO
",
VIRGIN ISL.,2014,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
SOUTH CAROLINA,2014,31,6,,7,,27,,295,,302,,,-,0,,2,,20,,13,,1,,0,,3,,24,,8,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
ARKANSAS,2014,31,,-,4,,30,,127,,143,,,-,0,,2,,6,,7,,,-,0,,5,,23,,16,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
HAWAII,2014,31,,-,2,,6,,60,,47,,,-,0,,2,,6,,3,,,-,0,,1,,3,,4,,"HAWAII
(21.304853205000427, -157.85774691599974)",
OKLAHOMA,2014,31,,-,0,,0,,,-,,-,,-,0,,2,,18,,13,,1,,0,,4,,10,,3,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
INDIANA,2014,31,,-,10,,33,,314,,458,,,-,1,,4,,20,,16,,,-,2,,8,,63,,53,,"INDIANA
(39.76691072200049, -86.14995579899966)",
UNITED STATES,2014,32,58,,276,,752,,8805,,11314,,6,,21,,56,,602,,740,,57,,75,,163,,2277,,2946,,,
NEW ENGLAND,2014,32,,-,12,,24,,383,,471,,,-,1,,2,,27,,27,,,-,4,,22,,112,,194,,,
MID. ATLANTIC,2014,32,9,,31,,115,,950,,1551,,,-,2,,10,,42,,80,,23,,17,,56,,500,,885,,,
E.N. CENTRAL,2014,32,15,,53,,84,,1559,,2117,,2,,3,,9,,97,,116,,11,,17,,47,,479,,831,,,
W.N. CENTRAL,2014,32,,-,16,,37,,435,,719,,,-,1,,4,,27,,66,,1,,3,,19,,118,,108,,,
S. ATLANTIC,2014,32,11,,57,,134,,2079,,2477,,,-,5,,10,,154,,186,,19,,15,,31,,452,,441,,,
DIST. OF COL.,2014,32,,-,1,,6,,44,,62,,,-,0,,1,,1,,1,,,N,0,,1,,,N,,N,"DIST. OF COL.
",
E.S. CENTRAL,2014,32,5,,25,,51,,886,,1009,,1,,1,,6,,64,,65,,1,,4,,18,,177,,107,,,
W.S. CENTRAL,2014,32,16,,35,,305,,1276,,1438,,2,,4,,20,,118,,104,,1,,5,,29,,174,,118,,,
MOUNTAIN,2014,32,2,,30,,81,,1126,,1421,,1,,2,,7,,61,,81,,,-,3,,9,,73,,98,,,
PACIFIC,2014,32,,-,3,,8,,111,,111,,,-,0,,3,,12,,15,,1,,5,,13,,192,,164,,,
AMER. SAMOA,2014,32,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2014,32,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OREGON,2014,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,15,,10,,"OREGON
(44.56745218600048, -120.15502977999972)",
NEBRASKA,2014,32,,-,3,,8,,88,,102,,,-,0,,2,,7,,8,,1,,0,,2,,9,,13,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
ALASKA,2014,32,,-,2,,5,,51,,64,,,-,0,,2,,6,,12,,,-,0,,1,,1,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
NEW YORK CITY,2014,32,3,,12,,25,,401,,467,,,-,0,,4,,17,,23,,5,,3,,15,,96,,197,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NEW JERSEY,2014,32,,-,2,,19,,32,,413,,,-,0,,2,,2,,25,,,-,1,,15,,33,,161,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
KANSAS,2014,32,,-,2,,9,,87,,102,,,N,0,,0,,,N,,N,,-,0,,3,,7,,9,,"KANSAS
(38.3477418760005, -98.20077655499966)",
IDAHO,2014,32,,N,0,,0,,,N,,N,,-,0,,1,,3,,3,,,-,0,,2,,5,,6,,"IDAHO
(43.68263160000049, -114.3637261449997)",
OHIO,2014,32,12,,20,,38,,632,,814,,1,,1,,4,,28,,26,,8,,6,,23,,219,,334,,"OHIO
(40.06021184000048, -82.40425685299965)",
NEW MEXICO,2014,32,,-,5,,16,,214,,234,,,-,0,,3,,11,,9,,,-,0,,2,,2,,5,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
PUERTO RICO,2014,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,12,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
MASSACHUSETTS,2014,32,,-,0,,2,,17,,12,,,-,0,,2,,13,,11,,,-,2,,15,,55,,111,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
NORTH CAROLINA,2014,32,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,1,,2,,11,,77,,51,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
TEXAS,2014,32,13,,25,,263,,894,,1057,,1,,2,,18,,77,,70,,1,,3,,24,,119,,78,,"TEXAS
(31.827240712000446, -99.4267664729997)",
IOWA,2014,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,15,,7,,"IOWA
(42.469401477000474, -93.81648936699969)",
ILLINOIS,2014,32,,N,0,,0,,,N,,N,,-,1,,3,,22,,28,,,-,3,,18,,86,,183,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
MONTANA,2014,32,,-,0,,4,,25,,20,,,-,0,,0,,,-,1,,,-,0,,1,,2,,8,,"MONTANA
(47.06652759400049, -109.42441687999968)",
WYOMING,2014,32,,-,0,,3,,12,,13,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235543013000495, -108.10982744299969)",
INDIANA,2014,32,,-,10,,33,,329,,459,,,-,1,,4,,20,,16,,3,,2,,8,,74,,54,,"INDIANA
(39.76691072200049, -86.14995579899966)",
OKLAHOMA,2014,32,,-,0,,0,,,-,,-,1,,0,,2,,19,,13,,,-,0,,4,,10,,3,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
VIRGINIA,2014,32,,-,0,,3,,15,,,-,,-,0,,3,,14,,28,,5,,1,,8,,48,,73,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
CONNECTICUT,2014,32,,-,4,,10,,140,,233,,,-,0,,1,,5,,11,,,-,1,,3,,28,,38,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
MISSOURI,2014,32,,N,0,,0,,,N,,N,,-,0,,2,,10,,24,,,-,1,,10,,52,,45,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
ARKANSAS,2014,32,2,,4,,30,,130,,144,,,-,0,,2,,6,,7,,,-,0,,5,,23,,16,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
UTAH,2014,32,,-,1,,11,,28,,132,,,-,0,,2,,3,,17,,,-,0,,3,,15,,11,,"UTAH
(39.36070082200047, -111.5871285339997)",
CALIFORNIA,2014,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,4,,11,,147,,131,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
DELAWARE,2014,32,1,,0,,5,,25,,22,,,-,0,,1,,1,,,-,,-,0,,2,,11,,11,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
MISSISSIPPI,2014,32,,-,3,,13,,146,,162,,,-,0,,2,,15,,13,,,-,0,,2,,9,,12,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
NEVADA,2014,32,1,,2,,7,,87,,90,,,-,0,,2,,5,,4,,,-,0,,3,,11,,10,,"NEVADA
(39.493242807000456, -117.07183978499972)",
ALABAMA,2014,32,,-,3,,10,,131,,129,,,-,0,,2,,10,,14,,,-,1,,10,,37,,13,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
MINNESOTA,2014,32,,-,6,,18,,159,,372,,,-,0,,3,,8,,25,,,-,1,,4,,27,,29,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
SOUTH DAKOTA,2014,32,,-,2,,5,,58,,69,,,N,0,,0,,,N,,N,,-,0,,2,,5,,5,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
WASHINGTON,2014,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,0,,6,,25,,18,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
MARYLAND,2014,32,2,,7,,21,,296,,348,,,-,0,,4,,18,,20,,2,,3,,9,,71,,103,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
WEST VIRGINIA,2014,32,,-,4,,15,,164,,236,,,-,0,,2,,9,,12,,1,,0,,4,,15,,16,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
TENNESSEE,2014,32,5,,15,,28,,488,,528,,1,,1,,4,,31,,29,,,-,2,,11,,91,,54,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
NEW HAMPSHIRE,2014,32,,-,1,,6,,51,,55,,,-,0,,1,,3,,2,,,-,0,,3,,6,,15,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
HAWAII,2014,32,,-,2,,6,,60,,47,,,-,0,,2,,6,,3,,,-,0,,1,,4,,4,,"HAWAII
(21.304853205000427, -157.85774691599974)",
VERMONT,2014,32,,-,1,,4,,35,,42,,,-,0,,0,,,-,,-,,-,0,,1,,2,,10,,"VERMONT
(43.62538000100045, -72.51763944499965)",
FLORIDA,2014,32,5,,16,,45,,646,,776,,,-,1,,5,,55,,60,,10,,5,,15,,161,,129,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
