Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag",Location 1,Location 2
KENTUCKY,2015,39,,-,0,,2,,11,,10,,,-,2,,7,,83,,125,,,,2,,6,,62,,139,,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2015,39,,-,0,,2,,12,,18,,,-,0,,4,,28,,32,,1,,0,,3,,23,,35,,"MARYLAND
(39.290443, -76.612333)",
DIST. OF COL.,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
VERMONT,2015,39,,-,0,,1,,2,,1,,,-,0,,1,,1,,4,,,,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
OKLAHOMA,2015,39,,-,0,,2,,6,,13,,,-,0,,22,,17,,18,,,,0,,19,,7,,18,,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2015,39,,-,0,,5,,27,,23,,7,,5,,75,,310,,144,,1,,2,,6,,89,,76,,"OHIO
(40.056807, -82.405897)",
MISSOURI,2015,39,,-,0,,2,,1,,15,,,-,0,,1,,4,,26,,,,0,,2,,3,,5,,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2015,39,,-,1,,3,,31,,36,,,-,1,,4,,40,,56,,1,,1,,6,,72,,60,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2015,39,,-,0,,2,,5,,4,,,-,0,,1,,6,,9,,,,0,,4,,14,,22,,"KANSAS
(38.345528, -98.201847)",
OREGON,2015,39,1,,0,,2,,20,,10,,,-,0,,4,,18,,24,,,,0,,1,,8,,15,,"OREGON
(44.567912, -120.156945)",
WASHINGTON,2015,39,1,,0,,5,,21,,13,,,-,1,,7,,21,,21,,3,,1,,14,,39,,55,,"WASHINGTON
(47.517368, -120.467672)",
ARIZONA,2015,39,3,,1,,4,,39,,20,,,-,0,,3,,15,,22,,,,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2015,39,2,,2,,8,,78,,69,,7,,8,,14,,310,,217,,,,2,,5,,68,,72,,"FLORIDA
(28.915325, -81.922409)",
VIRGIN ISL.,2015,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
(18.060868, -64.840836)",
MASSACHUSETTS,2015,39,,-,1,,3,,26,,32,,,-,0,,2,,9,,25,,,,3,,8,,104,,183,,"MASSACHUSETTS
(42.268546, -72.085064)",
WISCONSIN,2015,39,,-,0,,1,,7,,6,,,-,0,,1,,8,,172,,,,0,,3,,13,,41,,"WISCONSIN
(44.395526, -89.834513)",
GEORGIA,2015,39,,-,1,,6,,39,,18,,1,,2,,4,,72,,83,,,,0,,3,,16,,44,,"GEORGIA
(32.836038, -83.631709)",
TENNESSEE,2015,39,,-,0,,2,,11,,9,,,-,5,,10,,177,,163,,3,,3,,9,,120,,83,,"TENNESSEE
(35.681402, -85.774444)",
MICHIGAN,2015,39,,-,1,,3,,28,,35,,1,,1,,4,,31,,40,,1,,2,,7,,81,,51,,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2015,39,,-,0,,1,,5,,8,,,-,0,,1,,1,,1,,,,0,,2,,1,,13,,"NEW MEXICO
(34.520396, -106.244402)",
LOUISIANA,2015,39,,-,0,,1,,3,,5,,,-,1,,5,,36,,64,,,,0,,2,,11,,17,,"LOUISIANA
(31.31111, -92.445)",
NORTH DAKOTA,2015,39,,-,0,,3,,5,,6,,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2015,39,,-,0,,1,,2,,1,,,-,0,,1,,7,,6,,,,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
MONTANA,2015,39,,-,0,,1,,1,,5,,,-,0,,2,,2,,,-,,,0,,2,,10,,12,,"MONTANA
(47.062617, -109.430168)",
GUAM,2015,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2015,39,,-,2,,10,,102,,111,,1,,2,,5,,89,,83,,1,,1,,4,,37,,54,,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2015,39,,-,0,,2,,5,,9,,,-,0,,1,,,-,7,,,,0,,1,,3,,1,,"NEBRASKA
(41.640503, -99.367122)",
UTAH,2015,39,,-,0,,1,,5,,7,,,-,0,,2,,8,,6,,,,0,,4,,16,,29,,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2015,39,,-,0,,1,,1,,3,,,-,1,,4,,40,,36,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2015,39,,-,0,,1,,2,,4,,,-,0,,4,,13,,15,,,,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
UNITED STATES,2015,40,15,,25,,35,,982,,958,,40,,54,,135,,2240,,2276,,17,,35,,76,,1356,,1662,,,
NEW ENGLAND,2015,40,,-,1,,6,,44,,67,,,-,0,,3,,15,,49,,,,4,,9,,138,,219,,,
MID. ATLANTIC,2015,40,4,,4,,9,,145,,149,,2,,4,,10,,150,,194,,4,,4,,16,,205,,232,,,
NEW YORK CITY,2015,40,2,,1,,5,,56,,37,,2,,1,,4,,38,,42,,,,0,,5,,8,,12,,"NEW YORK CITY
",
E.N. CENTRAL,2015,40,1,,2,,12,,120,,151,,8,,9,,79,,489,,505,,2,,6,,14,,236,,281,,,
W.N. CENTRAL,2015,40,,-,1,,4,,42,,63,,,-,1,,4,,36,,63,,,,1,,6,,41,,67,,,
S. ATLANTIC,2015,40,7,,5,,12,,219,,164,,21,,19,,35,,789,,646,,8,,6,,32,,289,,318,,,
DIST. OF COL.,2015,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,40,,-,1,,5,,42,,34,,8,,10,,17,,399,,418,,,,6,,14,,250,,254,,,
W.S. CENTRAL,2015,40,3,,3,,8,,119,,115,,,-,5,,39,,165,,186,,2,,1,,24,,48,,72,,,
MOUNTAIN,2015,40,,-,2,,6,,92,,71,,,-,1,,4,,53,,76,,,,1,,6,,63,,92,,,
PACIFIC,2015,40,,-,4,,11,,159,,144,,1,,4,,9,,144,,139,,1,,2,,14,,86,,127,,,
AMER. SAMOA,2015,40,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,40,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
MASSACHUSETTS,2015,40,,-,1,,3,,26,,33,,,-,0,,2,,9,,25,,,,3,,8,,104,,188,,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2015,40,3,,1,,6,,43,,20,,1,,2,,4,,73,,83,,,,0,,3,,16,,44,,"GEORGIA
(32.836038, -83.631709)",
OREGON,2015,40,,-,0,,2,,19,,10,,,-,0,,4,,19,,25,,,,0,,1,,8,,15,,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2015,40,,-,0,,3,,5,,7,,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OHIO,2015,40,1,,0,,5,,28,,24,,7,,5,,75,,317,,146,,2,,2,,6,,92,,78,,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2015,40,,-,1,,4,,32,,39,,,-,1,,4,,41,,57,,2,,2,,6,,83,,60,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2015,40,,-,0,,1,,1,,5,,,-,0,,2,,2,,,-,,,0,,2,,10,,12,,"MONTANA
(47.062617, -109.430168)",
ALABAMA,2015,40,,-,0,,3,,17,,11,,3,,2,,6,,83,,87,,,,1,,6,,52,,24,,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2015,40,,-,0,,1,,2,,1,,,-,0,,1,,8,,6,,,,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
UTAH,2015,40,,-,0,,1,,6,,7,,,-,0,,2,,8,,6,,,,0,,4,,16,,30,,"UTAH
(39.359772, -111.584173)",
IDAHO,2015,40,,-,0,,2,,10,,4,,,-,0,,1,,7,,6,,,,0,,2,,1,,4,,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2015,40,,-,0,,1,,3,,5,,,-,1,,5,,36,,65,,,,0,,2,,11,,17,,"LOUISIANA
(31.31111, -92.445)",
COLORADO,2015,40,,-,0,,3,,20,,20,,,-,0,,1,,5,,23,,,,0,,4,,27,,27,,"COLORADO
(38.841772, -106.132562)",
CALIFORNIA,2015,40,,-,2,,10,,110,,114,,,-,2,,5,,94,,84,,,,1,,4,,38,,56,,"CALIFORNIA
(37.640735, -121.002435)",
VIRGIN ISL.,2015,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
(18.060868, -64.840836)",
WEST VIRGINIA,2015,40,,-,0,,1,,4,,8,,1,,4,,11,,178,,140,,,,1,,4,,47,,54,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2015,40,1,,0,,3,,12,,4,,,-,0,,2,,19,,32,,,,0,,1,,3,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WASHINGTON,2015,40,,-,0,,5,,21,,14,,1,,1,,7,,22,,22,,1,,1,,14,,40,,56,,"WASHINGTON
(47.517368, -120.467672)",
PUERTO RICO,2015,40,,-,0,,1,,2,,5,,,-,0,,4,,13,,16,,,,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK,2015,40,2,,0,,4,,28,,31,,,-,0,,3,,23,,32,,2,,2,,11,,70,,79,,"NEW YORK
(42.826892, -75.544286)",
SOUTH DAKOTA,2015,40,,-,0,,1,,1,,,-,,-,0,,1,,1,,2,,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
RHODE ISLAND,2015,40,,-,0,,2,,4,,6,,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2015,40,,-,0,,2,,12,,11,,1,,2,,8,,92,,129,,,,2,,6,,75,,142,,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2015,40,,-,0,,1,,1,,3,,,-,1,,4,,41,,37,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2015,40,,-,0,,1,,2,,1,,,-,0,,1,,2,,4,,,,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2015,40,,-,0,,2,,1,,3,,,-,0,,1,,,-,2,,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2015,40,3,,2,,7,,104,,96,,,-,2,,17,,95,,83,,2,,1,,6,,29,,26,,"TEXAS
(31.827233, -99.423022)",
IOWA,2015,40,,-,0,,3,,10,,8,,,-,0,,2,,14,,8,,,,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW JERSEY,2015,40,,-,0,,4,,29,,42,,,-,1,,5,,48,,63,,,,1,,5,,44,,81,,"NEW JERSEY
(40.121601, -74.321404)",
VIRGINIA,2015,40,1,,1,,2,,30,,19,,1,,1,,4,,43,,48,,,,1,,3,,37,,44,,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2015,40,,-,0,,2,,10,,16,,,-,2,,7,,89,,104,,,,0,,7,,27,,88,,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2015,40,,-,0,,2,,5,,9,,,-,0,,1,,,-,7,,,,0,,1,,3,,2,,"NEBRASKA
(41.640503, -99.367122)",
TENNESSEE,2015,40,,-,0,,2,,12,,9,,4,,5,,10,,183,,165,,,,3,,9,,123,,88,,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2015,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSOURI,2015,40,,-,0,,2,,1,,15,,,-,0,,1,,4,,27,,,,0,,2,,3,,5,,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2015,40,,-,0,,1,,7,,6,,,-,0,,1,,8,,172,,,,0,,3,,13,,42,,"WISCONSIN
(44.395526, -89.834513)",
FLORIDA,2015,40,2,,2,,8,,81,,69,,5,,8,,14,,315,,227,,1,,2,,5,,70,,73,,"FLORIDA
(28.915325, -81.922409)",
NEW MEXICO,2015,40,,-,0,,1,,5,,8,,,-,0,,1,,1,,1,,,,0,,2,,1,,14,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2015,40,,-,1,,4,,39,,21,,,-,0,,3,,15,,24,,,,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2015,40,,-,1,,4,,36,,36,,1,,1,,4,,34,,41,,,,2,,7,,85,,51,,"MICHIGAN
(44.66399, -84.711206)",
ALASKA,2015,40,,-,0,,1,,4,,1,,,-,0,,2,,2,,3,,,,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
ILLINOIS,2015,40,,-,1,,9,,39,,69,,,-,1,,4,,41,,42,,,,0,,2,,19,,22,,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2015,40,,-,0,,2,,4,,3,,,-,0,,1,,,-,10,,,,1,,3,,23,,23,,"MAINE
(45.252223, -68.986647)",
WYOMING,2015,40,,-,0,,1,,3,,1,,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2015,40,,-,1,,7,,35,,24,,13,,2,,19,,125,,76,,6,,0,,26,,92,,64,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2015,40,,-,0,,2,,8,,5,,,-,0,,3,,15,,16,,,,0,,2,,8,,5,,"NEVADA
(39.491833, -117.070159)",
MINNESOTA,2015,40,,-,0,,2,,15,,19,,,-,0,,2,,11,,10,,,,0,,2,,18,,36,,"MINNESOTA
(44.943719, -93.094281)",
MARYLAND,2015,40,,-,0,,2,,12,,19,,,-,0,,4,,28,,34,,1,,0,,3,,24,,35,,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2015,40,,-,0,,1,,6,,1,,,-,0,,2,,17,,20,,,,0,,1,,1,,11,,"ARKANSAS
(34.748745, -92.275105)",
KANSAS,2015,40,,-,0,,2,,5,,5,,,-,0,,1,,6,,9,,,,0,,4,,17,,24,,"KANSAS
(38.345528, -98.201847)",
HAWAII,2015,40,,-,0,,2,,5,,5,,,-,0,,2,,7,,5,,,,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
CONNECTICUT,2015,40,,-,0,,2,,7,,21,,,-,0,,1,,4,,8,,,,0,,2,,11,,6,,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2015,40,,-,0,,2,,6,,13,,,-,0,,22,,17,,18,,,,0,,19,,7,,18,,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2015,41,10,,25,,35,,1014,,979,,24,,55,,136,,2306,,2325,,12,,36,,76,,1392,,1687,,,
NEW ENGLAND,2015,41,,-,1,,6,,45,,68,,,-,0,,3,,21,,49,,,,4,,9,,146,,223,,,
MID. ATLANTIC,2015,41,1,,4,,9,,146,,152,,3,,3,,10,,158,,201,,2,,4,,16,,209,,234,,,
NEW YORK CITY,2015,41,1,,1,,5,,57,,37,,2,,1,,4,,40,,45,,,,0,,5,,8,,12,,"NEW YORK CITY
",
E.N. CENTRAL,2015,41,,-,3,,12,,124,,155,,4,,9,,79,,500,,511,,1,,6,,14,,245,,289,,,
W.N. CENTRAL,2015,41,,-,1,,4,,45,,66,,,-,1,,4,,39,,65,,,,1,,6,,41,,67,,,
S. ATLANTIC,2015,41,4,,5,,12,,223,,170,,11,,19,,36,,812,,662,,,,7,,32,,294,,320,,,
DIST. OF COL.,2015,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
IOWA,2015,41,,-,0,,3,,11,,8,,,-,0,,2,,14,,8,,,,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
E.S. CENTRAL,2015,41,,-,1,,5,,44,,34,,3,,10,,17,,405,,426,,4,,6,,14,,257,,258,,,
W.S. CENTRAL,2015,41,5,,3,,8,,125,,116,,1,,5,,39,,169,,192,,4,,1,,24,,52,,73,,,
MOUNTAIN,2015,41,,-,2,,6,,91,,72,,,-,1,,4,,54,,79,,,,1,,6,,63,,93,,,
PACIFIC,2015,41,,-,4,,11,,171,,146,,2,,4,,9,,148,,140,,1,,2,,14,,85,,130,,,
AMER. SAMOA,2015,41,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,41,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
ALASKA,2015,41,,-,0,,1,,4,,1,,1,,0,,2,,3,,3,,,,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2015,41,,-,0,,1,,8,,6,,1,,0,,1,,9,,172,,,,0,,3,,13,,43,,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2015,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2015,41,,-,0,,2,,20,,11,,1,,0,,4,,21,,25,,,,0,,1,,8,,15,,"OREGON
(44.567912, -120.156945)",
IDAHO,2015,41,,-,0,,2,,10,,4,,,-,0,,1,,7,,6,,,,0,,2,,1,,4,,"IDAHO
(43.680635, -114.364237)",
INDIANA,2015,41,,-,0,,2,,12,,17,,,-,2,,7,,95,,104,,,,1,,7,,33,,90,,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2015,41,,-,0,,2,,12,,20,,1,,0,,4,,29,,37,,,,0,,3,,24,,35,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2015,41,2,,0,,2,,8,,13,,,-,0,,22,,17,,19,,2,,0,,19,,9,,18,,"OKLAHOMA
(35.468494, -97.521264)",
KANSAS,2015,41,,-,0,,2,,6,,5,,,-,0,,2,,8,,10,,,,0,,4,,17,,24,,"KANSAS
(38.345528, -98.201847)",
PENNSYLVANIA,2015,41,,-,1,,4,,32,,40,,,-,1,,4,,41,,59,,1,,2,,6,,87,,60,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2015,41,,-,0,,1,,1,,5,,,-,0,,2,,2,,,-,,,0,,2,,10,,12,,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2015,41,,-,0,,5,,21,,14,,,-,1,,7,,22,,22,,1,,1,,14,,40,,57,,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2015,41,,-,0,,2,,4,,4,,,-,0,,1,,,-,10,,,,1,,3,,24,,23,,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2015,41,,-,0,,1,,2,,,-,,-,0,,1,,1,,2,,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
UTAH,2015,41,,-,0,,1,,6,,7,,,-,0,,2,,8,,6,,,,0,,4,,16,,31,,"UTAH
(39.359772, -111.584173)",
TEXAS,2015,41,2,,2,,7,,107,,97,,1,,2,,17,,97,,86,,2,,1,,6,,31,,27,,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2015,41,,-,0,,2,,15,,19,,,-,0,,2,,12,,11,,,,0,,2,,18,,36,,"MINNESOTA
(44.943719, -93.094281)",
MASSACHUSETTS,2015,41,,-,1,,3,,27,,33,,,-,0,,2,,15,,25,,,,3,,8,,111,,192,,"MASSACHUSETTS
(42.268546, -72.085064)",
CALIFORNIA,2015,41,,-,3,,10,,121,,115,,,-,2,,5,,93,,85,,,,1,,4,,37,,58,,"CALIFORNIA
(37.640735, -121.002435)",
HAWAII,2015,41,,-,0,,2,,5,,5,,,-,0,,2,,9,,5,,,,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2015,41,1,,1,,2,,31,,20,,,-,1,,4,,44,,52,,,,1,,3,,39,,44,,"VIRGINIA
(37.542699, -78.45822)",
LOUISIANA,2015,41,,-,0,,1,,3,,5,,,-,1,,5,,36,,66,,,,0,,2,,11,,17,,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2015,41,,-,0,,2,,12,,9,,2,,5,,10,,186,,167,,2,,3,,9,,126,,89,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH CAROLINA,2015,41,,-,0,,3,,12,,4,,1,,0,,2,,20,,32,,,,0,,1,,4,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW JERSEY,2015,41,,-,0,,4,,29,,44,,,-,1,,5,,53,,65,,,,1,,5,,44,,81,,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2015,41,,-,0,,2,,1,,3,,,-,0,,1,,,-,2,,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2015,41,,-,0,,2,,7,,21,,,-,0,,1,,4,,8,,,,0,,2,,11,,6,,"CONNECTICUT
(41.544654, -72.651713)",
RHODE ISLAND,2015,41,,-,0,,2,,4,,6,,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2015,41,,-,0,,1,,3,,1,,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2015,41,,-,2,,8,,81,,73,,8,,8,,14,,330,,233,,,,2,,5,,71,,74,,"FLORIDA
(28.915325, -81.922409)",
OHIO,2015,41,,-,0,,5,,28,,24,,3,,5,,75,,321,,149,,,,2,,6,,92,,80,,"OHIO
(40.056807, -82.405897)",
MISSOURI,2015,41,,-,0,,1,,1,,17,,,-,0,,1,,4,,27,,,,0,,2,,3,,5,,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2015,41,,-,0,,2,,5,,9,,,-,0,,1,,,-,7,,,,0,,1,,3,,2,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2015,41,,-,0,,3,,19,,11,,1,,2,,6,,85,,91,,2,,1,,6,,56,,24,,"ALABAMA
(32.839182, -86.631125)",
NORTH CAROLINA,2015,41,2,,1,,7,,37,,24,,1,,2,,19,,126,,76,,,,0,,26,,92,,64,,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSISSIPPI,2015,41,,-,0,,1,,1,,3,,,-,1,,4,,42,,37,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2015,41,,-,1,,4,,37,,37,,,-,1,,4,,34,,42,,1,,2,,7,,88,,54,,"MICHIGAN
(44.66399, -84.711206)",
ARIZONA,2015,41,,-,1,,4,,38,,22,,,-,0,,3,,16,,24,,,,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2015,41,,-,0,,1,,2,,1,,,-,0,,1,,8,,6,,,,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
KENTUCKY,2015,41,,-,0,,2,,12,,11,,,-,2,,8,,92,,131,,,,2,,6,,75,,145,,"KENTUCKY
(37.64591, -84.774043)",
NORTH DAKOTA,2015,41,,-,0,,3,,5,,8,,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2015,41,,-,0,,2,,8,,5,,,-,0,,2,,15,,19,,,,0,,2,,8,,5,,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2015,41,,-,0,,1,,4,,8,,,-,4,,11,,180,,142,,,,1,,4,,47,,54,,"WEST VIRGINIA
(38.668501, -80.709421)",
COLORADO,2015,41,,-,0,,3,,20,,20,,,-,0,,1,,5,,23,,,,0,,4,,27,,27,,"COLORADO
(38.841772, -106.132562)",
GEORGIA,2015,41,1,,1,,6,,44,,20,,,-,2,,4,,75,,84,,,,0,,3,,17,,45,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2015,41,,-,0,,1,,2,,1,,,-,0,,1,,2,,4,,,,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
NEW MEXICO,2015,41,,-,0,,2,,5,,8,,,-,0,,1,,1,,1,,,,0,,2,,1,,14,,"NEW MEXICO
(34.520396, -106.244402)",
PUERTO RICO,2015,41,,-,0,,1,,2,,5,,,-,0,,4,,13,,16,,,,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
ARKANSAS,2015,41,1,,0,,1,,7,,1,,,-,0,,3,,19,,21,,,,0,,1,,1,,11,,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK,2015,41,,-,0,,4,,28,,31,,1,,0,,3,,24,,32,,1,,2,,11,,70,,81,,"NEW YORK
(42.826892, -75.544286)",
ILLINOIS,2015,41,,-,1,,9,,39,,71,,,-,1,,4,,41,,44,,,,0,,2,,19,,22,,"ILLINOIS
(40.477092, -88.993221)",
UNITED STATES,2015,42,7,,25,,35,,1036,,999,,17,,55,,136,,2347,,2375,,13,,35,,76,,1398,,1723,,,
NEW ENGLAND,2015,42,,-,1,,3,,45,,74,,,-,0,,3,,21,,49,,1,,4,,9,,149,,227,,,
MID. ATLANTIC,2015,42,1,,4,,9,,147,,154,,1,,4,,10,,160,,204,,4,,5,,16,,217,,238,,,
NEW YORK CITY,2015,42,1,,1,,5,,58,,39,,1,,1,,4,,41,,45,,,,0,,5,,8,,12,,"NEW YORK CITY
",
E.N. CENTRAL,2015,42,,-,3,,12,,127,,157,,6,,10,,79,,509,,518,,1,,5,,14,,223,,295,,,
W.N. CENTRAL,2015,42,,-,1,,4,,46,,67,,,-,1,,4,,41,,65,,,,1,,6,,43,,67,,,
S. ATLANTIC,2015,42,3,,5,,12,,230,,174,,6,,20,,36,,825,,674,,1,,7,,32,,301,,327,,,
DIST. OF COL.,2015,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
