Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2016","Hepatitis (viral, acute), type A, Cum 2016, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2016","Hepatitis (viral, acute), type B, Cum 2016, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2016","Hepatitis (viral, acute), type C, Cum 2016, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag",Location 1,Location 2
NEW YORK CITY,2016,22,1,,1,,5,,19,,43,,2,,1,,3,,24,,19,,,-,0,,1,,4,,5,,"NEW YORK CITY
",
E.N. CENTRAL,2016,22,2,,3,,12,,59,,64,,3,,10,,17,,190,,336,,3,,8,,15,,161,,184,,,
W.N. CENTRAL,2016,22,,-,1,,4,,14,,26,,,-,1,,4,,19,,38,,,-,1,,4,,23,,31,,,
S. ATLANTIC,2016,22,5,,6,,15,,135,,96,,5,,21,,32,,374,,440,,4,,9,,20,,178,,212,,,
DIST. OF COL.,2016,22,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DIST. OF COL.
",
E.S. CENTRAL,2016,22,,-,1,,4,,15,,20,,5,,9,,21,,155,,248,,1,,6,,11,,82,,163,,,
W.S. CENTRAL,2016,22,2,,3,,13,,74,,55,,,-,5,,26,,76,,105,,,-,1,,26,,25,,33,,,
MOUNTAIN,2016,22,,-,2,,6,,31,,50,,,-,1,,8,,12,,39,,,-,2,,9,,36,,58,,,
PACIFIC,2016,22,2,,4,,32,,93,,95,,1,,3,,37,,60,,86,,2,,1,,64,,33,,30,,,
AMER. SAMOA,2016,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
VIRGIN ISL.,2016,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MINNESOTA,2016,22,,-,0,,1,,1,,12,,,-,0,,2,,1,,8,,,-,0,,3,,6,,14,,"MINNESOTA
(44.943719, -93.094281)",
MISSOURI,2016,22,,-,0,,2,,,-,3,,,-,0,,3,,,-,18,,,-,0,,1,,,-,4,,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2016,22,,-,1,,4,,21,,14,,,-,1,,4,,24,,17,,3,,2,,5,,58,,33,,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2016,22,,-,0,,1,,3,,3,,,-,0,,1,,1,,7,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TEXAS,2016,22,2,,3,,11,,61,,46,,,-,3,,12,,35,,48,,,-,1,,4,,18,,12,,"TEXAS
(31.827233, -99.423022)",
MARYLAND,2016,22,,-,0,,3,,11,,7,,,-,1,,4,,11,,14,,,-,0,,4,,16,,18,,"MARYLAND
(39.290443, -76.612333)",
OREGON,2016,22,,-,0,,3,,6,,15,,,-,0,,3,,6,,7,,,-,0,,1,,6,,5,,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2016,22,,-,0,,3,,4,,3,,,-,0,,10,,5,,7,,,-,0,,24,,4,,6,,"OKLAHOMA
(35.468494, -97.521264)",
MONTANA,2016,22,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,-,0,,2,,10,,3,,"MONTANA
(47.062617, -109.430168)",
NEW MEXICO,2016,22,,-,0,,1,,,-,5,,,-,0,,1,,,-,1,,,-,0,,3,,5,,15,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2016,22,,-,0,,2,,10,,9,,1,,2,,6,,30,,42,,,-,1,,4,,20,,37,,"ALABAMA
(32.839182, -86.631125)",
SOUTH CAROLINA,2016,22,,-,0,,3,,8,,4,,1,,0,,2,,17,,15,,,-,0,,2,,6,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2016,22,,-,0,,1,,,-,2,,,-,0,,1,,4,,1,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
CALIFORNIA,2016,22,,-,3,,9,,76,,75,,,-,3,,8,,37,,71,,,-,1,,3,,11,,25,,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2016,22,,-,0,,1,,1,,3,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2016,22,,-,0,,1,,2,,5,,,-,1,,5,,18,,11,,,-,0,,1,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
WISCONSIN,2016,22,,-,0,,1,,,-,3,,,-,0,,1,,6,,2,,,-,0,,3,,3,,35,,"WISCONSIN
(44.395526, -89.834513)",
RHODE ISLAND,2016,22,,-,0,,2,,3,,4,,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
TENNESSEE,2016,22,,-,0,,2,,,-,5,,4,,4,,8,,82,,106,,1,,3,,7,,55,,68,,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2016,22,,-,0,,1,,2,,5,,,-,0,,1,,4,,5,,,-,0,,1,,3,,1,,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2016,22,,-,0,,1,,,-,,-,,-,0,,1,,2,,2,,,-,0,,2,,8,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2016,22,,-,1,,3,,18,,14,,,-,0,,3,,11,,10,,,-,3,,9,,37,,115,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2016,22,,-,0,,1,,2,,,-,,-,0,,3,,7,,26,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2016,22,,-,0,,1,,2,,1,,,-,0,,2,,16,,,-,,-,0,,3,,10,,14,,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2016,22,2,,0,,26,,8,,,-,1,,0,,34,,12,,,-,2,,0,,63,,16,,,-,"WASHINGTON
(47.517368, -120.467672)",
ILLINOIS,2016,22,,-,1,,9,,19,,23,,,-,1,,2,,16,,31,,,-,0,,2,,12,,12,,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2016,22,,-,0,,2,,8,,2,,,-,0,,2,,3,,,-,,-,0,,1,,5,,2,,"NEBRASKA
(41.640503, -99.367122)",
KANSAS,2016,22,,-,0,,1,,2,,4,,,-,0,,2,,8,,2,,,-,0,,2,,4,,11,,"KANSAS
(38.345528, -98.201847)",
VERMONT,2016,22,,-,0,,1,,2,,1,,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2016,22,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2016,22,,-,1,,5,,29,,15,,,-,1,,11,,22,,23,,1,,1,,4,,13,,15,,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2016,22,,-,0,,1,,,-,2,,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
WEST VIRGINIA,2016,22,,-,0,,2,,2,,2,,,-,5,,12,,69,,93,,,-,1,,4,,22,,33,,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2016,22,,-,0,,2,,4,,1,,,-,0,,1,,1,,4,,,-,0,,2,,8,,8,,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK,2016,22,,-,1,,6,,19,,16,,,-,0,,4,,13,,10,,,-,3,,7,,62,,32,,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2016,22,,-,0,,2,,3,,6,,,-,2,,9,,36,,74,,,-,1,,5,,7,,58,,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2016,22,,-,0,,0,,,-,2,,,-,0,,2,,7,,17,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2016,22,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2016,22,,-,1,,3,,23,,30,,,-,1,,5,,8,,36,,,-,1,,7,,7,,62,,"NEW JERSEY
(40.104655, -74.386686)",
FLORIDA,2016,22,3,,2,,8,,44,,34,,4,,9,,15,,200,,159,,3,,3,,9,,86,,38,,"FLORIDA
(28.915325, -81.922409)",
OHIO,2016,22,2,,0,,3,,12,,16,,3,,6,,12,,132,,222,,,-,2,,8,,55,,52,,"OHIO
(40.056807, -82.405897)",
NORTH CAROLINA,2016,22,,-,1,,4,,18,,21,,,-,2,,9,,27,,83,,,-,2,,16,,22,,63,,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2016,22,,-,0,,1,,7,,1,,,-,1,,7,,18,,39,,,-,0,,2,,3,,14,,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2016,22,,-,0,,3,,2,,2,,,-,0,,1,,4,,8,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
DELAWARE,2016,22,,-,0,,0,,,-,2,,,-,0,,1,,,-,6,,,U,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2016,22,,-,0,,1,,2,,4,,,-,0,,2,,1,,9,,,-,0,,1,,,-,8,,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2016,22,,-,1,,4,,15,,16,,,-,0,,3,,7,,9,,,U,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
PENNSYLVANIA,2016,22,1,,1,,4,,19,,23,,,-,1,,4,,17,,20,,1,,2,,6,,54,,64,,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2016,22,,-,0,,2,,8,,15,,,-,0,,4,,,-,10,,,-,0,,3,,3,,20,,"COLORADO
(38.841772, -106.132562)",
UTAH,2016,22,,-,0,,1,,3,,3,,,-,0,,1,,,-,5,,,-,1,,3,,15,,11,,"UTAH
(39.359772, -111.584173)",
GEORGIA,2016,22,2,,1,,3,,23,,11,,,-,2,,8,,28,,47,,,-,1,,4,,13,,43,,"GEORGIA
(32.836038, -83.631709)",
INDIANA,2016,22,,-,0,,3,,7,,8,,,-,1,,5,,12,,64,,,-,2,,7,,33,,52,,"INDIANA
(39.76845, -86.156212)",
UNITED STATES,2016,23,10,,26,,72,,551,,561,,19,,59,,129,,1027,,1451,,18,,42,,138,,775,,1053,,,
NEW ENGLAND,2016,23,,-,1,,3,,30,,24,,,-,1,,4,,31,,14,,,-,4,,10,,60,,147,,,
MID. ATLANTIC,2016,23,1,,4,,11,,82,,115,,4,,4,,8,,67,,89,,2,,7,,12,,138,,172,,,
NEW YORK CITY,2016,23,1,,1,,5,,20,,44,,2,,1,,3,,26,,20,,,-,0,,1,,4,,5,,"NEW YORK CITY
",
E.N. CENTRAL,2016,23,2,,3,,12,,62,,68,,4,,10,,17,,192,,353,,3,,8,,15,,171,,192,,,
W.N. CENTRAL,2016,23,,-,1,,4,,16,,27,,,-,1,,4,,19,,38,,,-,1,,4,,24,,31,,,
S. ATLANTIC,2016,23,2,,6,,15,,139,,100,,6,,21,,32,,405,,462,,8,,9,,20,,199,,219,,,
DIST. OF COL.,2016,23,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DIST. OF COL.
",
WISCONSIN,2016,23,,-,0,,1,,,-,4,,,-,0,,1,,6,,2,,,-,0,,3,,3,,36,,"WISCONSIN
(44.395526, -89.834513)",
E.S. CENTRAL,2016,23,1,,1,,4,,16,,20,,1,,9,,21,,158,,258,,1,,6,,11,,84,,171,,,
W.S. CENTRAL,2016,23,3,,3,,13,,78,,56,,2,,5,,26,,79,,108,,,-,1,,27,,25,,33,,,
MOUNTAIN,2016,23,1,,2,,6,,33,,53,,,-,1,,8,,13,,40,,,-,2,,9,,37,,58,,,
PACIFIC,2016,23,,-,4,,32,,95,,98,,2,,3,,37,,63,,89,,4,,1,,64,,37,,30,,,
AMER. SAMOA,2016,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,23,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
RHODE ISLAND,2016,23,,-,0,,2,,3,,4,,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2016,23,,-,0,,3,,6,,15,,,-,0,,3,,6,,7,,,-,0,,1,,6,,5,,"OREGON
(44.567912, -120.156945)",
TEXAS,2016,23,3,,3,,11,,64,,47,,2,,3,,12,,37,,50,,,-,1,,4,,18,,12,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2016,23,,-,0,,1,,2,,2,,,-,0,,2,,7,,18,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEW HAMPSHIRE,2016,23,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2016,23,,-,0,,1,,2,,4,,,-,0,,2,,8,,2,,,-,0,,2,,4,,11,,"KANSAS
(38.345528, -98.201847)",
GEORGIA,2016,23,,-,1,,3,,24,,11,,1,,1,,8,,30,,49,,,-,1,,4,,13,,44,,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2016,23,,-,1,,4,,16,,16,,,-,0,,3,,8,,9,,,U,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2016,23,2,,2,,8,,46,,36,,4,,9,,15,,205,,169,,7,,3,,9,,93,,40,,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2016,23,,-,1,,4,,19,,23,,1,,1,,4,,18,,20,,1,,2,,7,,62,,66,,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2016,23,,-,0,,3,,7,,8,,,-,1,,5,,12,,69,,,-,2,,7,,33,,56,,"INDIANA
(39.76845, -86.156212)",
OHIO,2016,23,2,,0,,3,,14,,17,,4,,6,,12,,135,,230,,,-,2,,8,,58,,53,,"OHIO
(40.056807, -82.405897)",
NEBRASKA,2016,23,,-,0,,2,,8,,2,,,-,0,,2,,3,,,-,,-,0,,1,,5,,2,,"NEBRASKA
(41.640503, -99.367122)",
HAWAII,2016,23,,-,0,,1,,3,,3,,,-,0,,1,,1,,7,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSISSIPPI,2016,23,,-,0,,1,,2,,,-,,-,0,,3,,7,,26,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2016,23,,-,1,,3,,19,,16,,,-,0,,3,,12,,10,,,-,3,,9,,39,,124,,"MASSACHUSETTS
(42.268546, -72.085064)",
VERMONT,2016,23,,-,0,,1,,2,,1,,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2016,23,,-,0,,1,,,-,,-,,-,0,,1,,2,,2,,,-,0,,2,,9,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MINNESOTA,2016,23,,-,0,,1,,1,,13,,,-,0,,2,,1,,8,,,-,0,,3,,6,,14,,"MINNESOTA
(44.943719, -93.094281)",
DELAWARE,2016,23,,-,0,,0,,,-,2,,,-,0,,1,,,-,6,,,U,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
NORTH CAROLINA,2016,23,,-,1,,4,,18,,22,,,-,2,,9,,28,,86,,,-,2,,16,,28,,63,,"NORTH CAROLINA
(35.47995, -79.180571)",
OKLAHOMA,2016,23,,-,0,,3,,4,,3,,,-,0,,10,,5,,7,,,-,0,,25,,4,,5,,"OKLAHOMA
(35.468494, -97.521264)",
IOWA,2016,23,,-,0,,3,,4,,2,,,-,0,,1,,4,,8,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MISSOURI,2016,23,,-,0,,2,,,-,3,,,-,0,,3,,,-,18,,,-,0,,1,,,-,4,,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2016,23,,-,1,,9,,19,,23,,,-,1,,2,,16,,31,,,-,0,,2,,13,,14,,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2016,23,,-,0,,1,,,-,5,,,-,0,,1,,,-,1,,,-,0,,4,,6,,15,,"NEW MEXICO
(34.520396, -106.244402)",
MONTANA,2016,23,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,-,0,,2,,10,,3,,"MONTANA
(47.062617, -109.430168)",
COLORADO,2016,23,,-,0,,2,,8,,16,,,-,0,,4,,,-,11,,,-,0,,3,,3,,20,,"COLORADO
(38.841772, -106.132562)",
CONNECTICUT,2016,23,,-,0,,2,,4,,2,,,-,0,,1,,1,,4,,,-,0,,2,,8,,8,,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2016,23,,-,1,,4,,22,,16,,,-,1,,4,,23,,21,,3,,2,,5,,64,,33,,"MICHIGAN
(44.66399, -84.711206)",
TENNESSEE,2016,23,1,,0,,2,,1,,5,,1,,4,,8,,83,,110,,1,,3,,7,,57,,73,,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2016,23,,-,1,,6,,19,,16,,1,,1,,4,,15,,10,,1,,3,,7,,65,,35,,"NEW YORK
(42.826892, -75.544286)",
GUAM,2016,23,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH DAKOTA,2016,23,,-,0,,1,,1,,3,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2016,23,,-,0,,1,,,-,2,,,-,0,,1,,4,,1,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2016,23,,-,0,,1,,2,,5,,,-,1,,5,,19,,11,,,-,0,,1,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2016,23,,-,0,,2,,2,,2,,1,,5,,12,,90,,98,,,-,1,,4,,26,,35,,"WEST VIRGINIA
(38.668501, -80.709421)",
CALIFORNIA,2016,23,,-,3,,9,,78,,78,,,-,2,,8,,38,,74,,,-,1,,3,,11,,25,,"CALIFORNIA
(37.640735, -121.002435)",
MAINE,2016,23,,-,0,,1,,2,,1,,,-,0,,2,,17,,,-,,-,0,,3,,10,,15,,"MAINE
(45.252223, -68.986647)",
WYOMING,2016,23,,-,0,,1,,,-,2,,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
LOUISIANA,2016,23,,-,0,,1,,8,,1,,,-,1,,7,,18,,40,,,-,0,,2,,3,,15,,"LOUISIANA
(31.2931, -92.463284)",
NEVADA,2016,23,,-,0,,1,,2,,5,,,-,0,,2,,1,,9,,,-,0,,1,,,-,8,,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2016,23,,-,0,,2,,10,,9,,,-,2,,6,,32,,45,,,-,1,,4,,20,,39,,"ALABAMA
(32.839182, -86.631125)",
KENTUCKY,2016,23,,-,0,,2,,3,,6,,,-,2,,9,,36,,77,,,-,1,,5,,7,,59,,"KENTUCKY
(37.64591, -84.774043)",
WASHINGTON,2016,23,,-,0,,26,,8,,,-,2,,0,,34,,14,,,-,4,,0,,63,,20,,,-,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2016,23,,-,0,,3,,11,,8,,,-,1,,4,,11,,15,,,-,0,,4,,16,,18,,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2016,23,,-,1,,5,,30,,15,,,-,1,,11,,24,,24,,1,,1,,4,,17,,17,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH CAROLINA,2016,23,,-,0,,3,,8,,4,,,-,0,,2,,17,,15,,,-,0,,2,,6,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
UTAH,2016,23,,-,0,,1,,3,,4,,,-,0,,1,,,-,5,,,-,1,,3,,15,,11,,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2016,23,,-,1,,3,,24,,32,,,-,1,,5,,8,,39,,,-,1,,7,,7,,66,,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2016,23,1,,0,,1,,3,,5,,,-,0,,1,,4,,5,,,-,0,,1,,3,,1,,"IDAHO
(43.680635, -114.364237)",
UNITED STATES,2016,24,22,,26,,72,,593,,593,,15,,58,,129,,1075,,1512,,14,,43,,140,,852,,1099,,,
NEW ENGLAND,2016,24,,-,1,,3,,32,,26,,,-,1,,4,,32,,16,,,-,4,,10,,75,,153,,,
MID. ATLANTIC,2016,24,5,,4,,11,,88,,122,,3,,4,,8,,71,,94,,3,,7,,12,,144,,180,,,
NEW YORK CITY,2016,24,,-,1,,5,,20,,49,,2,,1,,3,,28,,22,,,-,0,,1,,4,,5,,"NEW YORK CITY
",
E.N. CENTRAL,2016,24,4,,3,,12,,73,,71,,2,,10,,17,,204,,361,,1,,8,,15,,194,,199,,,
W.N. CENTRAL,2016,24,,-,1,,4,,18,,29,,,-,1,,4,,20,,39,,,-,1,,4,,27,,32,,,
S. ATLANTIC,2016,24,9,,6,,15,,150,,102,,7,,21,,32,,426,,487,,5,,10,,21,,216,,231,,,
DIST. OF COL.,2016,24,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DIST. OF COL.
",
E.S. CENTRAL,2016,24,,-,1,,4,,17,,23,,1,,9,,21,,161,,268,,,-,6,,11,,87,,179,,,
W.S. CENTRAL,2016,24,1,,3,,13,,79,,62,,1,,5,,26,,83,,113,,4,,1,,27,,29,,34,,,
MOUNTAIN,2016,24,,-,2,,6,,35,,56,,,-,1,,8,,13,,42,,,-,2,,9,,40,,59,,,
PACIFIC,2016,24,3,,4,,32,,101,,102,,1,,3,,37,,65,,92,,1,,2,,64,,40,,32,,,
AMER. SAMOA,2016,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,24,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
SOUTH DAKOTA,2016,24,,-,0,,1,,,-,,-,,-,0,,1,,2,,2,,,-,0,,2,,9,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2016,24,,-,1,,4,,17,,17,,,-,0,,3,,8,,9,,,U,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2016,24,,-,0,,0,,,-,2,,,-,0,,1,,,-,7,,,U,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2016,24,,-,0,,1,,3,,3,,,-,0,,1,,1,,8,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MONTANA,2016,24,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,2,,10,,3,,"MONTANA
(47.062617, -109.430168)",
ALABAMA,2016,24,,-,0,,2,,11,,10,,,-,2,,6,,32,,48,,,-,1,,4,,20,,40,,"ALABAMA
(32.839182, -86.631125)",
MISSISSIPPI,2016,24,,-,0,,1,,2,,,-,,-,0,,3,,7,,26,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2016,24,,-,0,,1,,3,,1,,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,"VERMONT
(43.622479, -72.51927)",
KANSAS,2016,24,,-,0,,1,,3,,4,,,-,0,,2,,9,,2,,,-,0,,2,,4,,12,,"KANSAS
(38.345528, -98.201847)",
GEORGIA,2016,24,3,,1,,3,,27,,11,,2,,2,,8,,34,,54,,,-,1,,4,,14,,47,,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2016,24,,-,0,,3,,4,,3,,,-,0,,10,,5,,7,,3,,0,,25,,7,,5,,"OKLAHOMA
(35.468494, -97.521264)",
MINNESOTA,2016,24,,-,0,,1,,1,,14,,,-,0,,2,,1,,8,,,-,0,,3,,8,,14,,"MINNESOTA
(44.943719, -93.094281)",
NEW YORK,2016,24,3,,1,,6,,22,,16,,,-,1,,4,,15,,11,,2,,3,,7,,70,,36,,"NEW YORK
(42.826892, -75.544286)",
TENNESSEE,2016,24,,-,0,,2,,1,,6,,1,,4,,8,,86,,115,,,-,3,,7,,60,,80,,"TENNESSEE
(35.681402, -85.774444)",
IOWA,2016,24,,-,0,,3,,5,,2,,,-,0,,1,,4,,9,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2016,24,,-,0,,2,,2,,2,,,-,5,,12,,95,,108,,,-,1,,4,,29,,39,,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2016,24,,-,1,,3,,19,,17,,,-,0,,3,,13,,12,,,-,4,,8,,53,,130,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2016,24,,-,0,,1,,2,,6,,,-,0,,2,,1,,9,,,-,0,,1,,,-,8,,"NEVADA
(39.491833, -117.070159)",
UTAH,2016,24,,-,0,,1,,4,,4,,,-,0,,1,,,-,5,,,-,1,,4,,18,,12,,"UTAH
(39.359772, -111.584173)",
WYOMING,2016,24,,-,0,,1,,,-,2,,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2016,24,,-,0,,1,,1,,3,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NORTH CAROLINA,2016,24,,-,1,,4,,19,,22,,,-,2,,9,,32,,88,,,-,2,,16,,29,,63,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2016,24,,-,0,,2,,8,,16,,,-,0,,4,,,-,13,,,-,0,,3,,3,,20,,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2016,24,,-,0,,2,,8,,2,,,-,0,,2,,3,,,-,,-,0,,1,,6,,2,,"NEBRASKA
(41.640503, -99.367122)",
GUAM,2016,24,,-,0,,2,,,-,41,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2016,24,4,,1,,5,,35,,17,,,-,1,,11,,25,,24,,1,,1,,4,,21,,18,,"VIRGINIA
(37.542699, -78.45822)",
