Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag",Location 1,Location 2
GEORGIA,2014,26,54,,29,,100,,586,,658,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
WISCONSIN,2014,26,,-,12,,29,,176,,431,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
VIRGIN ISL.,2014,26,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,26,5,,3,,9,,70,,51,,"IDAHO
(43.682630058000484, -114.3637261449997)",
OHIO,2014,26,32,,22,,42,,534,,507,,"OHIO
(40.06021029700048, -82.40425685299965)",
CALIFORNIA,2014,26,37,,90,,177,,1889,,1875,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
OKLAHOMA,2014,26,29,,13,,151,,282,,244,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
IOWA,2014,26,3,,8,,36,,175,,243,,"IOWA
(42.469404401000475, -93.81648936699969)",
NEW YORK CITY,2014,26,17,,18,,50,,397,,465,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
ARKANSAS,2014,26,15,,14,,36,,174,,184,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
DIST. OF COL.,2014,26,,-,1,,3,,17,,30,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
MINNESOTA,2014,26,,-,7,,54,,,-,336,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
C.N.M.I.,2014,26,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
NEW MEXICO,2014,26,,-,5,,19,,96,,165,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
OREGON,2014,26,4,,6,,25,,150,,151,,"OREGON
(44.567446178000466, -120.15502977999972)",
ALABAMA,2014,26,,-,19,,80,,334,,298,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
ILLINOIS,2014,26,,-,25,,65,,502,,784,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
MISSOURI,2014,26,12,,16,,37,,261,,351,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
WYOMING,2014,26,,-,1,,7,,20,,32,,"WYOMING
(43.23554147100049, -108.10982744299969)",
NEW YORK,2014,26,37,,21,,76,,483,,504,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
VIRGINIA,2014,26,13,,18,,41,,354,,369,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
MASSACHUSETTS,2014,26,,-,17,,56,,367,,521,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
DELAWARE,2014,26,,-,2,,8,,29,,33,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
HAWAII,2014,26,,-,6,,13,,105,,145,,"HAWAII
(21.30485166200043, -157.85774691599974)",
UTAH,2014,26,1,,6,,16,,179,,150,,"UTAH
(39.36070374600047, -111.5871285339997)",
UNITED STATES,2014,27,501,,807,,1620,,16620,,19579,,,
NEW ENGLAND,2014,27,5,,33,,79,,783,,998,,,
MID. ATLANTIC,2014,27,75,,79,,195,,1722,,2210,,,
E.N. CENTRAL,2014,27,34,,90,,173,,1943,,2616,,,
W.N. CENTRAL,2014,27,25,,37,,120,,747,,1493,,,
S. ATLANTIC,2014,27,170,,232,,478,,4448,,4669,,,
DIST. OF COL.,2014,27,,-,0,,3,,17,,32,,"DIST. OF COL.
",
E.S. CENTRAL,2014,27,19,,56,,150,,1251,,1227,,,
W.S. CENTRAL,2014,27,112,,134,,724,,2142,,2405,,,
MOUNTAIN,2014,27,16,,50,,260,,1059,,1283,,,
PACIFIC,2014,27,45,,119,,224,,2525,,2678,,,
AMER. SAMOA,2014,27,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,27,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,27,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
CONNECTICUT,2014,27,1,,7,,21,,182,,201,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
KENTUCKY,2014,27,,-,9,,27,,230,,227,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
ALABAMA,2014,27,11,,19,,80,,436,,326,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
VERMONT,2014,27,,-,1,,6,,40,,35,,"VERMONT
(43.62538000100045, -72.51763944499965)",
KANSAS,2014,27,1,,7,,18,,147,,206,,"KANSAS
(38.3477418760005, -98.20077655499966)",
CALIFORNIA,2014,27,26,,91,,177,,1973,,2021,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
PENNSYLVANIA,2014,27,16,,22,,63,,456,,725,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
ARKANSAS,2014,27,15,,14,,36,,191,,205,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
NORTH DAKOTA,2014,27,,-,1,,7,,33,,55,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
COLORADO,2014,27,10,,11,,35,,251,,311,,"COLORADO
(38.84384201300048, -106.13360888799969)",
NEW YORK CITY,2014,27,19,,18,,50,,416,,493,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
SOUTH CAROLINA,2014,27,21,,20,,60,,374,,353,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
LOUISIANA,2014,27,5,,21,,47,,373,,486,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
VIRGINIA,2014,27,14,,18,,41,,375,,404,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
DELAWARE,2014,27,,-,2,,8,,35,,41,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NORTH CAROLINA,2014,27,,-,28,,136,,528,,583,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
OKLAHOMA,2014,27,19,,13,,151,,301,,255,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
GEORGIA,2014,27,22,,29,,100,,626,,717,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
ILLINOIS,2014,27,,-,28,,65,,551,,841,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
GUAM,2014,27,,-,0,,3,,,-,10,,"GUAM
(13.480998894000436, 144.73149801400064)",
SOUTH DAKOTA,2014,27,,-,3,,10,,59,,96,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
NEVADA,2014,27,,-,3,,205,,59,,98,,"NEVADA
(39.493242807000456, -117.07183978499972)",
NEBRASKA,2014,27,,-,3,,20,,33,,133,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
RHODE ISLAND,2014,27,2,,2,,13,,47,,43,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
ARIZONA,2014,27,3,,17,,34,,311,,413,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
MICHIGAN,2014,27,6,,16,,42,,347,,439,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
MONTANA,2014,27,1,,2,,6,,58,,45,,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEW JERSEY,2014,27,,-,15,,46,,323,,456,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
IDAHO,2014,27,2,,3,,9,,74,,52,,"IDAHO
(43.68263160000049, -114.3637261449997)",
OHIO,2014,27,28,,22,,42,,562,,548,,"OHIO
(40.06021184000048, -82.40425685299965)",
WYOMING,2014,27,,-,1,,7,,21,,33,,"WYOMING
(43.235543013000495, -108.10982744299969)",
ALASKA,2014,27,,-,1,,7,,39,,38,,"ALASKA
(64.84507631500048, -147.72205669099972)",
HAWAII,2014,27,1,,6,,13,,116,,156,,"HAWAII
(21.304853205000427, -157.85774691599974)",
OREGON,2014,27,,-,6,,25,,151,,163,,"OREGON
(44.56745218600048, -120.15502977999972)",
MASSACHUSETTS,2014,27,,-,17,,56,,387,,571,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
INDIANA,2014,27,,-,11,,27,,251,,332,,"INDIANA
(39.76691072200049, -86.14995579899966)",
WASHINGTON,2014,27,18,,10,,47,,246,,300,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
IOWA,2014,27,3,,8,,36,,188,,279,,"IOWA
(42.469401477000474, -93.81648936699969)",
FLORIDA,2014,27,99,,115,,228,,2112,,2092,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
NEW MEXICO,2014,27,,-,5,,19,,106,,177,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
TEXAS,2014,27,73,,79,,543,,1277,,1459,,"TEXAS
(31.827240712000446, -99.4267664729997)",
MISSOURI,2014,27,21,,16,,37,,287,,371,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
UTAH,2014,27,,-,6,,16,,179,,154,,"UTAH
(39.36070082200047, -111.5871285339997)",
MISSISSIPPI,2014,27,,-,11,,40,,235,,305,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
NEW YORK,2014,27,40,,22,,76,,527,,536,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
WISCONSIN,2014,27,,-,12,,29,,232,,456,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
MINNESOTA,2014,27,,-,3,,54,,,-,353,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
PUERTO RICO,2014,27,,-,7,,39,,154,,256,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
MARYLAND,2014,27,13,,13,,37,,306,,353,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
MAINE,2014,27,2,,2,,5,,59,,74,,"MAINE
(45.2542257390005, -68.98502952999962)",
NEW HAMPSHIRE,2014,27,,-,3,,12,,68,,74,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
TENNESSEE,2014,27,8,,15,,34,,350,,369,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
WEST VIRGINIA,2014,27,1,,3,,9,,75,,94,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
UNITED STATES,2014,28,605,,832,,1620,,17664,,20975,,,
NEW ENGLAND,2014,28,14,,32,,79,,814,,1074,,,
MID. ATLANTIC,2014,28,74,,80,,195,,1820,,2361,,,
E.N. CENTRAL,2014,28,39,,89,,173,,2063,,2785,,,
W.N. CENTRAL,2014,28,28,,38,,120,,803,,1606,,,
S. ATLANTIC,2014,28,213,,227,,478,,4706,,5019,,,
DIST. OF COL.,2014,28,,-,0,,3,,17,,34,,"DIST. OF COL.
",
E.S. CENTRAL,2014,28,34,,56,,150,,1351,,1344,,,
W.S. CENTRAL,2014,28,100,,135,,724,,2280,,2612,,,
MOUNTAIN,2014,28,25,,51,,260,,1145,,1358,,,
PACIFIC,2014,28,78,,119,,224,,2682,,2816,,,
AMER. SAMOA,2014,28,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,28,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,28,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
DELAWARE,2014,28,,-,2,,7,,37,,48,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEW MEXICO,2014,28,,-,5,,19,,108,,187,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
NEBRASKA,2014,28,,-,3,,20,,33,,143,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
HAWAII,2014,28,1,,5,,13,,117,,166,,"HAWAII
(21.304853205000427, -157.85774691599974)",
MAINE,2014,28,2,,2,,5,,61,,77,,"MAINE
(45.2542257390005, -68.98502952999962)",
NEW JERSEY,2014,28,,-,15,,46,,325,,492,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NORTH CAROLINA,2014,28,,-,28,,136,,528,,611,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
NEW HAMPSHIRE,2014,28,,-,3,,12,,72,,79,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
MONTANA,2014,28,1,,2,,6,,60,,46,,"MONTANA
(47.06652759400049, -109.42441687999968)",
PENNSYLVANIA,2014,28,21,,23,,63,,500,,782,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
WYOMING,2014,28,1,,1,,7,,22,,34,,"WYOMING
(43.235543013000495, -108.10982744299969)",
OREGON,2014,28,,-,6,,25,,155,,174,,"OREGON
(44.56745218600048, -120.15502977999972)",
MINNESOTA,2014,28,,-,0,,54,,,-,382,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
VERMONT,2014,28,4,,1,,6,,45,,36,,"VERMONT
(43.62538000100045, -72.51763944499965)",
VIRGINIA,2014,28,16,,18,,41,,398,,425,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
KENTUCKY,2014,28,11,,10,,27,,279,,248,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MISSOURI,2014,28,27,,16,,37,,320,,397,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
SOUTH CAROLINA,2014,28,17,,20,,60,,401,,382,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
TEXAS,2014,28,30,,80,,543,,1315,,1594,,"TEXAS
(31.827240712000446, -99.4267664729997)",
COLORADO,2014,28,16,,10,,35,,267,,332,,"COLORADO
(38.84384201300048, -106.13360888799969)",
SOUTH DAKOTA,2014,28,,-,3,,10,,62,,102,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
UTAH,2014,28,4,,6,,16,,199,,163,,"UTAH
(39.36070082200047, -111.5871285339997)",
NEW YORK,2014,28,34,,22,,76,,560,,568,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
LOUISIANA,2014,28,9,,23,,47,,412,,523,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
WISCONSIN,2014,28,,-,12,,29,,232,,484,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
OKLAHOMA,2014,28,28,,14,,151,,329,,274,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
WASHINGTON,2014,28,27,,10,,47,,264,,315,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
MARYLAND,2014,28,25,,13,,37,,330,,390,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NEW YORK CITY,2014,28,19,,18,,50,,435,,519,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
OHIO,2014,28,35,,22,,42,,596,,590,,"OHIO
(40.06021184000048, -82.40425685299965)",
TENNESSEE,2014,28,18,,14,,34,,382,,403,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
CALIFORNIA,2014,28,49,,92,,177,,2100,,2120,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
IOWA,2014,28,1,,9,,29,,201,,308,,"IOWA
(42.469401477000474, -93.81648936699969)",
FLORIDA,2014,28,122,,115,,228,,2234,,2252,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
ILLINOIS,2014,28,,-,27,,65,,614,,893,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
PUERTO RICO,2014,28,,-,9,,39,,217,,279,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
GEORGIA,2014,28,32,,30,,100,,684,,778,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
C.N.M.I.,2014,41,,-,,-,,-,,-,,-,"C.N.M.I.
",
NEVADA,2014,28,,-,3,,205,,62,,102,,"NEVADA
(39.493242807000456, -117.07183978499972)",
KANSAS,2014,28,,-,7,,18,,147,,216,,"KANSAS
(38.3477418760005, -98.20077655499966)",
INDIANA,2014,28,,-,11,,27,,251,,359,,"INDIANA
(39.76691072200049, -86.14995579899966)",
CONNECTICUT,2014,28,,-,7,,21,,193,,211,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
RHODE ISLAND,2014,28,8,,2,,13,,56,,44,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
NORTH DAKOTA,2014,28,,-,1,,7,,40,,58,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
ARIZONA,2014,28,2,,17,,34,,351,,438,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
ALASKA,2014,28,1,,1,,7,,46,,41,,"ALASKA
(64.84507631500048, -147.72205669099972)",
MICHIGAN,2014,28,4,,16,,42,,370,,459,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
ARKANSAS,2014,28,33,,14,,36,,224,,221,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
MASSACHUSETTS,2014,28,,-,16,,56,,387,,627,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
MISSISSIPPI,2014,28,,-,11,,40,,236,,343,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
WEST VIRGINIA,2014,28,1,,3,,9,,77,,99,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
ALABAMA,2014,28,5,,19,,80,,454,,350,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
GUAM,2014,28,,-,0,,2,,,-,10,,"GUAM
(13.480998894000436, 144.73149801400064)",
IDAHO,2014,28,1,,3,,9,,76,,56,,"IDAHO
(43.68263160000049, -114.3637261449997)",
UNITED STATES,2014,29,684,,834,,1620,,18987,,22447,,,
NEW ENGLAND,2014,29,13,,33,,79,,922,,1153,,,
MID. ATLANTIC,2014,29,94,,80,,195,,1951,,2528,,,
E.N. CENTRAL,2014,29,55,,90,,173,,2294,,2958,,,
W.N. CENTRAL,2014,29,19,,39,,120,,878,,1711,,,
S. ATLANTIC,2014,29,229,,228,,478,,4994,,5440,,,
DIST. OF COL.,2014,29,,-,0,,3,,18,,34,,"DIST. OF COL.
",
E.S. CENTRAL,2014,29,43,,57,,150,,1441,,1462,,,
W.S. CENTRAL,2014,29,156,,138,,724,,2531,,2754,,,
MOUNTAIN,2014,29,22,,50,,260,,1185,,1438,,,
PACIFIC,2014,29,53,,117,,224,,2791,,3003,,,
RHODE ISLAND,2014,29,1,,2,,13,,57,,46,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
COLORADO,2014,29,17,,10,,35,,284,,349,,"COLORADO
(38.84384201300048, -106.13360888799969)",
NEW YORK,2014,29,45,,22,,76,,605,,600,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
PUERTO RICO,2014,29,,-,8,,39,,217,,290,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
WEST VIRGINIA,2014,29,1,,3,,9,,84,,107,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
CONNECTICUT,2014,29,,-,7,,21,,193,,231,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
NORTH DAKOTA,2014,29,,-,1,,7,,40,,65,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
IDAHO,2014,29,3,,3,,9,,80,,58,,"IDAHO
(43.68263160000049, -114.3637261449997)",
MISSOURI,2014,29,18,,16,,37,,348,,426,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
WYOMING,2014,29,1,,1,,7,,26,,36,,"WYOMING
(43.235543013000495, -108.10982744299969)",
IOWA,2014,29,,-,8,,21,,213,,327,,"IOWA
(42.469401477000474, -93.81648936699969)",
MISSISSIPPI,2014,29,3,,11,,40,,255,,367,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
CALIFORNIA,2014,29,34,,92,,177,,2185,,2272,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
SOUTH CAROLINA,2014,29,,-,19,,60,,401,,422,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
OREGON,2014,29,6,,6,,25,,171,,181,,"OREGON
(44.56745218600048, -120.15502977999972)",
NEVADA,2014,29,,-,3,,205,,63,,113,,"NEVADA
(39.493242807000456, -117.07183978499972)",
NEW MEXICO,2014,29,,-,5,,19,,118,,201,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
GUAM,2014,29,,-,0,,2,,,-,10,,"GUAM
(13.480998894000436, 144.73149801400064)",
NEBRASKA,2014,29,,-,3,,20,,33,,148,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
TENNESSEE,2014,29,25,,15,,33,,420,,433,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
SOUTH DAKOTA,2014,29,,-,3,,10,,70,,106,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
ALASKA,2014,29,2,,1,,7,,48,,42,,"ALASKA
(64.84507631500048, -147.72205669099972)",
LOUISIANA,2014,29,9,,21,,47,,432,,559,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
ALABAMA,2014,29,15,,19,,80,,487,,394,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
NEW HAMPSHIRE,2014,29,,-,3,,12,,78,,87,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
FLORIDA,2014,29,174,,115,,228,,2409,,2414,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
TEXAS,2014,29,88,,83,,543,,1490,,1672,,"TEXAS
(31.827240712000446, -99.4267664729997)",
INDIANA,2014,29,,-,11,,25,,286,,382,,"INDIANA
(39.76691072200049, -86.14995579899966)",
ARIZONA,2014,29,,-,17,,34,,351,,459,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
ILLINOIS,2014,29,,-,29,,65,,691,,952,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
MARYLAND,2014,29,21,,13,,33,,358,,413,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
MAINE,2014,29,2,,2,,5,,65,,81,,"MAINE
(45.2542257390005, -68.98502952999962)",
NORTH CAROLINA,2014,29,,-,26,,136,,528,,682,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
MASSACHUSETTS,2014,29,7,,17,,40,,481,,667,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
VIRGINIA,2014,29,9,,19,,41,,421,,452,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
NEW YORK CITY,2014,29,26,,18,,50,,460,,554,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
MONTANA,2014,29,1,,2,,6,,64,,50,,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEW JERSEY,2014,29,,-,14,,46,,332,,529,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
MINNESOTA,2014,29,,-,0,,54,,,-,412,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
WISCONSIN,2014,29,,-,12,,29,,268,,511,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
UTAH,2014,29,,-,6,,16,,199,,172,,"UTAH
(39.36070082200047, -111.5871285339997)",
MICHIGAN,2014,29,8,,17,,42,,406,,492,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
WASHINGTON,2014,29,11,,10,,47,,270,,333,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
KENTUCKY,2014,29,,-,10,,27,,279,,268,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
OHIO,2014,29,47,,22,,40,,643,,621,,"OHIO
(40.06021184000048, -82.40425685299965)",
VERMONT,2014,29,3,,1,,6,,48,,41,,"VERMONT
(43.62538000100045, -72.51763944499965)",
PENNSYLVANIA,2014,29,23,,23,,63,,554,,845,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
DELAWARE,2014,29,,-,2,,7,,41,,51,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
KANSAS,2014,29,1,,7,,18,,174,,227,,"KANSAS
(38.3477418760005, -98.20077655499966)",
HAWAII,2014,29,,-,5,,13,,117,,175,,"HAWAII
(21.304853205000427, -157.85774691599974)",
GEORGIA,2014,29,24,,31,,100,,734,,865,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
OKLAHOMA,2014,29,36,,14,,151,,365,,287,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
ARKANSAS,2014,29,23,,14,,36,,244,,236,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
UNITED STATES,2014,30,685,,861,,1620,,20294,,24067,,,
NEW ENGLAND,2014,30,21,,33,,71,,1003,,1223,,,
AMER. SAMOA,2014,46,,-,,-,,-,,-,,-,"AMER. SAMOA
",
MID. ATLANTIC,2014,30,90,,80,,195,,2074,,2697,,,
E.N. CENTRAL,2014,30,34,,91,,167,,2467,,3115,,,
W.N. CENTRAL,2014,30,30,,37,,120,,940,,1814,,,
S. ATLANTIC,2014,30,276,,229,,478,,5412,,5858,,,
DIST. OF COL.,2014,30,,-,0,,3,,18,,34,,"DIST. OF COL.
",
E.S. CENTRAL,2014,30,30,,57,,150,,1566,,1559,,,
W.S. CENTRAL,2014,30,137,,140,,724,,2729,,2900,,,
MOUNTAIN,2014,30,19,,49,,260,,1246,,1698,,,
PACIFIC,2014,30,48,,117,,224,,2857,,3203,,,
AMER. SAMOA,2014,30,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,30,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,30,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ALABAMA,2014,30,3,,19,,80,,519,,426,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
CONNECTICUT,2014,30,1,,7,,21,,221,,243,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
UTAH,2014,30,,-,6,,16,,209,,183,,"UTAH
(39.36070082200047, -111.5871285339997)",
MINNESOTA,2014,30,,-,0,,54,,,-,441,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
NEW HAMPSHIRE,2014,30,,-,3,,12,,83,,96,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
SOUTH CAROLINA,2014,30,27,,20,,60,,482,,468,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
MONTANA,2014,30,,-,2,,6,,66,,50,,"MONTANA
(47.06652759400049, -109.42441687999968)",
RHODE ISLAND,2014,30,4,,2,,13,,62,,53,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
MARYLAND,2014,30,22,,13,,33,,382,,446,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
ARIZONA,2014,30,2,,17,,34,,377,,476,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
COLORADO,2014,30,14,,10,,35,,298,,365,,"COLORADO
(38.84384201300048, -106.13360888799969)",
OHIO,2014,30,30,,22,,47,,673,,655,,"OHIO
(40.06021184000048, -82.40425685299965)",
TENNESSEE,2014,30,16,,15,,33,,442,,454,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
CALIFORNIA,2014,30,,-,91,,177,,2185,,2433,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
VERMONT,2014,30,1,,1,,6,,50,,46,,"VERMONT
(43.62538000100045, -72.51763944499965)",
C.N.M.I.,2014,46,,-,,-,,-,,-,,-,"C.N.M.I.
",
ILLINOIS,2014,30,,-,29,,65,,774,,996,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
IOWA,2014,30,3,,8,,21,,227,,339,,"IOWA
(42.469401477000474, -93.81648936699969)",
NEW YORK,2014,30,48,,22,,76,,653,,635,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEW MEXICO,2014,30,,-,5,,19,,118,,208,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
WASHINGTON,2014,30,38,,10,,47,,302,,346,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
VIRGINIA,2014,30,6,,19,,41,,449,,484,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
NORTH CAROLINA,2014,30,,-,24,,136,,528,,758,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
TEXAS,2014,30,97,,86,,543,,1608,,1746,,"TEXAS
(31.827240712000446, -99.4267664729997)",
