 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2015","Giardiasis, Cum 2015, flag","Giardiasis, Cum 2014","Giardiasis, Cum 2014, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2015","Gonorrhea, Cum 2015, flag","Gonorrhea, Cum 2014","Gonorrhea, Cum 2014, flag","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014, flag",Location 1,Location 2
FLORIDA,2015,24,22,,20,,54,,442,,470,,255,,403,,483,,9460,,9431,,3,,3,,9,,85,,166,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
GEORGIA,2015,24,,-,12,,33,,224,,282,,180,,278,,329,,6153,,6089,,1,,2,,13,,75,,66,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
CONNECTICUT,2015,24,,-,4,,10,,70,,98,,32,,40,,81,,835,,1048,,,-,1,,3,,16,,29,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
DELAWARE,2015,24,,-,0,,2,,10,,9,,33,,24,,46,,525,,501,,,-,0,,1,,8,,10,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
IDAHO,2015,24,1,,3,,9,,60,,58,,2,,8,,21,,162,,193,,,-,0,,2,,13,,10,,"IDAHO
(43.68263174800006, -114.36372693399994)",
HAWAII,2015,24,1,,1,,3,,13,,14,,,-,24,,40,,510,,367,,,-,0,,2,,6,,15,,"HAWAII
(21.30485232600006, -157.85774798099996)",
ARKANSAS,2015,24,3,,2,,6,,39,,33,,,-,78,,129,,1149,,2066,,1,,1,,5,,25,,22,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
SOUTH DAKOTA,2015,24,,-,2,,9,,31,,54,,,-,19,,33,,369,,383,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
VIRGINIA,2015,24,3,,5,,18,,85,,83,,166,,149,,243,,3835,,3709,,,-,2,,9,,50,,35,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
CALIFORNIA,2015,24,9,,31,,66,,711,,764,,243,,948,,1119,,22721,,19532,,,-,0,,5,,28,,30,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
ILLINOIS,2015,24,,N,0,,0,,,N,,N,6,,274,,374,,4516,,6909,,,-,3,,8,,67,,63,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
WISCONSIN,2015,24,,-,6,,30,,93,,162,,,-,76,,110,,1705,,1802,,,-,1,,4,,7,,37,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
ALASKA,2015,24,,-,1,,8,,32,,31,,4,,22,,38,,371,,601,,,-,0,,3,,8,,9,,"ALASKA
(64.84507799500005, -147.72205958799998)",
PUERTO RICO,2015,24,,-,0,,2,,2,,17,,,-,8,,39,,220,,195,,,-,0,,1,,1,,2,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEVADA,2015,24,,-,1,,5,,22,,24,,3,,54,,131,,1176,,1555,,,-,0,,2,,12,,9,,"NEVADA
(39.49324221300003, -117.07183885899997)",
MICHIGAN,2015,24,1,,9,,17,,165,,190,,113,,188,,274,,4428,,4302,,,-,2,,7,,51,,39,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
ALABAMA,2015,24,2,,3,,10,,72,,67,,,-,143,,201,,2376,,3398,,,-,1,,6,,45,,38,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
WEST VIRGINIA,2015,24,,-,1,,6,,25,,25,,9,,15,,31,,316,,392,,,-,1,,5,,22,,19,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
RHODE ISLAND,2015,24,,-,0,,6,,2,,19,,1,,11,,28,,231,,206,,,-,0,,3,,7,,4,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
INDIANA,2015,24,,-,2,,11,,37,,59,,77,,137,,279,,3107,,3091,,,-,2,,4,,31,,44,,"INDIANA
(39.766913353000064, -86.14995646699998)",
IOWA,2015,24,,-,2,,10,,27,,87,,1,,35,,55,,792,,656,,,-,0,,2,,,-,1,,"IOWA
(42.469401411000035, -93.81648725599996)",
ARIZONA,2015,24,3,,2,,11,,61,,39,,,-,132,,204,,2211,,3337,,2,,2,,8,,84,,66,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
MONTANA,2015,24,,-,2,,5,,31,,31,,8,,12,,22,,354,,145,,,-,0,,2,,2,,5,,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEBRASKA,2015,24,,-,2,,9,,61,,54,,17,,30,,56,,673,,609,,2,,0,,2,,8,,14,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
PENNSYLVANIA,2015,24,5,,12,,23,,218,,295,,83,,237,,327,,4737,,5672,,3,,4,,9,,96,,83,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NORTH DAKOTA,2015,24,,-,1,,2,,11,,17,,,-,13,,25,,239,,301,,,-,0,,2,,7,,4,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
GUAM,2015,24,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
NEW MEXICO,2015,24,,-,2,,6,,26,,38,,3,,43,,72,,943,,923,,,-,1,,3,,30,,30,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
MISSOURI,2015,24,,-,3,,12,,25,,70,,123,,157,,203,,3861,,3118,,,-,1,,6,,12,,42,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
KANSAS,2015,24,,-,2,,6,,35,,35,,9,,48,,84,,1093,,1133,,,-,1,,3,,15,,17,,"KANSAS
(38.347742794000055, -98.20077822999997)",
MINNESOTA,2015,24,,-,8,,20,,,-,291,,,-,78,,104,,1431,,1704,,,-,2,,7,,35,,53,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
NORTH CAROLINA,2015,24,,N,0,,0,,,N,,N,273,,268,,1026,,9323,,7299,,3,,2,,22,,87,,73,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
UTAH,2015,24,2,,3,,11,,62,,106,,10,,27,,48,,608,,590,,,-,1,,6,,16,,30,,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW JERSEY,2015,24,,-,5,,16,,36,,162,,51,,129,,167,,3003,,2971,,,-,2,,5,,46,,76,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
KENTUCKY,2015,24,,-,0,,0,,,N,,-,76,,79,,166,,1620,,1680,,,-,0,,3,,2,,18,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
COLORADO,2015,24,,-,4,,13,,43,,141,,26,,68,,173,,1771,,1343,,4,,1,,5,,43,,43,,"COLORADO
(38.84384342200008, -106.13360911499996)",
MISSISSIPPI,2015,24,,N,0,,0,,,N,,N,88,,92,,156,,1233,,2322,,,-,1,,2,,22,,13,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
MASSACHUSETTS,2015,24,5,,11,,26,,216,,274,,32,,77,,113,,1556,,1445,,,-,2,,8,,54,,39,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
TEXAS,2015,24,,N,0,,0,,,N,,N,482,,720,,993,,17495,,15497,,,-,0,,2,,6,,5,,"TEXAS
(31.827240467000024, -99.42676785299994)",
WYOMING,2015,24,,-,0,,2,,,-,13,,,-,2,,8,,41,,25,,,-,0,,1,,1,,2,,"WYOMING
(43.23554100600006, -108.10982701399996)",
OKLAHOMA,2015,24,,N,0,,0,,,N,,N,11,,108,,153,,1745,,2704,,,-,2,,10,,55,,40,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NEW YORK CITY,2015,24,13,,16,,26,,373,,381,,196,,295,,381,,7177,,5796,,4,,2,,7,,42,,58,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NEW HAMPSHIRE,2015,24,2,,2,,7,,32,,25,,2,,5,,10,,92,,84,,1,,0,,2,,6,,10,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
TENNESSEE,2015,24,,N,0,,0,,,N,,N,44,,132,,237,,2973,,3212,,,-,2,,7,,71,,51,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
WASHINGTON,2015,24,1,,8,,63,,173,,116,,114,,120,,164,,2425,,2481,,,-,0,,2,,1,,4,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MAINE,2015,24,,-,2,,7,,30,,72,,10,,4,,11,,92,,102,,1,,0,,3,,18,,9,,"MAINE
(45.25422910300006, -68.98502586699993)",
UNITED STATES,2015,25,113,,230,,419,,4628,,5907,,2600,,6826,,7433,,158029,,158279,,40,,63,,130,,1762,,1767,,,
NEW ENGLAND,2015,25,12,,20,,49,,363,,506,,61,,132,,196,,2973,,3089,,,-,5,,10,,110,,96,,,
MID. ATLANTIC,2015,25,24,,48,,78,,981,,1264,,477,,799,,950,,19394,,17724,,10,,11,,31,,289,,290,,,
E.N. CENTRAL,2015,25,8,,24,,57,,501,,597,,284,,981,,1284,,21357,,24416,,6,,11,,27,,256,,253,,,
W.N. CENTRAL,2015,25,1,,22,,55,,195,,626,,153,,379,,441,,8845,,8297,,4,,4,,15,,84,,140,,,
S. ATLANTIC,2015,25,40,,46,,91,,965,,1124,,1096,,1466,,2066,,37746,,35659,,6,,14,,37,,435,,462,,,
DIST. OF COL.,2015,25,,-,1,,6,,2,,28,,,-,29,,78,,556,,886,,,-,0,,2,,,-,3,,"DIST. OF COL.
",
E.S. CENTRAL,2015,25,2,,3,,10,,76,,69,,91,,447,,678,,8293,,11119,,2,,5,,12,,146,,122,,,
W.S. CENTRAL,2015,25,6,,7,,19,,111,,132,,86,,1057,,1455,,23442,,24608,,8,,4,,16,,126,,98,,,
MOUNTAIN,2015,25,8,,16,,40,,316,,468,,27,,355,,461,,7483,,8448,,2,,6,,15,,205,,202,,,
PACIFIC,2015,25,12,,55,,98,,1120,,1121,,325,,1163,,1321,,28496,,24919,,2,,3,,11,,111,,104,,,
AMER. SAMOA,2015,25,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,25,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,25,,-,0,,0,,,-,,-,,-,1,,5,,9,,43,,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
UTAH,2015,25,2,,3,,11,,66,,113,,12,,27,,48,,631,,613,,,-,1,,2,,18,,36,,"UTAH
(39.36070123200005, -111.58712831499997)",
GUAM,2015,25,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
VIRGINIA,2015,25,1,,5,,18,,88,,90,,230,,149,,243,,4065,,3882,,1,,2,,9,,53,,35,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
ILLINOIS,2015,25,,N,0,,0,,,N,,N,7,,269,,374,,4834,,7236,,,-,3,,8,,75,,66,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW MEXICO,2015,25,,-,1,,6,,26,,41,,2,,42,,72,,969,,970,,,-,1,,3,,30,,30,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
OREGON,2015,25,2,,6,,15,,153,,147,,71,,50,,130,,1352,,917,,2,,2,,5,,69,,45,,"OREGON
(44.56745049300008, -120.15502935599994)",
WASHINGTON,2015,25,3,,8,,63,,176,,127,,,-,119,,164,,2425,,2604,,,-,0,,2,,1,,4,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
COLORADO,2015,25,,-,4,,13,,43,,145,,,-,68,,173,,1771,,1403,,1,,1,,5,,44,,43,,"COLORADO
(38.84384342200008, -106.13360911499996)",
MAINE,2015,25,,-,2,,7,,30,,72,,2,,4,,11,,96,,109,,,-,0,,3,,20,,9,,"MAINE
(45.25422910300006, -68.98502586699993)",
MASSACHUSETTS,2015,25,12,,11,,26,,229,,289,,31,,76,,101,,1623,,1558,,,-,2,,8,,55,,41,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEVADA,2015,25,,-,1,,5,,22,,24,,,-,54,,131,,1176,,1627,,,-,0,,2,,12,,9,,"NEVADA
(39.49324221300003, -117.07183885899997)",
RHODE ISLAND,2015,25,,-,0,,6,,2,,19,,4,,11,,28,,242,,217,,,-,0,,3,,7,,4,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ARKANSAS,2015,25,1,,2,,6,,40,,36,,,-,77,,129,,1149,,2171,,1,,1,,5,,26,,23,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
OKLAHOMA,2015,25,,N,0,,0,,,N,,N,18,,108,,153,,1854,,2797,,2,,2,,10,,57,,41,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MINNESOTA,2015,25,,-,7,,20,,,-,300,,,-,77,,104,,1516,,1787,,,-,2,,7,,35,,56,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
GEORGIA,2015,25,,-,12,,33,,224,,297,,101,,280,,329,,6403,,6253,,,-,2,,13,,77,,67,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NEW JERSEY,2015,25,,-,6,,16,,68,,166,,46,,130,,167,,3131,,3092,,,-,2,,5,,53,,80,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
FLORIDA,2015,25,34,,20,,54,,476,,495,,240,,403,,484,,9957,,9862,,5,,3,,9,,90,,170,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
NEW YORK,2015,25,8,,15,,33,,299,,386,,169,,153,,253,,3842,,2639,,4,,3,,17,,89,,65,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
SOUTH CAROLINA,2015,25,,-,2,,10,,42,,64,,164,,149,,228,,3711,,3817,,,-,1,,5,,51,,39,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
PUERTO RICO,2015,25,,-,0,,2,,2,,19,,,-,7,,39,,220,,209,,,-,0,,1,,1,,2,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
VERMONT,2015,25,,N,2,,8,,,N,,N,,-,2,,6,,47,,44,,,-,0,,2,,6,,3,,"VERMONT
(43.62538389600007, -72.51763667599994)",
LOUISIANA,2015,25,5,,4,,15,,71,,96,,68,,131,,925,,2944,,3469,,5,,1,,4,,37,,29,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
OHIO,2015,25,8,,7,,21,,180,,163,,65,,308,,372,,6850,,7511,,6,,3,,11,,85,,62,,"OHIO
(40.060212455000055, -82.40425667899996)",
MISSOURI,2015,25,,-,3,,12,,25,,73,,126,,157,,204,,4044,,3275,,,-,1,,6,,12,,45,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ARIZONA,2015,25,4,,2,,11,,63,,41,,,-,134,,204,,2360,,3456,,,-,2,,8,,84,,67,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
MONTANA,2015,25,,-,2,,5,,31,,31,,13,,12,,22,,368,,149,,1,,0,,2,,3,,5,,"MONTANA
(47.06652795700006, -109.42441587999997)",
PENNSYLVANIA,2015,25,9,,12,,23,,234,,314,,119,,239,,327,,4957,,5949,,3,,4,,10,,102,,86,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEW YORK CITY,2015,25,7,,16,,26,,380,,398,,143,,304,,381,,7464,,6044,,3,,2,,7,,45,,59,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
CALIFORNIA,2015,25,5,,30,,71,,744,,801,,250,,953,,1117,,23832,,20380,,,-,0,,5,,27,,30,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
WYOMING,2015,25,,-,0,,2,,,-,14,,,-,2,,8,,41,,26,,,-,0,,1,,1,,2,,"WYOMING
(43.23554100600006, -108.10982701399996)",
KENTUCKY,2015,25,,-,0,,0,,,N,,-,41,,79,,166,,1661,,1748,,,-,0,,3,,2,,18,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
IDAHO,2015,25,2,,3,,9,,65,,59,,,-,8,,21,,167,,204,,,-,0,,2,,13,,10,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NORTH DAKOTA,2015,25,,-,1,,2,,11,,19,,,-,13,,25,,239,,312,,,-,0,,2,,7,,4,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
DELAWARE,2015,25,1,,0,,2,,12,,9,,16,,24,,46,,541,,541,,,-,0,,1,,8,,11,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW HAMPSHIRE,2015,25,,-,2,,7,,32,,25,,,-,5,,10,,92,,87,,,-,0,,2,,6,,10,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
WEST VIRGINIA,2015,25,,-,1,,6,,25,,25,,1,,15,,31,,317,,413,,,-,1,,5,,24,,20,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
INDIANA,2015,25,,-,2,,11,,44,,63,,48,,137,,279,,3224,,3232,,,-,2,,5,,37,,46,,"INDIANA
(39.766913353000064, -86.14995646699998)",
TENNESSEE,2015,25,,N,0,,0,,,N,,N,50,,132,,237,,3023,,3336,,2,,2,,7,,74,,53,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
MARYLAND,2015,25,4,,5,,11,,96,,116,,89,,115,,210,,2572,,2377,,,-,1,,5,,45,,43,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NORTH CAROLINA,2015,25,,N,0,,0,,,N,,N,255,,268,,1026,,9624,,7628,,,-,3,,22,,87,,74,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
HAWAII,2015,25,,-,1,,3,,13,,15,,,-,24,,40,,510,,386,,,-,0,,2,,6,,16,,"HAWAII
(21.30485232600006, -157.85774798099996)",
CONNECTICUT,2015,25,,-,4,,10,,70,,101,,24,,40,,81,,873,,1074,,,-,1,,3,,16,,29,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
SOUTH DAKOTA,2015,25,,-,2,,9,,31,,56,,,-,19,,33,,369,,410,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MICHIGAN,2015,25,,-,9,,17,,177,,200,,92,,188,,275,,4626,,4560,,,-,2,,7,,52,,41,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
IOWA,2015,25,,-,2,,10,,27,,87,,1,,35,,55,,842,,686,,,-,0,,2,,1,,1,,"IOWA
(42.469401411000035, -93.81648725599996)",
KANSAS,2015,25,,-,2,,6,,39,,37,,15,,48,,84,,1147,,1186,,1,,1,,3,,16,,18,,"KANSAS
(38.347742794000055, -98.20077822999997)",
MISSISSIPPI,2015,25,,N,0,,0,,,N,,N,,-,90,,156,,1233,,2460,,,-,1,,2,,22,,13,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
WISCONSIN,2015,25,,-,6,,30,,100,,171,,72,,76,,110,,1823,,1877,,,-,1,,4,,7,,38,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
ALASKA,2015,25,2,,1,,8,,34,,31,,4,,22,,38,,377,,632,,,-,0,,3,,8,,9,,"ALASKA
(64.84507799500005, -147.72205958799998)",
ALABAMA,2015,25,2,,3,,10,,76,,69,,,-,142,,201,,2376,,3575,,,-,1,,6,,48,,38,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
TEXAS,2015,25,,N,0,,0,,,N,,N,,-,720,,993,,17495,,16171,,,-,0,,2,,6,,5,,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEBRASKA,2015,25,1,,2,,9,,62,,54,,11,,30,,56,,688,,641,,3,,0,,3,,12,,16,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
UNITED STATES,2015,26,95,,226,,416,,4830,,6140,,2769,,6809,,7433,,165399,,165139,,33,,64,,130,,1834,,1827,,,
NEW ENGLAND,2015,26,10,,20,,49,,383,,533,,50,,132,,196,,3083,,3206,,5,,5,,10,,118,,102,,,
MID. ATLANTIC,2015,26,38,,48,,78,,1046,,1307,,450,,799,,950,,20142,,18456,,9,,11,,31,,305,,301,,,
E.N. CENTRAL,2015,26,5,,24,,57,,534,,630,,245,,974,,1284,,22017,,25546,,1,,11,,27,,272,,259,,,
W.N. CENTRAL,2015,26,1,,19,,55,,204,,661,,105,,383,,441,,9264,,8640,,,-,4,,15,,85,,143,,,
S. ATLANTIC,2015,26,23,,45,,91,,995,,1177,,816,,1466,,2066,,38938,,37092,,4,,14,,37,,447,,483,,,
DIST. OF COL.,2015,26,,-,1,,6,,2,,28,,,-,28,,78,,556,,946,,,-,0,,2,,,-,3,,"DIST. OF COL.
",
E.S. CENTRAL,2015,26,3,,3,,10,,79,,70,,239,,447,,678,,9445,,11611,,1,,5,,12,,151,,128,,,
W.S. CENTRAL,2015,26,2,,7,,19,,113,,138,,467,,1055,,1636,,24839,,25858,,6,,4,,16,,133,,101,,,
MOUNTAIN,2015,26,5,,16,,38,,321,,450,,59,,355,,463,,7852,,8775,,6,,6,,15,,211,,204,,,
PACIFIC,2015,26,8,,55,,98,,1155,,1174,,338,,1165,,1321,,29819,,25955,,1,,3,,11,,112,,106,,,
AMER. SAMOA,2015,26,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,26,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,26,,-,0,,0,,,-,,-,,-,1,,5,,22,,43,,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
OKLAHOMA,2015,26,,N,0,,0,,,N,,N,4,,106,,153,,1922,,2916,,5,,2,,10,,63,,41,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MISSISSIPPI,2015,26,,N,0,,0,,,N,,N,,-,92,,156,,1376,,2586,,,-,1,,2,,24,,14,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
PENNSYLVANIA,2015,26,7,,12,,23,,255,,324,,71,,239,,327,,5042,,6170,,,-,4,,10,,103,,88,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
TENNESSEE,2015,26,,N,0,,0,,,N,,N,35,,132,,237,,3058,,3461,,1,,2,,7,,74,,56,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NORTH CAROLINA,2015,26,,N,0,,0,,,N,,N,211,,262,,1026,,9837,,8006,,1,,3,,22,,88,,76,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
OHIO,2015,26,4,,7,,21,,184,,168,,75,,307,,372,,7149,,7852,,1,,3,,11,,86,,65,,"OHIO
(40.060212455000055, -82.40425667899996)",
WASHINGTON,2015,26,1,,8,,63,,177,,146,,89,,119,,164,,2634,,2731,,,-,0,,2,,1,,4,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
PUERTO RICO,2015,26,,-,0,,2,,2,,19,,,-,7,,39,,232,,220,,,-,0,,1,,1,,2,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEW YORK CITY,2015,26,18,,16,,26,,398,,411,,138,,304,,381,,7818,,6319,,1,,2,,7,,46,,61,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
ARKANSAS,2015,26,2,,2,,6,,42,,39,,,-,75,,129,,1149,,2288,,,-,1,,5,,26,,24,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
VERMONT,2015,26,,N,2,,8,,,N,,N,,-,2,,6,,47,,45,,,-,0,,2,,6,,3,,"VERMONT
(43.62538389600007, -72.51763667599994)",
COLORADO,2015,26,,-,4,,13,,43,,148,,21,,68,,173,,1843,,1444,,3,,1,,5,,47,,44,,"COLORADO
(38.84384342200008, -106.13360911499996)",
ILLINOIS,2015,26,,N,0,,0,,,N,,N,4,,262,,374,,4880,,7551,,,-,3,,8,,78,,67,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW HAMPSHIRE,2015,26,,-,2,,7,,32,,26,,,-,4,,10,,92,,93,,,-,0,,2,,6,,10,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
CONNECTICUT,2015,26,,-,3,,10,,70,,105,,13,,40,,81,,900,,1124,,,-,1,,3,,16,,31,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
MASSACHUSETTS,2015,26,6,,11,,26,,245,,308,,29,,77,,101,,1698,,1596,,4,,2,,8,,61,,43,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NORTH DAKOTA,2015,26,,-,1,,3,,18,,21,,1,,13,,25,,289,,325,,,-,0,,2,,8,,4,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
RHODE ISLAND,2015,26,1,,0,,6,,3,,21,,,-,11,,28,,242,,233,,1,,0,,3,,8,,6,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
SOUTH CAROLINA,2015,26,,-,2,,10,,43,,65,,148,,152,,228,,3859,,3964,,1,,1,,5,,52,,40,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
SOUTH DAKOTA,2015,26,,-,2,,9,,31,,56,,,-,19,,33,,385,,425,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MICHIGAN,2015,26,,-,9,,17,,187,,214,,79,,187,,275,,4775,,4807,,,-,2,,7,,54,,42,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
TEXAS,2015,26,,N,0,,0,,,N,,N,463,,718,,993,,18824,,17004,,,-,0,,2,,6,,5,,"TEXAS
(31.827240467000024, -99.42676785299994)",
HAWAII,2015,26,,-,1,,3,,13,,16,,3,,24,,40,,566,,399,,,-,0,,2,,6,,16,,"HAWAII
(21.30485232600006, -157.85774798099996)",
ALASKA,2015,26,1,,1,,8,,35,,32,,4,,21,,38,,383,,657,,,-,0,,3,,8,,10,,"ALASKA
(64.84507799500005, -147.72205958799998)",
NEW MEXICO,2015,26,,-,1,,6,,26,,44,,18,,42,,72,,1032,,1018,,,-,1,,3,,30,,30,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ALABAMA,2015,26,3,,3,,10,,79,,70,,139,,143,,258,,3285,,3728,,,-,1,,6,,51,,40,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
IDAHO,2015,26,2,,3,,9,,67,,60,,5,,8,,21,,179,,211,,,-,0,,2,,13,,11,,"IDAHO
(43.68263174800006, -114.36372693399994)",
MAINE,2015,26,3,,2,,7,,33,,73,,8,,4,,11,,104,,115,,,-,1,,3,,21,,9,,"MAINE
(45.25422910300006, -68.98502586699993)",
MINNESOTA,2015,26,,-,5,,20,,,-,317,,1,,77,,104,,1634,,1861,,,-,2,,7,,35,,57,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
